,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Donor Level,<150 $,2018,donor_level_1/gs1datot,0.0467717060692985,3.7594339988861902,0.0433254006142701,0.0502180115243269,5177,Percentage of donations,Top donors percentage of total donations,CA,
1,Donor Level,150 $ < 450 $,2018,donor_level_2/gs1datot,0.113090624517351,3.6786512477712403,0.10493676339617301,0.121244485638529,3209,Percentage of donations,Top donors percentage of total donations,CA,
2,Donor Level,450 $ < 1400 $,2018,donor_level_3/gs1datot,0.209585641005404,4.1322987764140695,0.19261097136221397,0.22656031064859397,2244,Percentage of donations,Top donors percentage of total donations,CA,
3,Donor Level,>= 1400 $,2018,donor_level_4/gs1datot,0.630552028407947,1.85957039803394,0.6075703553349681,0.653533701480925,1524,Percentage of donations,Top donors percentage of total donations,CA,
4,Donor Level,<150 $,2018,donor_level_1/gs1datot,0.0367566582810451,4.15450921670279,0.0337636781169341,0.0397496384451561,4326,Percentage of donations,Top donors percentage of total donations,CA (without QC),
5,Donor Level,150 $ < 450 $,2018,donor_level_2/gs1datot,0.10111529637951801,4.10306048369576,0.0929837551345514,0.109246837624485,2816,Percentage of donations,Top donors percentage of total donations,CA (without QC),
6,Donor Level,450 $ < 1400 $,2018,donor_level_3/gs1datot,0.19994620618828401,4.38703061891587,0.18275398758293301,0.21713842479363502,2045,Percentage of donations,Top donors percentage of total donations,CA (without QC),
7,Donor Level,>= 1400 $,2018,donor_level_4/gs1datot,0.6621818391511529,1.75642186823397,0.639386073040965,0.68497760526134,1458,Percentage of donations,Top donors percentage of total donations,CA (without QC),
8,Donor Level,<150 $,2018,donor_level_1/gs1datot,0.0265470513215822,12.7796181425032,0.0198976544055507,0.0331964482376137,1013,Percentage of donations,Top donors percentage of total donations,AB,
9,Donor Level,<150 $,2018,donor_level_1/gs1datot,0.0572989595528635,6.51749523445242,0.049979558412881,0.0646183606928459,3212,Percentage of donations,Top donors percentage of total donations,AT,
10,Donor Level,<150 $,2018,donor_level_1/gs1datot,0.0371793917542175,10.019935021349301,0.0298778381700367,0.0444809453383983,1532,Percentage of donations,Top donors percentage of total donations,BC,
11,Donor Level,<150 $,2018,donor_level_1/gs1datot,0.0395720284628907,6.61243997562562,0.0344434365103807,0.0447006204154008,3289,Percentage of donations,Top donors percentage of total donations,ON,
