Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.503798925010618,1.36510839236742,0.490319465947678,0.517278384073557,5177,Percentage of donors,Top donors percentage of total donors,CA,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.249168970740725,2.35876722714088,0.237649643011773,0.260688298469677,3209,Percentage of donors,Top donors percentage of total donors,CA,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.155256074854125,3.21586376964889,0.145470319904604,0.165041829803646,2244,Percentage of donors,Top donors percentage of total donors,CA,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.0917760293945327,3.50281873661725,0.0854752391865829,0.0980768196024824,1524,Percentage of donors,Top donors percentage of total donors,CA,
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.410625819072513,5.22412370543886,0.368581454182334,0.452670183962692,1013,Percentage of donors,Top donors percentage of total donors,AB,
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.535606183684442,2.20138025276753,0.512496779962909,0.558715587405976,3212,Percentage of donors,Top donors percentage of total donors,AT,
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.462570988918142,3.83923530253763,0.42776361866004,0.497378359176244,1532,Percentage of donors,Top donors percentage of total donors,BC,
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.45783118876401,2.60499069524285,0.434455756961192,0.481206620566828,3289,Percentage of donors,Top donors percentage of total donors,ON,
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.427248028224918,3.85173727403222,0.394993936663125,0.459502119786711,1599,Percentage of donors,Top donors percentage of total donors,PR,
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.66099103779022,2.28886457092587,0.631338370900233,0.690643704680207,1509,Percentage of donors,Top donors percentage of total donors,QC,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.25065916238835,7.51980225285835,0.213715657499456,0.287602667277243,1013,Percentage of donors,Top donors percentage of total donors,AB,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.23795544293832,4.22189768566299,0.218265183494996,0.257645702381645,3212,Percentage of donors,Top donors percentage of total donors,AT,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.249521850712888,5.70746005346779,0.221609298111958,0.277434403313817,1532,Percentage of donors,Top donors percentage of total donors,BC,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.269269151206708,3.96510160211509,0.248343016696548,0.290195285716868,3289,Percentage of donors,Top donors percentage of total donors,ON,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.252932604996205,5.68287182124705,0.224760404633802,0.281104805358608,1599,Percentage of donors,Top donors percentage of total donors,PR,
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.216692501742999,6.25684399697891,0.190119090941699,0.243265912544299,1509,Percentage of donors,Top donors percentage of total donors,QC,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.194613746072964,8.06626289418222,0.163846120928221,0.225381371217708,1013,Percentage of donors,Top donors percentage of total donors,AB,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.143723486478483,5.73646194659029,0.127564282917201,0.159882690039766,3212,Percentage of donors,Top donors percentage of total donors,AT,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.175959805319454,7.30356663479652,0.150771638567783,0.201147972071124,1532,Percentage of donors,Top donors percentage of total donors,BC,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.169351664668873,5.26440601109775,0.15187788169878,0.186825447638966,3289,Percentage of donors,Top donors percentage of total donors,ON,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.184152505751167,6.72892522946142,0.159865642572634,0.208439368929701,1599,Percentage of donors,Top donors percentage of total donors,PR,
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.0964732205170936,9.03534379864188,0.0793888276438014,0.113557613390386,1509,Percentage of donors,Top donors percentage of total donors,QC,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.144101272466173,9.65059623688618,0.116844774643186,0.17135777028916,1013,Percentage of donors,Top donors percentage of total donors,AB,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.0827148868987539,6.60251254049645,0.0720110124590914,0.0934187613384165,3212,Percentage of donors,Top donors percentage of total donors,AT,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.111947355049517,8.23500593440093,0.0938786992612123,0.130016010837822,1532,Percentage of donors,Top donors percentage of total donors,BC,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.103547995360409,5.93449967805783,0.091503907992862,0.115592082727956,3289,Percentage of donors,Top donors percentage of total donors,ON,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.13566686102771,8.52345283105968,0.113002815714644,0.158330906340775,1599,Percentage of donors,Top donors percentage of total donors,PR,
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.025843239949687,16.5577093037984,0.017456458912306,0.0342300209870679,1509,Percentage of donors,Top donors percentage of total donors,QC,*
Donor Level,<$150,2018,donor_level_1/fg1fgiv,0.456203065765249,1.64936188944459,0.441455435331187,0.470950696199311,4326,Percentage of donors,Top donors percentage of total donors,CA (without QC),
Donor Level,$150 < $450,2018,donor_level_2/fg1fgiv,0.25900245042281,2.50899393899954,0.246265907129464,0.271738993716156,2816,Percentage of donors,Top donors percentage of total donors,CA (without QC),
Donor Level,$450 < $1400,2018,donor_level_3/fg1fgiv,0.173054807955888,3.36273710049831,0.161649036210067,0.184460579701709,2045,Percentage of donors,Top donors percentage of total donors,CA (without QC),
Donor Level,>= $1400,2018,donor_level_4/fg1fgiv,0.111739675856053,3.54205199867772,0.103982378653757,0.119496973058349,1458,Percentage of donors,Top donors percentage of total donors,CA (without QC),
