,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.503798925010618,1.3651083923674199,0.490319465947678,0.5172783840735571,5177,Percentage of donors,Top donors percentage of total donors,CA,
1,Donor Level,150 $ < 450 $,2018,donor_level_2/fg1fgiv,0.249168970740725,2.3587672271408797,0.237649643011773,0.260688298469677,3209,Percentage of donors,Top donors percentage of total donors,CA,
2,Donor Level,450 $ < 1400 $,2018,donor_level_3/fg1fgiv,0.15525607485412501,3.21586376964889,0.145470319904604,0.165041829803646,2244,Percentage of donors,Top donors percentage of total donors,CA,
3,Donor Level,>= 1400 $,2018,donor_level_4/fg1fgiv,0.0917760293945327,3.50281873661725,0.0854752391865829,0.0980768196024824,1524,Percentage of donors,Top donors percentage of total donors,CA,
4,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.4106258190725129,5.22412370543886,0.368581454182334,0.45267018396269204,1013,Percentage of donors,Top donors percentage of total donors,AB,
5,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.535606183684442,2.20138025276753,0.512496779962909,0.558715587405976,3212,Percentage of donors,Top donors percentage of total donors,AT,
6,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.462570988918142,3.8392353025376296,0.42776361866004,0.497378359176244,1532,Percentage of donors,Top donors percentage of total donors,BC,
7,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.45783118876401,2.6049906952428503,0.43445575696119204,0.48120662056682795,3289,Percentage of donors,Top donors percentage of total donors,ON,
8,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.427248028224918,3.8517372740322204,0.394993936663125,0.45950211978671096,1599,Percentage of donors,Top donors percentage of total donors,PR,
9,Donor Level,<150 $,2018,donor_level_1/fg1fgiv,0.6609910377902201,2.2888645709258704,0.6313383709002329,0.6906437046802071,1509,Percentage of donors,Top donors percentage of total donors,QC,
10,Donor Level,150 $ < 450 $,2018,donor_level_2/fg1fgiv,0.25065916238835,7.519802252858349,0.21371565749945604,0.287602667277243,1013,Percentage of donors,Top donors percentage of total donors,AB,
11,Donor Level,150 $ < 450 $,2018,donor_level_2/fg1fgiv,0.23795544293832,4.221897685662991,0.21826518349499602,0.25764570238164497,3212,Percentage of donors,Top donors percentage of total donors,AT,
