Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer status,Regular volunteer,2018,nv_020,0.3646141816487399,2.559489339500328,0.3463232859795886,0.38290507731789114,5650,Gave enough time already,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_020,0.5871088407709829,3.599352395133417,0.5456906542540971,0.6285270272878687,1408,Gave enough time already,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_030,0.05399974214697179,8.869720246290129,0.044612247565734724,0.06338723672820885,5604,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_030,0.0702325517479947,17.207879429836815,0.04654534267644445,0.09391976081954495,1383,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,CA,*
Volunteer status,Regular volunteer,2018,nv_040,0.2717501807695017,3.4807330656965347,0.25321108057573516,0.2902892809632682,5631,No one asked,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_040,0.1696635543318308,10.336474255598732,0.1352912158985204,0.20403589276514122,1387,No one asked,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_050,0.15576492320868066,5.806956789175774,0.13803665348027822,0.1734931929370831,5597,Unsure how to get more involved,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_050,0.08322081181262503,15.079363366673268,0.05862489330125915,0.10781673032399092,1382,Unsure how to get more involved,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_060,0.16285384398732683,4.200248641880417,0.14944716825682391,0.17626051971782974,5622,Health probelms/physically unable,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_060,0.20276317388756002,7.923042236162252,0.17127632913962368,0.23425001863549635,1386,Health probelms/physically unable,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_070,0.7430905530203094,1.2037900444515675,0.7255581849945095,0.7606229210461092,5740,Did not have the time,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_070,0.7329734143480575,1.9866948253039765,0.7044325268115353,0.7615143018845797,2171,Did not have the time,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_080,0.09885288617047237,6.434630455479972,0.0863859121357489,0.11131986020519585,5599,Financial cost of volunteering,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_080,0.14803609286444974,11.977423606619622,0.11328414798252091,0.18278803774637858,1386,Financial cost of volunteering,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_090,0.45674532729280315,2.200878383225697,0.43704296735237286,0.47644768723323344,5647,Unable to make commitment,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_090,0.3182406923845944,6.6286287181098,0.2768952640313946,0.3595861207377942,1377,Unable to make commitment,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_100,0.21944644863273657,3.5091069075437487,0.20435352941859677,0.23453936784687637,5621,Preferred to give money instead,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_100,0.12720699369219177,9.04413878747527,0.10465804501051146,0.14975594237387208,2111,Preferred to give money instead,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_110,0.22393151657538385,3.7536097244934363,0.2074570095464159,0.2404060236043518,5614,No interest,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_110,0.22961448892527989,8.070786223585012,0.19329303505529055,0.2659359427952692,1385,No interest,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_120,0.19929730836488485,4.301768722174175,0.18249393095682542,0.21610068577294428,5587,No opportunity to use skills or experiences,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_120,0.14427513833056974,11.038692010714527,0.11306057910600616,0.17548969755513333,1376,No opportunity to use skills or experiences,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_130,0.17367862850634946,4.432307364937323,0.15859088329278906,0.18876637371990987,5590,Not asked to contribute in a way that was meaningful,Top volunteers barriers to volunteering more,CA,
Volunteer status,Top volunteer,2018,nv_130,0.12289784415357931,9.829702335034408,0.09922051441538049,0.14657517389177813,1378,Not asked to contribute in a way that was meaningful,Top volunteers barriers to volunteering more,CA,
Volunteer status,Regular volunteer,2018,nv_020,0.3155872287191723,8.596329744371491,0.2624155249084863,0.36875893252985825,491,Gave enough time already,Top volunteers barriers to volunteering more,AB,
Volunteer status,Top volunteer,2018,nv_020,0.4896703404942178,11.367809046486963,0.38056935832846217,0.5987713226599735,120,Gave enough time already,Top volunteers barriers to volunteering more,AB,
Volunteer status,Regular volunteer,2018,nv_020,0.3298774490203328,5.601195862171296,0.29366303371240465,0.3660918643282609,1333,Gave enough time already,Top volunteers barriers to volunteering more,AT,
Volunteer status,Top volunteer,2018,nv_020,0.5641672923002365,5.917839668456701,0.4987309237233649,0.6296036608771082,363,Gave enough time already,Top volunteers barriers to volunteering more,AT,
Volunteer status,Regular volunteer,2018,nv_020,0.3916569491749128,5.60316777639212,0.34864515543970764,0.4346687429101179,800,Gave enough time already,Top volunteers barriers to volunteering more,BC,
Volunteer status,Top volunteer,2018,nv_020,0.5490966178045397,9.185124698752528,0.45024542449031163,0.6479478111187678,195,Gave enough time already,Top volunteers barriers to volunteering more,BC,
Volunteer status,Regular volunteer,2018,nv_020,0.34622747431627393,4.842978398145457,0.3133633435059062,0.37909160512664164,1586,Gave enough time already,Top volunteers barriers to volunteering more,ON,
Volunteer status,Top volunteer,2018,nv_020,0.6180567233311514,6.066791267699564,0.544565499586299,0.6915479470760038,402,Gave enough time already,Top volunteers barriers to volunteering more,ON,
Volunteer status,Regular volunteer,2018,nv_020,0.31004752953972636,6.951823084083227,0.26780255258421765,0.3522925064952351,737,Gave enough time already,Top volunteers barriers to volunteering more,PR,
Volunteer status,Top volunteer,2018,nv_020,0.40409392101026637,11.267756153568621,0.3148522182820002,0.4933356237385325,190,Gave enough time already,Top volunteers barriers to volunteering more,PR,
Volunteer status,Regular volunteer,2018,nv_020,0.45023956655780334,5.437618946772918,0.4022551168245796,0.4982240162910271,703,Gave enough time already,Top volunteers barriers to volunteering more,QC,
Volunteer status,Top volunteer,2018,nv_020,0.7502834542987107,6.793350726565593,0.6503852924565587,0.8501816161408626,138,Gave enough time already,Top volunteers barriers to volunteering more,QC,
Volunteer status,Regular volunteer,2018,nv_030,0.0780473534133168,23.144964562683917,0.04264250071008349,0.1134522061165501,488,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,AB,*
Volunteer status,Top volunteer,2018,nv_030,0.07495815936020209,43.012649458719046,0.011765999512734562,0.13815031920766963,120,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,AB,...
Volunteer status,Regular volunteer,2018,nv_030,0.04884647892020086,17.221243892452414,0.03235931819647776,0.06533363964392395,1324,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,AT,*
Volunteer status,Top volunteer,2018,nv_030,0.04881895114342071,26.55141886119094,0.02341365454489532,0.07422424774194611,360,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,AT,*
Volunteer status,Regular volunteer,2018,nv_030,0.0530735618665035,20.067707743629327,0.0321986767768359,0.0739484469561711,788,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,BC,*
Volunteer status,Top volunteer,2018,nv_030,0.10599669043606735,31.01129568725085,0.04157081800228124,0.17042256286985347,188,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,BC,*
Volunteer status,Regular volunteer,2018,nv_030,0.04984995508793238,16.558345008039925,0.03367177037370255,0.06602813980216221,1574,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,ON,*
Volunteer status,Top volunteer,2018,nv_030,0.07430578465068378,29.127644394171163,0.03188525570617575,0.11672631359519181,392,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,ON,*
Volunteer status,Regular volunteer,2018,nv_030,0.07106911537581367,17.474542217753783,0.04672831761444713,0.09540991313718022,739,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,PR,*
Volunteer status,Top volunteer,2018,nv_030,0.02864353473461712,48.50955025584957,0.0014101294048303285,0.05587694006440391,187,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,PR,...
Volunteer status,Regular volunteer,2018,nv_030,0.04251454488100323,20.695035304239166,0.025269997617210594,0.05975909214479587,691,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,QC,*
Volunteer status,Top volunteer,2018,nv_030,0.05382540210405785,50.064343910742146,0.0010095971600992334,0.10664120704801647,136,Dissatisfied with previous experience,Top volunteers barriers to volunteering more,QC,...
Volunteer status,Regular volunteer,2018,nv_040,0.2568426356832832,11.086924457723114,0.20103080123055964,0.3126544701360068,490,No one asked,Top volunteers barriers to volunteering more,AB,
Volunteer status,Top volunteer,2018,nv_040,0.15301806228131748,27.826614936749422,0.06956329174008183,0.23647283282255313,120,No one asked,Top volunteers barriers to volunteering more,AB,*
Volunteer status,Regular volunteer,2018,nv_040,0.2864633450581452,6.305387178164934,0.25106125445412164,0.32186543566216874,1333,No one asked,Top volunteers barriers to volunteering more,AT,
Volunteer status,Top volunteer,2018,nv_040,0.17692639198210242,14.612769172487697,0.12625378639974244,0.2275989975644624,361,No one asked,Top volunteers barriers to volunteering more,AT,
Volunteer status,Regular volunteer,2018,nv_040,0.2869118615729327,8.01011192082771,0.24186804527563727,0.3319556778702281,788,No one asked,Top volunteers barriers to volunteering more,BC,
Volunteer status,Top volunteer,2018,nv_040,0.19470109100240168,19.415665618264278,0.1206095274203748,0.2687926545844286,191,No one asked,Top volunteers barriers to volunteering more,BC,*
Volunteer status,Regular volunteer,2018,nv_040,0.26815063133464423,6.096236545887341,0.23611091038337134,0.3001903522859171,1585,No one asked,Top volunteers barriers to volunteering more,ON,
Volunteer status,Top volunteer,2018,nv_040,0.18602186315540542,19.28084073446664,0.11572465974083965,0.25631906656997117,393,No one asked,Top volunteers barriers to volunteering more,ON,*
Volunteer status,Regular volunteer,2018,nv_040,0.28572463611153687,8.735714574338017,0.23680376124924216,0.33464551097383155,741,No one asked,Top volunteers barriers to volunteering more,PR,
Volunteer status,Top volunteer,2018,nv_040,0.18968218332149855,20.28563258722521,0.11426623678030716,0.26509812986268994,186,No one asked,Top volunteers barriers to volunteering more,PR,*
Volunteer status,Regular volunteer,2018,nv_040,0.2662868420671671,9.3278518455524,0.2176036061095284,0.31497007802480576,694,No one asked,Top volunteers barriers to volunteering more,QC,
Volunteer status,Top volunteer,2018,nv_040,0.09046180872096334,30.520869679937423,0.03634773082842989,0.1445758866134968,136,No one asked,Top volunteers barriers to volunteering more,QC,*
Volunteer status,Regular volunteer,2018,nv_050,0.10793126329920692,18.273227036411438,0.06927582503458345,0.1465867015638304,487,Unsure how to get more involved,Top volunteers barriers to volunteering more,AB,*
Volunteer status,Top volunteer,2018,nv_050,0.08256104043283623,37.37122721998343,0.022088166586441374,0.14303391427923107,119,Unsure how to get more involved,Top volunteers barriers to volunteering more,AB,...
