,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Regular volunteer,2018,nv_020,0.3646141816487399,2.559489339500328,0.3463232859795886,0.3829050773178912,5650,Assez de temps déjà donné,Top volunteers barriers to volunteering more,CA,
1,Volunteer status,Top volunteer,2018,nv_020,0.5871088407709829,3.599352395133417,0.5456906542540971,0.6285270272878687,1408,Assez de temps déjà donné,Top volunteers barriers to volunteering more,CA,
2,Volunteer status,Regular volunteer,2018,nv_030,0.053999742146971785,8.869720246290129,0.04461224756573472,0.06338723672820885,5604,Expérience bénévole passée insatisfaisante,Top volunteers barriers to volunteering more,CA,
3,Volunteer status,Top volunteer,2018,nv_030,0.0702325517479947,17.207879429836815,0.04654534267644445,0.09391976081954496,1383,Expérience bénévole passée insatisfaisante,Top volunteers barriers to volunteering more,CA,*
4,Volunteer status,Regular volunteer,2018,nv_040,0.2717501807695017,3.4807330656965347,0.2532110805757352,0.2902892809632682,5631,Aucune sollicitation,Top volunteers barriers to volunteering more,CA,
5,Volunteer status,Top volunteer,2018,nv_040,0.1696635543318308,10.336474255598732,0.1352912158985204,0.2040358927651412,1387,Aucune sollicitation,Top volunteers barriers to volunteering more,CA,
6,Volunteer status,Regular volunteer,2018,nv_050,0.15576492320868066,5.806956789175774,0.13803665348027822,0.1734931929370831,5597,Ne savaient pas comment s'engager plus,Top volunteers barriers to volunteering more,CA,
7,Volunteer status,Top volunteer,2018,nv_050,0.08322081181262503,15.079363366673267,0.05862489330125915,0.10781673032399093,1382,Ne savaient pas comment s'engager plus,Top volunteers barriers to volunteering more,CA,
8,Volunteer status,Regular volunteer,2018,nv_060,0.16285384398732686,4.200248641880417,0.14944716825682391,0.17626051971782974,5622,Problèmes de santé/handicap physique,Top volunteers barriers to volunteering more,CA,
9,Volunteer status,Top volunteer,2018,nv_060,0.20276317388756,7.923042236162252,0.17127632913962368,0.23425001863549635,1386,Problèmes de santé/handicap physique,Top volunteers barriers to volunteering more,CA,
10,Volunteer status,Regular volunteer,2018,nv_070,0.7430905530203094,1.2037900444515677,0.7255581849945095,0.7606229210461092,5740,Manque de temps,Top volunteers barriers to volunteering more,CA,
11,Volunteer status,Top volunteer,2018,nv_070,0.7329734143480575,1.9866948253039765,0.7044325268115353,0.7615143018845797,2171,Manque de temps,Top volunteers barriers to volunteering more,CA,
12,Volunteer status,Regular volunteer,2018,nv_080,0.09885288617047236,6.434630455479972,0.0863859121357489,0.11131986020519584,5599,Coût financier du bénévolat,Top volunteers barriers to volunteering more,CA,
13,Volunteer status,Top volunteer,2018,nv_080,0.14803609286444974,11.977423606619622,0.11328414798252093,0.18278803774637856,1386,Coût financier du bénévolat,Top volunteers barriers to volunteering more,CA,
14,Volunteer status,Regular volunteer,2018,nv_090,0.4567453272928032,2.200878383225697,0.4370429673523729,0.4764476872332334,5647,Incapable de s'engager à long terme,Top volunteers barriers to volunteering more,CA,
15,Volunteer status,Top volunteer,2018,nv_090,0.3182406923845944,6.6286287181098,0.2768952640313946,0.3595861207377942,1377,Incapable de s'engager à long terme,Top volunteers barriers to volunteering more,CA,
16,Volunteer status,Regular volunteer,2018,nv_100,0.21944644863273655,3.5091069075437487,0.2043535294185968,0.2345393678468764,5621,Préférence pour les dons d'argent,Top volunteers barriers to volunteering more,CA,
