Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,TopVolunteerFlag,0.1817517429229713,12.878128593373873,0.13587638848720018,0.22762709735874243,505,Top volunteers,Likelihood of being a top volunteer,CA,
Age group,25 to 34 years,2018,TopVolunteerFlag,0.2098757824965423,9.092988504282093,0.17247186749454949,0.2472796974985351,919,Top volunteers,Likelihood of being a top volunteer,CA,
Age group,35 to 44 years,2018,TopVolunteerFlag,0.18667520964276402,7.274321659428251,0.1600601625021473,0.21329025678338073,1481,Top volunteers,Likelihood of being a top volunteer,CA,
Age group,45 to 54 years,2018,TopVolunteerFlag,0.24628170410154965,6.209292693997922,0.21630924521815056,0.2762541629849487,1390,Top volunteers,Likelihood of being a top volunteer,CA,
Age group,55 to 64 years,2018,TopVolunteerFlag,0.29316029925389264,5.610946572948113,0.2609207188567416,0.32539987965104367,1707,Top volunteers,Likelihood of being a top volunteer,CA,
Age group,65 to 74 years,2018,TopVolunteerFlag,0.36783115354402574,4.847061319001803,0.332886952600883,0.40277535448716845,1560,Top volunteers,Likelihood of being a top volunteer,CA,
Age group,75 years and over,2018,TopVolunteerFlag,0.4138588667936307,5.705908884617572,0.3675754739711583,0.4601422596161031,803,Top volunteers,Likelihood of being a top volunteer,CA,
Gender,Male gender,2018,TopVolunteerFlag,0.23967664029315933,4.225687563894728,0.2198261525316725,0.2595271280546462,3493,Top volunteers,Likelihood of being a top volunteer,CA,
Gender,Female gender,2018,TopVolunteerFlag,0.25791179676186776,3.8759953656897537,0.23831872418727781,0.27750486933645774,4872,Top volunteers,Likelihood of being a top volunteer,CA,
Education,Less than High School,2018,TopVolunteerFlag,0.18785697192367304,13.25400434794405,0.13905666905287564,0.23665727479447043,545,Top volunteers,Likelihood of being a top volunteer,CA,
Education,Graduated from High school,2018,TopVolunteerFlag,0.23949276024621352,7.238755922268207,0.2055142437440772,0.27347127674834987,1455,Top volunteers,Likelihood of being a top volunteer,CA,
Education,Post-secondary diploma,2018,TopVolunteerFlag,0.25723607439083057,4.8216372229982145,0.2329266600751684,0.2815454887064927,2618,Top volunteers,Likelihood of being a top volunteer,CA,
Education,University Diploma,2018,TopVolunteerFlag,0.27204147211231783,4.485529528779638,0.24812501048922336,0.2959579337354123,2973,Top volunteers,Likelihood of being a top volunteer,CA,
