,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,TopVolunteerFlag,0.1817517429229713,12.878128593373873,0.13587638848720018,0.22762709735874245,505,Top volunteers,Likelihood of being a top volunteer,CA,
1,Groupe d'âge,25 à 34 ans,2018,TopVolunteerFlag,0.2098757824965423,9.092988504282092,0.17247186749454949,0.2472796974985351,919,Top volunteers,Likelihood of being a top volunteer,CA,
2,Groupe d'âge,35 à 44 ans,2018,TopVolunteerFlag,0.186675209642764,7.274321659428251,0.1600601625021473,0.21329025678338076,1481,Top volunteers,Likelihood of being a top volunteer,CA,
3,Groupe d'âge,45 à 54 ans,2018,TopVolunteerFlag,0.24628170410154965,6.209292693997923,0.21630924521815054,0.2762541629849487,1390,Top volunteers,Likelihood of being a top volunteer,CA,
4,Groupe d'âge,55 à 64 ans,2018,TopVolunteerFlag,0.29316029925389264,5.610946572948114,0.2609207188567416,0.3253998796510437,1707,Top volunteers,Likelihood of being a top volunteer,CA,
5,Groupe d'âge,65 à 74 ans,2018,TopVolunteerFlag,0.36783115354402574,4.847061319001803,0.33288695260088297,0.4027753544871685,1560,Top volunteers,Likelihood of being a top volunteer,CA,
6,Groupe d'âge,75 ans et plus,2018,TopVolunteerFlag,0.4138588667936307,5.705908884617572,0.3675754739711583,0.4601422596161031,803,Top volunteers,Likelihood of being a top volunteer,CA,
7,Genre,Hommes,2018,TopVolunteerFlag,0.2396766402931593,4.225687563894728,0.2198261525316725,0.2595271280546462,3493,Top volunteers,Likelihood of being a top volunteer,CA,
8,Genre,Femmes,2018,TopVolunteerFlag,0.25791179676186776,3.8759953656897537,0.2383187241872778,0.2775048693364577,4872,Top volunteers,Likelihood of being a top volunteer,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,TopVolunteerFlag,0.18785697192367304,13.25400434794405,0.13905666905287564,0.23665727479447046,545,Top volunteers,Likelihood of being a top volunteer,CA,
10,Éducation,Diplôme d'études secondaires,2018,TopVolunteerFlag,0.2394927602462135,7.238755922268207,0.2055142437440772,0.2734712767483499,1455,Top volunteers,Likelihood of being a top volunteer,CA,
11,Éducation,Diplôme post-secondaire,2018,TopVolunteerFlag,0.25723607439083057,4.821637222998215,0.2329266600751684,0.2815454887064927,2618,Top volunteers,Likelihood of being a top volunteer,CA,
