Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer Level,<50 hrs,2018,volunteer_level_1/vd1dhrs,0.051382675,12.77685615,0.038484112,0.064281239,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,50 hrs < 150 hrs,2018,volunteer_level_2/vd1dhrs,0.163773119,13.27493273,0.121058594,0.206487644,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,150 hrs < 425 hrs,2018,volunteer_level_3/vd1dhrs,0.260832245,12.26770317,0.197964893,0.323699597,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,>= 425 hrs,2018,volunteer_level_4/vd1dhrs,0.52401196,8.421696609,0.437307503,0.610716417,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,<44 hrs,2018,volunteer_level_1/vd1dhrs,0.059673085,8.617034342,0.049570397,0.069775773,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,44 hrs < 144 hrs,2018,volunteer_level_2/vd1dhrs,0.146795109,9.238381334,0.120150576,0.173439641,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,144 hrs < 356 hrs,2018,volunteer_level_3/vd1dhrs,0.240795492,9.429315578,0.196185808,0.285405177,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,>= 356 hrs,2018,volunteer_level_4/vd1dhrs,0.552736314,6.014336238,0.487422306,0.618050321,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,<50 hrs,2018,volunteer_level_1/vd1dhrs,0.056094646,10.46635478,0.044559648,0.067629643,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
Volunteer Level,50 hrs < 150 hrs,2018,volunteer_level_2/vd1dhrs,0.159084829,10.6650603,0.125750424,0.192419234,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
Volunteer Level,150 hrs < 365 hrs,2018,volunteer_level_3/vd1dhrs,0.219763709,10.15271561,0.175926911,0.263600507,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
Volunteer Level,>= 365 hrs,2018,volunteer_level_4/vd1dhrs,0.565056817,6.155699788,0.496717571,0.633396062,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.065402241,4.140362107,0.060094875,0.070709607,4145,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.150675647,4.301766521,0.13797172,0.163379574,1953,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/vd1dhrs,0.238014694,4.55750858,0.216753906,0.259275482,1348,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,>= 330 hrs,2018,volunteer_level_4/vd1dhrs,0.545907418,2.681464196,0.517216854,0.574597982,919,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,<48 hrs,2018,volunteer_level_1/vd1dhrs,0.06031368,4.664365267,0.054786431,0.065840928,3631,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,48 hrs < 140 hrs,2018,volunteer_level_2/vd1dhrs,0.160960077,4.619777909,0.146350424,0.17556973,1723,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,140 hrs < 324 hrs,2018,volunteer_level_3/vd1dhrs,0.235825689,4.836806279,0.213415246,0.258236132,1215,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,>= 324 hrs,2018,volunteer_level_4/vd1dhrs,0.542900554,2.920094681,0.511753438,0.574047671,816,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,<46 hrs,2018,volunteer_level_1/vd1dhrs,0.066232442,7.787228316,0.056099063,0.076365822,2347,Percentage of hours,Top volunteers percentage of total hours,ON,
Volunteer Level,46 hrs < 130 hrs,2018,volunteer_level_2/vd1dhrs,0.159580739,7.492916137,0.136088091,0.183073387,2347,Percentage of hours,Top volunteers percentage of total hours,ON,
Volunteer Level,130 hrs < 290 hrs,2018,volunteer_level_3/vd1dhrs,0.233660894,8.322532464,0.195453962,0.271867826,2347,Percentage of hours,Top volunteers percentage of total hours,ON,
Volunteer Level,>= 290 hrs,2018,volunteer_level_4/vd1dhrs,0.540525925,4.987413402,0.487560492,0.593491357,2347,Percentage of hours,Top volunteers percentage of total hours,ON,
Volunteer Level,<50 hrs,2018,volunteer_level_1/vd1dhrs,0.062471756,10.8076767,0.049206468,0.075737044,1075,Percentage of hours,Top volunteers percentage of total hours,PR,
Volunteer Level,50 hrs < 150 hrs,2018,volunteer_level_2/vd1dhrs,0.151205624,10.513564,0.119972276,0.182438971,1075,Percentage of hours,Top volunteers percentage of total hours,PR,
Volunteer Level,150 hrs < 425 hrs,2018,volunteer_level_3/vd1dhrs,0.236132289,11.92709494,0.180798465,0.291466112,1075,Percentage of hours,Top volunteers percentage of total hours,PR,
