Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0654022409690794,4.1403621065311,0.0600948748752333,0.0707096070629255,4145,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.150675646571971,4.30176652102834,0.137971719555531,0.16337957358841,1953,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/vd1dhrs,0.238014694442154,4.55750858034963,0.21675390648278,0.259275482401527,1348,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,>= 330 hrs,2018,volunteer_level_4/vd1dhrs,0.545907418016796,2.68146419560878,0.51721685378996,0.574597982243632,919,Percentage of hours,Top volunteers percentage of total hours,CA,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0645841835549383,4.61098078621095,0.0587474807901792,0.0704208863196974,3631,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.151061209339822,4.74356723968614,0.137016714940735,0.16510570373891,1723,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/vd1dhrs,0.24593893359409,4.76316694806897,0.222978970781668,0.268898896406511,1215,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,>= 330 hrs,2018,volunteer_level_4/vd1dhrs,0.53841567351115,2.95303438704484,0.50725303017387,0.569578316848429,816,Percentage of hours,Top volunteers percentage of total hours,CA (without QC),
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0513826751523831,12.5484542265348,0.0387453536855406,0.0640199966192256,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0677461436475136,8.41965896813207,0.0565665203314946,0.0789257669635326,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0560946455358584,10.2945695461946,0.0447764370135123,0.0674128540582045,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0719175015975359,7.63760076389881,0.0611518669855082,0.0826831362095635,2347,Percentage of hours,Top volunteers percentage of total hours,ON,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0676596788009224,10.8348420992614,0.0532915368723766,0.0820278207294682,1075,Percentage of hours,Top volunteers percentage of total hours,PR,
Volunteer Level,<49 hrs,2018,volunteer_level_1/vd1dhrs,0.0692571681109064,11.64244291551,0.0534535350377752,0.0850608011840376,980,Percentage of hours,Top volunteers percentage of total hours,QC,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.14050307905398,13.5646945701513,0.103148490936668,0.177857667171293,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.128265512601244,9.89162159130766,0.103398392837016,0.153132632365471,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.146881006947063,10.8111292453732,0.11575776767841,0.178004246215716,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.162656340931025,7.55555753626619,0.138569180432544,0.186743501429505,2347,Percentage of hours,Top volunteers percentage of total hours,ON,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.145666074263335,10.7149466837512,0.115074873694639,0.176257274832031,1075,Percentage of hours,Top volunteers percentage of total hours,PR,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/vd1dhrs,0.148858761408441,12.6255407543439,0.1120227600585,0.185694762758381,980,Percentage of hours,Top volunteers percentage of total hours,QC,
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/vd1dhrs,0.222960167542672,12.9269324708218,0.166470261398686,0.279450073686657,758,Percentage of hours,Top volunteers percentage of total hours,AB,
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/vd1dhrs,0.236535571286313,9.35930362354221,0.193145727302572,0.279925415270055,2011,Percentage of hours,Top volunteers percentage of total hours,AT,
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/vd1dhrs,0.208182668124827,10.0682663018774,0.167101067597273,0.249264268652382,1194,Percentage of hours,Top volunteers percentage of total hours,BC,
