Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer Level,<50 hrs,2018,volunteer_level_1/fv1fvol,0.5,4.984,0.4511,0.5487,758,Percentage of volunteers,Top volunteers percentage of total volunteers,AB,
Volunteer Level,50 hrs < 150 hrs,2018,volunteer_level_2/fv1fvol,0.25,8.677,0.2085,0.2931,758,Percentage of volunteers,Top volunteers percentage of total volunteers,AB,
Volunteer Level,150 hrs < 425 hrs,2018,volunteer_level_3/fv1fvol,0.15,11.35,0.1189,0.1857,758,Percentage of volunteers,Top volunteers percentage of total volunteers,AB,
Volunteer Level,>= 425 hrs,2018,volunteer_level_4/fv1fvol,0.1,14.24,0.0772,0.1349,758,Percentage of volunteers,Top volunteers percentage of total volunteers,AB,
Volunteer Level,<44 hrs,2018,volunteer_level_1/fv1fvol,0.5,3.136,0.4677,0.529,2011,Percentage of volunteers,Top volunteers percentage of total volunteers,AT,
Volunteer Level,44 hrs < 144 hrs,2018,volunteer_level_2/fv1fvol,0.25,5.432,0.2225,0.2755,2011,Percentage of volunteers,Top volunteers percentage of total volunteers,AT,
Volunteer Level,144 hrs < 356 hrs,2018,volunteer_level_3/fv1fvol,0.15,7.29,0.1326,0.1766,2011,Percentage of volunteers,Top volunteers percentage of total volunteers,AT,
Volunteer Level,>= 356 hrs,2018,volunteer_level_4/fv1fvol,0.1,8.678,0.0844,0.1187,2011,Percentage of volunteers,Top volunteers percentage of total volunteers,AT,
Volunteer Level,<50 hrs,2018,volunteer_level_1/fv1fvol,0.5,4.087,0.4431,0.5203,1194,Percentage of volunteers,Top volunteers percentage of total volunteers,BC,
Volunteer Level,50 hrs < 150 hrs,2018,volunteer_level_2/fv1fvol,0.25,6.647,0.2329,0.3024,1194,Percentage of volunteers,Top volunteers percentage of total volunteers,BC,
Volunteer Level,150 hrs < 365 hrs,2018,volunteer_level_3/fv1fvol,0.15,8.66,0.1236,0.1737,1194,Percentage of volunteers,Top volunteers percentage of total volunteers,BC,
Volunteer Level,>= 365 hrs,2018,volunteer_level_4/fv1fvol,0.1,11.55,0.0837,0.1317,1194,Percentage of volunteers,Top volunteers percentage of total volunteers,BC,
Volunteer Level,<49 hrs,2018,volunteer_level_1/fv1fvol,0.5,1.69707484,0.495228705,0.529306864,4145,Percentage of volunteers,Top volunteers percentage of total volunteers,CA,
Volunteer Level,49 hrs < 133 hrs,2018,volunteer_level_2/fv1fvol,0.25,3.128901171,0.223563768,0.25277543,1953,Percentage of volunteers,Top volunteers percentage of total volunteers,CA,
Volunteer Level,133 hrs < 330 hrs,2018,volunteer_level_3/fv1fvol,0.15,4.159360161,0.137445662,0.161844373,1348,Percentage of volunteers,Top volunteers percentage of total volunteers,CA,
Volunteer Level,>= 330 hrs,2018,volunteer_level_4/fv1fvol,0.1,4.640035238,0.090830791,0.109004407,919,Percentage of volunteers,Top volunteers percentage of total volunteers,CA,
Volunteer Level,<48 hrs,2018,volunteer_level_1/fv1fvol,0.5,1.899,0.4765,0.5134,3631,Percentage of volunteers,Top volunteers percentage of total volunteers,CA (without QC),
Volunteer Level,48 hrs < 140 hrs,2018,volunteer_level_2/fv1fvol,0.25,3.209,0.2393,0.2714,1723,Percentage of volunteers,Top volunteers percentage of total volunteers,CA (without QC),
Volunteer Level,140 hrs < 324 hrs,2018,volunteer_level_3/fv1fvol,0.15,4.513,0.1367,0.1632,1215,Percentage of volunteers,Top volunteers percentage of total volunteers,CA (without QC),
Volunteer Level,>= 324 hrs,2018,volunteer_level_4/fv1fvol,0.1,4.799,0.0915,0.1105,816,Percentage of volunteers,Top volunteers percentage of total volunteers,CA (without QC),
