,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Regular volunteer,2018,flag_vd1dex01,0.052943227541635884,8.148547885459152,0.04448773858934257,0.06139871649392921,6098,Arts et culture,Top volunteers levels of support by cause,CA,
1,Volunteer status,Top volunteer,2018,flag_vd1dex01,0.10096812070774104,8.296437834075643,0.08454997796167618,0.11738626345380593,2267,Arts et culture,Top volunteers levels of support by cause,CA,
2,Volunteer status,Regular volunteer,2018,flag_vd1dex02,0.19471216396083255,3.7804059611120406,0.18028504497076528,0.20913928295089987,6098,Sport et loisir,Top volunteers levels of support by cause,CA,
3,Volunteer status,Top volunteer,2018,flag_vd1dex02,0.2867969151996583,5.62747016716504,0.2551642512152707,0.31842957918404585,2267,Sport et loisir,Top volunteers levels of support by cause,CA,
4,Volunteer status,Regular volunteer,2018,flag_vd1dex03,0.1693327245797015,4.561359536050144,0.1541942089732612,0.1844712401861418,6098,Éducation et recherche,Top volunteers levels of support by cause,CA,
5,Volunteer status,Top volunteer,2018,flag_vd1dex03,0.14426310266194325,8.798092135713885,0.11938645443211884,0.1691397508917676,2267,Éducation et recherche,Top volunteers levels of support by cause,CA,
6,Volunteer status,Regular volunteer,2018,flag_vd1dex04,0.04647366439661752,10.474207822599112,0.03693305325511676,0.056014275538118274,6098,Universités et collèges,Top volunteers levels of support by cause,CA,
7,Volunteer status,Top volunteer,2018,flag_vd1dex04,0.05508975718329807,19.882976060368897,0.0336213245423925,0.07655818982420362,2267,Universités et collèges,Top volunteers levels of support by cause,CA,*
8,Volunteer status,Regular volunteer,2018,flag_vd1dex05,0.1036354682875283,5.3475089769207615,0.09277351258108003,0.11449742399397655,6098,Santé,Top volunteers levels of support by cause,CA,
9,Volunteer status,Top volunteer,2018,flag_vd1dex05,0.1020424537735294,10.402698064916676,0.08123710609007925,0.12284780145697954,2267,Santé,Top volunteers levels of support by cause,CA,
10,Volunteer status,Regular volunteer,2018,flag_vd1dex06,0.03883306458476436,9.440615724635212,0.031647679033304066,0.04601845013622464,6098,Hôpitaux,Top volunteers levels of support by cause,CA,
11,Volunteer status,Top volunteer,2018,flag_vd1dex06,0.07581503973684159,10.294493624856749,0.060517962941894675,0.0911121165317885,2267,Hôpitaux,Top volunteers levels of support by cause,CA,
