Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer status,Regular volunteer,2018,rv_020,0.5662261585960356,2.0056340375245094,0.5439679754531973,0.588484341738874,5032,Personally affected by cause,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_020,0.6423372447299417,2.623578021894301,0.6093075028631669,0.6753669865967165,2098,Personally affected by cause,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_025,0.2502054004686792,3.90357187021166,0.2310625348741166,0.26934826606324175,4924,Friends volunteer,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_025,0.2496124520473317,6.320603955611098,0.2186900718088752,0.28053483228578824,2070,Friends volunteer,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_030,0.39447692596951733,2.800373555447139,0.37282554189239664,0.41612831004663803,4934,Family member volunteers,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_030,0.38373720809622563,4.207139069174172,0.3520948478533467,0.41537956833910455,2077,Family member volunteers,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_040,0.4574176723940943,2.469895909730585,0.4352745081409512,0.4795608366472374,4925,Networking or meeting people,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_040,0.5367978448209856,3.160977367716071,0.5035410614984619,0.5700546281435093,2084,Networking or meeting people,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_050,0.24255016890843015,4.440233926040839,0.22144175880796527,0.26365857900889506,4881,Improve job opportunities,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_050,0.2149632592946175,7.160565043114533,0.18479434902445357,0.2451321695647814,2055,Improve job opportunities,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_060,0.17619151864601493,4.770516628385122,0.15971753980297226,0.1926654974890576,4913,Religious reasons,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_060,0.23674154318925716,6.284500604060758,0.20758115255301265,0.2659019338255017,2073,Religious reasons,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_065,0.22120258401628373,4.2377165635693865,0.2028300020808648,0.23957516595170267,4900,Spiritual or other beliefs,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_065,0.3174396143567813,5.323317531231686,0.2843195184189271,0.3505597102946355,2075,Spiritual or other beliefs,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_070,0.40153881195559255,2.8454002988883906,0.37914546579729125,0.42393215811389384,4897,Explore own strengths,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_070,0.5061849919054991,3.382131811181735,0.4726307149606013,0.539739268850397,2060,Explore own strengths,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_080,0.8846680902335494,0.739397581926448,0.871847545462564,0.8974886350045348,5069,Contribute to community,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_080,0.9283172928112197,0.9598588275547092,0.9108529641820333,0.945781621440406,2130,Contribute to community,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_090,0.7036008779837751,1.4425641418884525,0.6837074513599745,0.7234943046075758,4998,Use skills and experiences,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_090,0.8549705546485394,1.3098100341715035,0.8330219173438749,0.876919191953204,2115,Use skills and experiences,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_100,0.30121788854688275,3.562549254648432,0.2801854451692095,0.322250331924556,4897,"Support political, environmental or social cause",Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_100,0.3405684529859819,4.75589724510898,0.30882274841186186,0.3723141575601019,2053,"Support political, environmental or social cause",Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_110,0.4689762117214676,2.3155020087933766,0.44769266175665884,0.49025976168627633,4944,Improve well-being or health,Top volunteers motivations for volunteering,CA,
Volunteer status,Top volunteer,2018,rv_110,0.6141070612105345,2.6037455110601395,0.5827676584128267,0.6454464640082422,2086,Improve well-being or health,Top volunteers motivations for volunteering,CA,
Volunteer status,Regular volunteer,2018,rv_020,0.5609304674716546,2.1456084169348055,0.5373415731375702,0.584519361805739,4423,Personally affected by cause,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Top volunteer,2018,rv_020,0.6384803977533869,2.7879630171794556,0.603591868021931,0.6733689274848429,1877,Personally affected by cause,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Regular volunteer,2018,rv_025,0.25796448837148106,4.103363518924438,0.23721783701614724,0.2787111397268149,4329,Friends volunteer,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Top volunteer,2018,rv_025,0.2666639596918406,6.575598487621255,0.23229647866493958,0.3010314407187416,1851,Friends volunteer,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Regular volunteer,2018,rv_030,0.3948497103192618,2.8994256052860155,0.3724113103750499,0.41728811026347373,4342,Family member volunteers,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Top volunteer,2018,rv_030,0.3849900402431852,4.303808536964214,0.35251493792361815,0.4174651425627523,1857,Family member volunteers,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Regular volunteer,2018,rv_040,0.4644833254884479,2.573340983540812,0.44105638600991387,0.4879102649669819,4332,Networking or meeting people,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Top volunteer,2018,rv_040,0.5368342678233949,3.146068995813241,0.5037320902354232,0.5699364454113667,1860,Networking or meeting people,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Regular volunteer,2018,rv_050,0.2534782621175987,4.579363839601148,0.23072760409570162,0.2762289201394958,4295,Improve job opportunities,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Top volunteer,2018,rv_050,0.22815622260748952,7.425257161676332,0.19495210768451796,0.26136033753046106,1839,Improve job opportunities,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Regular volunteer,2018,rv_060,0.19618998449556008,4.921657639127646,0.17726496550972215,0.215115003481398,4323,Religious reasons,Top volunteers motivations for volunteering,CA (without QC),
Volunteer status,Top volunteer,2018,rv_060,0.25202178709000045,6.3000558388288015,0.22090243283308406,0.28314114134691687,1854,Religious reasons,Top volunteers motivations for volunteering,CA (without QC),
