,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Regular volunteer,2018,rv_020,0.5662261585960356,2.0056340375245094,0.5439679754531973,0.588484341738874,5032,Touché.e personnellement par la cause,Top volunteers motivations for volunteering,CA,
1,Volunteer status,Top volunteer,2018,rv_020,0.6423372447299417,2.623578021894301,0.6093075028631669,0.6753669865967165,2098,Touché.e personnellement par la cause,Top volunteers motivations for volunteering,CA,
2,Volunteer status,Regular volunteer,2018,rv_025,0.2502054004686792,3.9035718702116604,0.2310625348741166,0.2693482660632417,4924,Bénévoles parmi les amis,Top volunteers motivations for volunteering,CA,
3,Volunteer status,Top volunteer,2018,rv_025,0.2496124520473317,6.320603955611098,0.2186900718088752,0.28053483228578824,2070,Bénévoles parmi les amis,Top volunteers motivations for volunteering,CA,
4,Volunteer status,Regular volunteer,2018,rv_030,0.3944769259695173,2.800373555447139,0.37282554189239664,0.416128310046638,4934,Bénévoles dans la famille,Top volunteers motivations for volunteering,CA,
5,Volunteer status,Top volunteer,2018,rv_030,0.3837372080962256,4.207139069174172,0.3520948478533467,0.41537956833910455,2077,Bénévoles dans la famille,Top volunteers motivations for volunteering,CA,
6,Volunteer status,Regular volunteer,2018,rv_040,0.4574176723940943,2.469895909730585,0.4352745081409512,0.4795608366472374,4925,Réseauter ou rencontrer des gens,Top volunteers motivations for volunteering,CA,
7,Volunteer status,Top volunteer,2018,rv_040,0.5367978448209856,3.160977367716071,0.5035410614984619,0.5700546281435093,2084,Réseauter ou rencontrer des gens,Top volunteers motivations for volunteering,CA,
8,Volunteer status,Regular volunteer,2018,rv_050,0.2425501689084301,4.440233926040839,0.22144175880796527,0.26365857900889506,4881,Améliorer ses possibilités d'emploi,Top volunteers motivations for volunteering,CA,
9,Volunteer status,Top volunteer,2018,rv_050,0.2149632592946175,7.1605650431145325,0.1847943490244536,0.2451321695647814,2055,Améliorer ses possibilités d'emploi,Top volunteers motivations for volunteering,CA,
10,Volunteer status,Regular volunteer,2018,rv_060,0.17619151864601493,4.7705166283851215,0.15971753980297226,0.1926654974890576,4913,Raisons religieuses,Top volunteers motivations for volunteering,CA,
11,Volunteer status,Top volunteer,2018,rv_060,0.2367415431892572,6.284500604060758,0.20758115255301265,0.2659019338255017,2073,Raisons religieuses,Top volunteers motivations for volunteering,CA,
12,Volunteer status,Regular volunteer,2018,rv_065,0.22120258401628373,4.2377165635693865,0.2028300020808648,0.2395751659517027,4900,Spiritual or other beliefs,Top volunteers motivations for volunteering,CA,
13,Volunteer status,Top volunteer,2018,rv_065,0.3174396143567813,5.3233175312316865,0.2843195184189271,0.3505597102946355,2075,Spiritual or other beliefs,Top volunteers motivations for volunteering,CA,
14,Volunteer status,Regular volunteer,2018,rv_070,0.40153881195559255,2.84540029888839,0.3791454657972913,0.42393215811389373,4897,Découvrir ses points forts,Top volunteers motivations for volunteering,CA,
15,Volunteer status,Top volunteer,2018,rv_070,0.5061849919054991,3.382131811181735,0.4726307149606013,0.539739268850397,2060,Découvrir ses points forts,Top volunteers motivations for volunteering,CA,
16,Volunteer status,Regular volunteer,2018,rv_080,0.8846680902335494,0.739397581926448,0.871847545462564,0.8974886350045348,5069,Contribuer à la communauté,Top volunteers motivations for volunteering,CA,
17,Volunteer status,Top volunteer,2018,rv_080,0.9283172928112196,0.9598588275547092,0.9108529641820332,0.9457816214404059,2130,Contribuer à la communauté,Top volunteers motivations for volunteering,CA,
18,Volunteer status,Regular volunteer,2018,rv_090,0.7036008779837751,1.4425641418884525,0.6837074513599745,0.7234943046075758,4998,Utiliser ses compétences et son expérience,Top volunteers motivations for volunteering,CA,
19,Volunteer status,Top volunteer,2018,rv_090,0.8549705546485394,1.3098100341715035,0.8330219173438749,0.8769191919532041,2115,Utiliser ses compétences et son expérience,Top volunteers motivations for volunteering,CA,
20,Volunteer status,Regular volunteer,2018,rv_100,0.30121788854688275,3.5625492546484314,0.2801854451692095,0.32225033192455604,4897,"Soutenir une cause politique, environnementale ou sociale",Top volunteers motivations for volunteering,CA,
21,Volunteer status,Top volunteer,2018,rv_100,0.3405684529859819,4.75589724510898,0.30882274841186186,0.3723141575601019,2053,"Soutenir une cause politique, environnementale ou sociale",Top volunteers motivations for volunteering,CA,
22,Volunteer status,Regular volunteer,2018,rv_110,0.4689762117214676,2.3155020087933766,0.4476926617566589,0.4902597616862763,4944,Améliorer le bien-être ou la santé,Top volunteers motivations for volunteering,CA,
