,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,All,,2018,vd1dtx01/total_hours,0.0559230037048842,10.6458921221448,0.0442543529370856,0.0675916544726827,-,Arts et culture,Allocation of support by cause,CA,
1,All,,2018,vd1dtx02/total_hours,0.18927696892939702,6.068858653289199,0.16676295729043802,0.21179098056835602,-,Sport et loisir,Allocation of support by cause,CA,
2,All,,2018,vd1dtx03/total_hours,0.0683725410952969,8.14855543172448,0.0574528479049003,0.0792922342856936,-,Éducation et recherche,Allocation of support by cause,CA,
3,All,,2018,vd1dtx04/total_hours,0.0324465222372582,18.744597420617506,0.0205260801402883,0.0443669643342281,-,Universités et collèges,Allocation of support by cause,CA,*
4,All,,2018,vd1dtx05/total_hours,0.0492063068807383,11.669040625171599,0.0379523819555322,0.0604602318059445,-,Santé,Allocation of support by cause,CA,
5,All,,2018,vd1dtx06/total_hours,0.0439110590159898,11.7274387600781,0.0338179450749311,0.0540041729570485,-,Hôpitaux,Allocation of support by cause,CA,
6,All,,2018,vd1dtx07/total_hours,0.195427223465648,6.303301445573701,0.171283667793862,0.219570779137434,-,Services sociaux,Allocation of support by cause,CA,
7,All,,2018,vd1dtx08/total_hours,0.048674024242474995,23.428330569725798,0.0263235527949932,0.0710244956899569,-,Environnement,Allocation of support by cause,CA,*
8,All,,2018,vd1dtx09/total_hours,0.0623366024761756,9.44839286813033,0.0507927926792037,0.0738804122731476,-,Aménagement et logement,Allocation of support by cause,CA,
9,All,,2018,vd1dtx10/total_hours,0.0319257904908282,21.180024746388305,0.0186727289836009,0.0451788519980555,-,"Droit, plaidoyer et politique",Allocation of support by cause,CA,*
10,All,,2018,vd1dtx11/total_hours,0.0156362362586616,15.5243316223117,0.0108785781900677,0.0203938943272555,-,"Subventions, collecte de fonds",Allocation of support by cause,CA,
11,All,,2018,vd1dtx12/total_hours,0.010194775683775,23.9775953705791,0.00540371807990871,0.0149858332876412,-,International,Allocation of support by cause,CA,*
12,All,,2018,vd1dtx13/total_hours,0.171629402680737,6.150358858945991,0.15094036747583098,0.192318437885643,-,Religion,Allocation of support by cause,CA,
13,All,,2018,vd1dtx14/total_hours,0.0199269697496636,21.3038034408589,0.011606525806895002,0.0282474136924321,-,Entreprises et professionnels,Allocation of support by cause,CA,*
14,All,,2018,vd1dtx15/total_hours,0.00511257308847169,42.8205397475576,0.00082175840736215,0.00940338776958123,-,Autre,Allocation of support by cause,CA,...
15,All,,2018,vd1dtx01/total_hours,0.0276063419181065,30.815573639493397,0.0109328251625484,0.0442798586736646,615,Arts et culture,Allocation of support by cause,AB,*
16,All,,2018,vd1dtx01/total_hours,0.0685839148348291,19.267331196770094,0.0426843823164449,0.0944834473532132,1777,Arts et culture,Allocation of support by cause,AT,*
17,All,,2018,vd1dtx01/total_hours,0.0572327921084107,23.061318966456906,0.0313639394499853,0.0831016447668361,945,Arts et culture,Allocation of support by cause,BC,*
18,All,,2018,vd1dtx01/total_hours,0.0658663769264842,20.686578552549697,0.0391608880419999,0.0925718658109684,1962,Arts et culture,Allocation of support by cause,ON,*
19,All,,2018,vd1dtx01/total_hours,0.0437461805059849,23.717811679454602,0.0234103062389603,0.0640820547730095,902,Arts et culture,Allocation of support by cause,PR,*
20,All,,2018,vd1dtx01/total_hours,0.0559735181462179,20.7699298481854,0.0331876423627659,0.0787593939296698,803,Arts et culture,Allocation of support by cause,QC,*
21,All,,2018,vd1dtx02/total_hours,0.193347295938638,14.029147647135801,0.14018331672398998,0.246511275153286,615,Sport et loisir,Allocation of support by cause,AB,
22,All,,2018,vd1dtx02/total_hours,0.17697335062407699,10.550051554107,0.14037929479417002,0.21356740645398498,1777,Sport et loisir,Allocation of support by cause,AT,
23,All,,2018,vd1dtx02/total_hours,0.199239284579131,14.544482077393699,0.142442817054719,0.25603575210354296,945,Sport et loisir,Allocation of support by cause,BC,
24,All,,2018,vd1dtx02/total_hours,0.18396655140336698,10.782260668773999,0.145089189690435,0.22284391311629898,1962,Sport et loisir,Allocation of support by cause,ON,
25,All,,2018,vd1dtx02/total_hours,0.19685815470877302,20.6843454511871,0.11705073250899302,0.27666557690855204,902,Sport et loisir,Allocation of support by cause,PR,*
26,All,,2018,vd1dtx02/total_hours,0.189950277998218,13.7785675072647,0.13865326313315,0.24124729286328503,803,Sport et loisir,Allocation of support by cause,QC,
27,All,,2018,vd1dtx03/total_hours,0.0873530551595312,18.4965860637138,0.0556852643406542,0.11902084597840801,615,Éducation et recherche,Allocation of support by cause,AB,*
28,All,,2018,vd1dtx03/total_hours,0.0600406316853393,13.252466775018101,0.0444454633148869,0.0756358000557917,1777,Éducation et recherche,Allocation of support by cause,AT,
29,All,,2018,vd1dtx03/total_hours,0.0806210686416584,19.2783233522879,0.0501585434144885,0.111083593868828,945,Éducation et recherche,Allocation of support by cause,BC,*
30,All,,2018,vd1dtx03/total_hours,0.0643454828969666,15.220885276346099,0.0451496894514313,0.0835412763425019,1962,Éducation et recherche,Allocation of support by cause,ON,
31,All,,2018,vd1dtx03/total_hours,0.0986041593449968,25.396317921451303,0.0495230826874522,0.147685236002541,902,Éducation et recherche,Allocation of support by cause,PR,*
32,All,,2018,vd1dtx03/total_hours,0.0405911511018379,19.946148952132198,0.0247225546344709,0.0564597475692049,803,Éducation et recherche,Allocation of support by cause,QC,*
33,All,,2018,vd1dtx04/total_hours,0.0288521921983816,45.10911173639871,0.00334332440877631,0.0543610599879868,615,Universités et collèges,Allocation of support by cause,AB,...
34,All,,2018,vd1dtx04/total_hours,0.0122829508503338,30.9752240483358,0.0048259316478792705,0.0197399700527884,1777,Universités et collèges,Allocation of support by cause,AT,*
35,All,,2018,vd1dtx04/total_hours,0.0365176169912613,54.68609963472501,-0.00262298218548191,0.0756582161680044,945,Universités et collèges,Allocation of support by cause,BC,...
36,All,,2018,vd1dtx04/total_hours,0.0279545723444405,18.274002427092103,0.0179422546382443,0.0379668900506366,1962,Universités et collèges,Allocation of support by cause,ON,*
37,All,,2018,vd1dtx04/total_hours,0.0541850540126381,45.96128377650479,0.0053738239260927,0.10299628409918402,902,Universités et collèges,Allocation of support by cause,PR,...
38,All,,2018,vd1dtx04/total_hours,0.0396360924492646,50.0056535247324,0.000789043646612531,0.0784831412519166,803,Universités et collèges,Allocation of support by cause,QC,...
39,All,,2018,vd1dtx05/total_hours,0.0351124476794289,40.7941587337819,0.0070382613810114,0.0631866339778463,615,Santé,Allocation of support by cause,AB,...
40,All,,2018,vd1dtx05/total_hours,0.0307705491449904,20.257627855192897,0.0185533423069671,0.0429877559830136,1777,Santé,Allocation of support by cause,AT,*
41,All,,2018,vd1dtx05/total_hours,0.0548598645427629,26.2247621280152,0.0266621194914882,0.0830576095940377,945,Santé,Allocation of support by cause,BC,*
42,All,,2018,vd1dtx05/total_hours,0.0387694109725434,19.1160298007642,0.0242437804653367,0.0532950414797501,1962,Santé,Allocation of support by cause,ON,*
43,All,,2018,vd1dtx05/total_hours,0.0666354818638981,33.3475069883095,0.0230825891095648,0.110188374618231,902,Santé,Allocation of support by cause,PR,...
44,All,,2018,vd1dtx05/total_hours,0.0768977102344009,26.8985362945516,0.0363571125368102,0.11743830793199199,803,Santé,Allocation of support by cause,QC,*
45,All,,2018,vd1dtx06/total_hours,0.0243326814252404,54.1461739893283,-0.00149026746402282,0.0501556303145036,615,Hôpitaux,Allocation of support by cause,AB,...
46,All,,2018,vd1dtx06/total_hours,0.0365150733465915,38.12846341752249,0.00922720746638469,0.0638029392267983,1777,Hôpitaux,Allocation of support by cause,AT,...
