Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2018,fv1fvol,0.52321431595709,4.584671687229565,0.47619936901350335,0.5702292629006767,845,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,25 to 34 years,2018,fv1fvol,0.36769279894791906,3.9710453841000226,0.33907487889481125,0.3963107190010269,1846,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,35 to 44 years,2018,fv1fvol,0.4579079135301491,3.1895790114766474,0.42928198353237346,0.4865338435279247,2523,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,45 to 54 years,2018,fv1fvol,0.4157937156105773,3.332420385726044,0.38863646533910745,0.4429509658820472,2609,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,55 to 64 years,2018,fv1fvol,0.3746001408535901,3.0970889805497657,0.3518612273144795,0.39733905439270073,3481,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,65 to 74 years,2018,fv1fvol,0.39215125445276744,3.025373124128412,0.3688981659716095,0.41540434293392536,3019,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,75 years and over,2018,fv1fvol,0.3049184847921243,4.50989781218789,0.27796601639294755,0.33187095319130105,1826,Formal volunteer flag,Volunteer rate,CA,NA,
Gender,Male gender,2018,fv1fvol,0.38172054493976415,2.338495108703753,0.36422489453857937,0.39921619534094893,7242,Formal volunteer flag,Volunteer rate,CA,NA,
Gender,Female gender,2018,fv1fvol,0.43959830663692495,1.9547074775471567,0.4227566086095999,0.45644000466425,8907,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Less than High School,2018,fv1fvol,0.3509131508220721,4.689921066835343,0.3186569459663652,0.383169355677779,1568,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Graduated from High school,2018,fv1fvol,0.33021207371350025,4.053809315856387,0.3039756669221811,0.3564484805048194,3502,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Post-secondary diploma,2018,fv1fvol,0.38312822762981696,2.6580948315491355,0.3631681276390833,0.40308832762055063,5142,Formal volunteer flag,Volunteer rate,CA,NA,
Education,University Diploma,2018,fv1fvol,0.5165778899674887,2.183404454196793,0.4944714862537748,0.5386842936812025,4544,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status (original),Married,2018,fv1fvol,0.4250701791590763,1.8366814055027436,0.40976837785416703,0.44037198046398557,8083,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status (original),Living common-law,2018,fv1fvol,0.3770710273273697,4.623976185164563,0.3428977332518515,0.41124432140288786,1487,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status (original),Widowed,2018,fv1fvol,0.2995435488192611,5.495061600122008,0.2672823406848769,0.3318047569536453,1421,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status (original),Separated,2018,fv1fvol,0.3684054775049802,7.767932106290207,0.3123162329348057,0.4244947220751547,517,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status (original),Divorced,2018,fv1fvol,0.40025935399494444,4.3965728212464965,0.36576850759839935,0.43475020039148954,1380,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status (original),"Single, never married",2018,fv1fvol,0.4240621035395047,3.1975816367983176,0.3974855172747439,0.45063868980426547,3261,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,Married/common-law,2018,fv1fvol,0.41611346125326154,1.7854599960648205,0.40155183162926117,0.4306750908772619,9570,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,Widowed,2018,fv1fvol,0.2995435488192611,5.495061600122008,0.2672823406848769,0.3318047569536453,1421,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,Separated/divorced,2018,fv1fvol,0.38976487603657295,3.801312636795344,0.36072569393449067,0.41880405813865523,1897,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,"Single, never married",2018,fv1fvol,0.4240621035395047,3.1975816367983176,0.3974855172747439,0.45063868980426547,3261,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Employed,2018,fv1fvol,0.40971337436581584,1.941657655156797,0.39412140792587563,0.42530534080575605,8587,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Unemployed,2018,fv1fvol,0.40533622816417925,9.95458479542959,0.326252585834538,0.4844198704938205,348,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Not in labour force,2018,fv1fvol,0.39093120286274236,2.510529591360306,0.3716952470161695,0.4101671587093152,5824,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Unable to determine,2018,fv1fvol,0.5063667003777385,4.383339233908931,0.462863790088202,0.5498696106672749,1390,Formal volunteer flag,Volunteer rate,CA,NA,
Personal income category,"Less than $25,000",2018,fv1fvol,0.41236235430353513,2.7921792997304973,0.38979553224018654,0.4349291763668837,4527,Formal volunteer flag,Volunteer rate,CA,NA,
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.35843788923042963,2.699005995582795,0.33947668781664886,0.3773990906442104,4837,Formal volunteer flag,Volunteer rate,CA,NA,
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.4188777451763538,2.894076107297709,0.39511780592464085,0.4426376844280667,3270,Formal volunteer flag,Volunteer rate,CA,NA,
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.46460458045087816,3.6265982670764965,0.4315804776274244,0.4976286832743319,1813,Formal volunteer flag,Volunteer rate,CA,NA,
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.5204311457939742,4.877897742095096,0.4706753058307158,0.5701869857572326,775,Formal volunteer flag,Volunteer rate,CA,NA,
Personal income category,"$125,000 and more",2018,fv1fvol,0.5256116896311746,4.3669226152153975,0.480624527040304,0.5705988522220451,927,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"Less than $25,000",2018,fv1fvol,0.35328506493833634,5.5054693220942506,0.31516376373441074,0.39140636614226193,1741,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$25,000 to $49,999",2018,fv1fvol,0.3167340824341495,3.870904712681346,0.2927039939345001,0.34076417093379896,3015,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$50,000 to $74,999",2018,fv1fvol,0.3838159162293727,3.8017723508110985,0.35521649929283466,0.4124153331659108,2722,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$75,000 to $99,999",2018,fv1fvol,0.40346494940932537,3.4875474354107436,0.3758862344520205,0.4310436643666302,2790,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$100,000 to $124,999",2018,fv1fvol,0.4400590011447186,4.238889984415948,0.4034985837902249,0.47661941849921224,1674,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$125,000 and more",2018,fv1fvol,0.506061873327045,2.2936251065930264,0.4833122534885424,0.5288114931655477,4207,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.6106820990286149,2.681170029064308,0.5785907749175105,0.6427734231397193,2383,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.5083329622760914,4.605746842147452,0.4624452479481584,0.5542206766040244,1208,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.42445441626641767,5.114808448672061,0.3819035386889914,0.4670052938438439,1297,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.4124959276872082,3.897281909225897,0.38098729351094196,0.4440045618634745,2164,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,Not at all,2018,fv1fvol,0.3309338476819094,2.443741797367415,0.31508328818043135,0.3467844071833875,7820,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Native-born,2018,fv1fvol,0.42296146209700103,1.630393773974139,0.40944567326245085,0.4364772509315512,12093,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Naturalized,2018,fv1fvol,0.3434586240411757,3.789621491778755,0.31794816041976226,0.3689690876625892,2492,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Non-Canadian,2018,fv1fvol,0.3954311741685792,10.478081313188579,0.3142228104832623,0.4766395378538961,319,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Unknown,2018,fv1fvol,0.5206352595369496,4.485650635475298,0.4748624981348989,0.5664080209390002,1245,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,15 to 24 years,2018,fv1fvol,0.5281678426955378,4.723031867111764,0.4792754914966732,0.5770601938944024,757,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,25 to 34 years,2018,fv1fvol,0.3858999182367859,4.232573221206658,0.35388685315927926,0.4179129833142925,1624,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,35 to 44 years,2018,fv1fvol,0.48355615269227514,3.289389440920845,0.4523808773017405,0.5147314280828098,2171,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,45 to 54 years,2018,fv1fvol,0.4457637312705036,3.4643548964736177,0.41549632565549705,0.4760311368855102,2315,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,55 to 64 years,2018,fv1fvol,0.4118846986140598,3.2235682897641698,0.38586150311674017,0.4379078941113794,3038,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,65 to 74 years,2018,fv1fvol,0.42479080064884517,3.1130903714848923,0.39887199875431645,0.4507096025433739,2647,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,75 years and over,2018,fv1fvol,0.333115086812349,4.849034726362269,0.3014560507382221,0.3647741228864759,1584,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Gender,Male gender,2018,fv1fvol,0.4067346343727183,2.545622898521829,0.3864413044961996,0.42702796424923695,6309,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Gender,Female gender,2018,fv1fvol,0.4656714340269999,1.8906716322706039,0.4484152884211885,0.4829275796328113,7827,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Less than High School,2018,fv1fvol,0.39713457557693865,4.9400939350536355,0.35868239283693193,0.4355867583169454,1318,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Graduated from High school,2018,fv1fvol,0.3461717697463265,4.07859730234816,0.3184991314206589,0.37384440807199415,3108,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Post-secondary diploma,2018,fv1fvol,0.41006902369126125,2.715055282436651,0.3882475673218536,0.4318904800606689,4465,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,University Diploma,2018,fv1fvol,0.5324840425941209,2.3373443383656256,0.5080903590223603,0.5568777261658814,3992,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status (original),Married,2018,fv1fvol,0.4552381353934135,1.8449647878476694,0.43877643062088906,0.47169984016593797,7370,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status (original),Living common-law,2018,fv1fvol,0.39946827053353956,5.502756247621175,0.3563848023973889,0.4425517386696902,1044,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status (original),Widowed,2018,fv1fvol,0.3366207786971737,5.681428734802824,0.2991367229776427,0.3741048344167047,1257,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status (original),Separated,2018,fv1fvol,0.40261606526545585,8.021695861678639,0.33931582140179417,0.4659163091291175,457,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status (original),Divorced,2018,fv1fvol,0.4064558257421744,4.956607826715217,0.36696956563388466,0.4459420858504642,1186,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status (original),"Single, never married",2018,fv1fvol,0.4363904608552229,3.481084402643312,0.4066164122461957,0.46616450946425003,2822,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
