Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,gs1dax01,42.17841928532629,38.79540090790797,10.10696637424175,74.24987219641083,15,Arts & culture,Younger Canadians Average Donation by Cause,CA,...
Younger,25 to 34,2018,gs1dax01,114.4086597391471,29.109886293254355,49.13356691732017,179.68375256097403,64,Arts & culture,Younger Canadians Average Donation by Cause,CA,*
Younger,>=35,2018,gs1dax01,210.2308754648058,13.672275801370814,153.8949542477585,266.5667966818531,618,Arts & culture,Younger Canadians Average Donation by Cause,CA,
Younger,15 to 24,2018,gs1dax02,59.37824879382846,37.60612822709196,15.612526668419328,103.1439709192376,59,Sports & Recreation,Younger Canadians Average Donation by Cause,CA,...
Younger,25 to 34,2018,gs1dax02,110.0271742273602,30.054174502284077,45.21555765115089,174.8387908035695,235,Sports & Recreation,Younger Canadians Average Donation by Cause,CA,*
Younger,>=35,2018,gs1dax02,71.22265800941213,9.64968010399237,57.75229856241756,84.6930174564067,2240,Sports & Recreation,Younger Canadians Average Donation by Cause,CA,
Younger,15 to 24,2018,gs1dax03,48.12037706262177,40.197464729489255,10.20845738485221,86.03229674039133,59,Education & research,Younger Canadians Average Donation by Cause,CA,...
Younger,25 to 34,2018,gs1dax03,69.32788348457875,33.40424091878324,23.938149229682466,114.71761773947503,207,Education & research,Younger Canadians Average Donation by Cause,CA,...
Younger,>=35,2018,gs1dax03,91.91869659263435,12.240689596730395,69.86619645066665,113.97119673460205,2037,Education & research,Younger Canadians Average Donation by Cause,CA,
Younger,15 to 24,2018,gs1dax04,64.46342711097961,44.9821166619093,7.630324036617026,121.29653018534219,4,Universities & colleges,Younger Canadians Average Donation by Cause,CA,...
Younger,25 to 34,2018,gs1dax04,249.42033934032102,56.78284261264608,-28.16535897742685,527.0060376580689,27,Universities & colleges,Younger Canadians Average Donation by Cause,CA,...
Younger,>=35,2018,gs1dax04,389.28759902416897,19.792887361828374,238.26991232328993,540.305285725048,348,Universities & colleges,Younger Canadians Average Donation by Cause,CA,*
Younger,15 to 24,2018,gs1dax05,64.75517903475519,19.768828407589904,39.66501323323101,89.84534483627937,134,Health,Younger Canadians Average Donation by Cause,CA,*
Younger,25 to 34,2018,gs1dax05,98.96038437327225,11.707214276407639,76.25321330575865,121.66755544078585,574,Health,Younger Canadians Average Donation by Cause,CA,
Younger,>=35,2018,gs1dax05,142.63089016995835,4.631402883732676,129.68373820685255,155.57804213306414,6044,Health,Younger Canadians Average Donation by Cause,CA,
Younger,15 to 24,2018,gs1dax06,37.142241890715674,39.50763293674838,8.38169002461676,65.90279375681459,68,Hospitals,Younger Canadians Average Donation by Cause,CA,...
Younger,25 to 34,2018,gs1dax06,111.6536047450074,47.107850420189315,8.564177372661845,214.74303211735295,302,Hospitals,Younger Canadians Average Donation by Cause,CA,...
Younger,>=35,2018,gs1dax06,137.15191449174787,7.689455643801206,116.48167248551924,157.82215649797652,2805,Hospitals,Younger Canadians Average Donation by Cause,CA,
Younger,15 to 24,2018,gs1dax07,55.59948395891957,19.75901522669496,34.067495038782,77.13147287905714,165,Social services,Younger Canadians Average Donation by Cause,CA,*
