,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,gs1dax01,42.17841928532629,38.79540090790797,10.10696637424175,74.24987219641083,15,Arts et culture,Younger Canadians Average Donation by Cause,CA,...
1,Younger,25 à 34 ans,2018,gs1dax01,114.4086597391471,29.109886293254355,49.13356691732017,179.68375256097403,64,Arts et culture,Younger Canadians Average Donation by Cause,CA,*
2,Younger,>=35,2018,gs1dax01,210.2308754648058,13.672275801370814,153.8949542477585,266.5667966818531,618,Arts et culture,Younger Canadians Average Donation by Cause,CA,
3,Younger,15 à 24 ans,2018,gs1dax02,59.37824879382846,37.60612822709196,15.612526668419328,103.1439709192376,59,Sport et loisir,Younger Canadians Average Donation by Cause,CA,...
4,Younger,25 à 34 ans,2018,gs1dax02,110.0271742273602,30.05417450228408,45.21555765115089,174.8387908035695,235,Sport et loisir,Younger Canadians Average Donation by Cause,CA,*
5,Younger,>=35,2018,gs1dax02,71.22265800941213,9.64968010399237,57.75229856241756,84.6930174564067,2240,Sport et loisir,Younger Canadians Average Donation by Cause,CA,
6,Younger,15 à 24 ans,2018,gs1dax03,48.12037706262177,40.197464729489255,10.20845738485221,86.03229674039133,59,Éducation et recherche,Younger Canadians Average Donation by Cause,CA,...
7,Younger,25 à 34 ans,2018,gs1dax03,69.32788348457875,33.40424091878324,23.938149229682463,114.71761773947505,207,Éducation et recherche,Younger Canadians Average Donation by Cause,CA,...
8,Younger,>=35,2018,gs1dax03,91.91869659263436,12.240689596730396,69.86619645066665,113.97119673460205,2037,Éducation et recherche,Younger Canadians Average Donation by Cause,CA,
9,Younger,15 à 24 ans,2018,gs1dax04,64.46342711097961,44.9821166619093,7.630324036617026,121.2965301853422,4,Universités et collèges,Younger Canadians Average Donation by Cause,CA,...
10,Younger,25 à 34 ans,2018,gs1dax04,249.42033934032105,56.78284261264608,-28.16535897742685,527.0060376580689,27,Universités et collèges,Younger Canadians Average Donation by Cause,CA,...
11,Younger,>=35,2018,gs1dax04,389.28759902416897,19.79288736182837,238.26991232328996,540.305285725048,348,Universités et collèges,Younger Canadians Average Donation by Cause,CA,*
12,Younger,15 à 24 ans,2018,gs1dax05,64.75517903475519,19.768828407589904,39.66501323323101,89.84534483627937,134,Santé,Younger Canadians Average Donation by Cause,CA,*
13,Younger,25 à 34 ans,2018,gs1dax05,98.96038437327223,11.70721427640764,76.25321330575865,121.66755544078585,574,Santé,Younger Canadians Average Donation by Cause,CA,
14,Younger,>=35,2018,gs1dax05,142.63089016995835,4.631402883732676,129.68373820685255,155.57804213306414,6044,Santé,Younger Canadians Average Donation by Cause,CA,
15,Younger,15 à 24 ans,2018,gs1dax06,37.14224189071568,39.50763293674838,8.38169002461676,65.90279375681459,68,Hôpitaux,Younger Canadians Average Donation by Cause,CA,...
16,Younger,25 à 34 ans,2018,gs1dax06,111.6536047450074,47.10785042018932,8.564177372661845,214.74303211735293,302,Hôpitaux,Younger Canadians Average Donation by Cause,CA,...
17,Younger,>=35,2018,gs1dax06,137.15191449174787,7.689455643801206,116.48167248551924,157.82215649797652,2805,Hôpitaux,Younger Canadians Average Donation by Cause,CA,
18,Younger,15 à 24 ans,2018,gs1dax07,55.59948395891957,19.75901522669496,34.067495038782,77.13147287905714,165,Services sociaux,Younger Canadians Average Donation by Cause,CA,*
19,Younger,25 à 34 ans,2018,gs1dax07,122.4697582600056,18.81786022223257,77.30005994827067,167.6394565717405,591,Services sociaux,Younger Canadians Average Donation by Cause,CA,*
20,Younger,>=35,2018,gs1dax07,128.27444164683084,4.708406924766804,116.43688109009852,140.11200220356318,5654,Services sociaux,Younger Canadians Average Donation by Cause,CA,
21,Younger,15 à 24 ans,2018,gs1dax08,88.75334328502409,36.24834225227055,25.69813531735368,151.80855125269449,41,Environnement,Younger Canadians Average Donation by Cause,CA,...
22,Younger,25 à 34 ans,2018,gs1dax08,160.61231724057396,19.938311702277048,97.84763706788937,223.37699741325852,177,Environnement,Younger Canadians Average Donation by Cause,CA,*
23,Younger,>=35,2018,gs1dax08,144.63548404833668,8.414851928025746,120.78103322414336,168.48993487252997,1386,Environnement,Younger Canadians Average Donation by Cause,CA,
24,Younger,15 à 24 ans,2018,gs1dax09,131.27623749383176,106.3648011264426,-142.3968831216654,404.94935810932895,13,Aménagement et logement,Younger Canadians Average Donation by Cause,CA,...
25,Younger,25 à 34 ans,2018,gs1dax09,190.3938508623944,74.31610257192327,-86.92790060686701,467.7156023316558,40,Aménagement et logement,Younger Canadians Average Donation by Cause,CA,...
26,Younger,>=35,2018,gs1dax09,239.873794240958,20.747814236276888,142.3291909868486,337.4183974950673,443,Aménagement et logement,Younger Canadians Average Donation by Cause,CA,*
27,Younger,15 à 24 ans,2018,gs1dax10,31.24219504557499,47.94932734449182,1.8811067232424852,60.60328336790749,15,"Droit, plaidoyer et politique",Younger Canadians Average Donation by Cause,CA,...
28,Younger,25 à 34 ans,2018,gs1dax10,90.50644860822244,34.62462686534774,29.086037808860645,151.92685940758423,46,"Droit, plaidoyer et politique",Younger Canadians Average Donation by Cause,CA,...
29,Younger,>=35,2018,gs1dax10,169.57053950158135,12.123064754232624,129.27927311321932,209.86180588994335,719,"Droit, plaidoyer et politique",Younger Canadians Average Donation by Cause,CA,
30,Younger,15 à 24 ans,2018,gs1dax11,80.08393337096484,40.99793777363073,15.732903964555732,144.43496277737395,51,"Subventions, collecte de fonds",Younger Canadians Average Donation by Cause,CA,...
31,Younger,25 à 34 ans,2018,gs1dax11,136.49035083248268,17.315853813335085,90.16764158463327,182.8130600803321,234,"Subventions, collecte de fonds",Younger Canadians Average Donation by Cause,CA,*
32,Younger,>=35,2018,gs1dax11,205.22470407197872,8.570735201503608,170.75037628748794,239.6990318564695,1792,"Subventions, collecte de fonds",Younger Canadians Average Donation by Cause,CA,
33,Younger,15 à 24 ans,2018,gs1dax12,173.0730767751213,39.86723891723477,37.836626064382216,308.3095274858604,34,International,Younger Canadians Average Donation by Cause,CA,...
34,Younger,25 à 34 ans,2018,gs1dax12,286.9661998768417,18.44078736366282,183.24720539197688,390.6851943617065,166,International,Younger Canadians Average Donation by Cause,CA,*
35,Younger,>=35,2018,gs1dax12,333.7741164512384,6.159469565056648,293.4797752498718,374.068457652605,1358,International,Younger Canadians Average Donation by Cause,CA,
36,Younger,15 à 24 ans,2018,gs1dax13,255.05375257227004,25.09226242145488,129.61849397097984,380.4890111735602,115,Religion,Younger Canadians Average Donation by Cause,CA,*
37,Younger,25 à 34 ans,2018,gs1dax13,729.6170504714861,18.547358624014404,464.3855300239828,994.8485709189894,361,Religion,Younger Canadians Average Donation by Cause,CA,*
38,Younger,>=35,2018,gs1dax13,755.1816428576022,4.439855498128103,689.4660619841272,820.8972237310772,4234,Religion,Younger Canadians Average Donation by Cause,CA,
39,Younger,15 à 24 ans,2018,gs1dax14,5.0,2.8671579313852826e-15,5.0,5.0,1,Entreprises et professionnels,Younger Canadians Average Donation by Cause,CA,...
40,Younger,25 à 34 ans,2018,gs1dax14,27.395486960343344,62.52285406528506,-6.175639203071658,60.96661312375835,8,Entreprises et professionnels,Younger Canadians Average Donation by Cause,CA,...
41,Younger,>=35,2018,gs1dax14,92.7287446843867,11.389143602753052,72.02954565347082,113.42794371530258,77,Entreprises et professionnels,Younger Canadians Average Donation by Cause,CA,
42,Younger,15 à 24 ans,2018,gs1dax15,38.18733218755551,47.90218736847119,2.33455886839802,74.040105506713,14,Autre,Younger Canadians Average Donation by Cause,CA,...
43,Younger,25 à 34 ans,2018,gs1dax15,54.81594625314376,21.90737956655953,31.27925343233706,78.35263907395046,54,Autre,Younger Canadians Average Donation by Cause,CA,*
44,Younger,>=35,2018,gs1dax15,115.47245327457088,20.73911210745649,68.53531115724705,162.4095953918947,385,Autre,Younger Canadians Average Donation by Cause,CA,*
45,Younger2,15 à 34 ans,2018,gs1dax01,90.92952778936947,26.566092638737736,43.58380952059795,138.27524605814102,79,Arts et culture,Younger Canadians Average Donation by Cause,CA,*
46,Younger2,>=35,2018,gs1dax01,210.2308754648058,13.672275801370814,153.8949542477585,266.5667966818531,618,Arts et culture,Younger Canadians Average Donation by Cause,CA,
47,Younger2,15 à 34 ans,2018,gs1dax02,93.9104510231368,25.397352807634427,47.163803623146805,140.6570984231268,294,Sport et loisir,Younger Canadians Average Donation by Cause,CA,*
48,Younger2,>=35,2018,gs1dax02,71.22265800941213,9.64968010399237,57.75229856241756,84.6930174564067,2240,Sport et loisir,Younger Canadians Average Donation by Cause,CA,
49,Younger2,15 à 34 ans,2018,gs1dax03,62.96128471729572,27.425757944653554,29.117391909192705,96.80517752539872,266,Éducation et recherche,Younger Canadians Average Donation by Cause,CA,*
50,Younger2,>=35,2018,gs1dax03,91.91869659263436,12.240689596730396,69.86619645066665,113.97119673460205,2037,Éducation et recherche,Younger Canadians Average Donation by Cause,CA,
51,Younger2,15 à 34 ans,2018,gs1dax04,197.7055676971224,54.7025720751526,-14.264597335351596,409.6757327295964,31,Universités et collèges,Younger Canadians Average Donation by Cause,CA,...
52,Younger2,>=35,2018,gs1dax04,389.28759902416897,19.79288736182837,238.26991232328996,540.305285725048,348,Universités et collèges,Younger Canadians Average Donation by Cause,CA,*
53,Younger2,15 à 34 ans,2018,gs1dax05,87.39267389857966,10.090153968832643,70.1096029913599,104.6757448057994,708,Santé,Younger Canadians Average Donation by Cause,CA,
54,Younger2,>=35,2018,gs1dax05,142.63089016995835,4.631402883732676,129.68373820685255,155.57804213306414,6044,Santé,Younger Canadians Average Donation by Cause,CA,
55,Younger2,15 à 34 ans,2018,gs1dax06,90.91184275234464,42.332079695207966,15.482876299215704,166.3408092054736,370,Hôpitaux,Younger Canadians Average Donation by Cause,CA,...
56,Younger2,>=35,2018,gs1dax06,137.15191449174787,7.689455643801206,116.48167248551924,157.82215649797652,2805,Hôpitaux,Younger Canadians Average Donation by Cause,CA,
57,Younger2,15 à 34 ans,2018,gs1dax07,98.64896844341848,15.931598613368983,67.84547340554576,129.4524634812912,756,Services sociaux,Younger Canadians Average Donation by Cause,CA,
