Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,fg1dad03,163.5962788850582,41.232895103538354,31.385963475973227,295.8065942941432,20,Mail request,Younger Canadians Average Donation by Method,CA,...
Younger,25 to 34,2018,fg1dad03,221.6446772988173,26.46287868088026,106.68580810365168,336.6035464939829,90,Mail request,Younger Canadians Average Donation by Method,CA,*
Younger,>=35,2018,fg1dad03,242.88843020792456,4.124835418489283,223.25204496434873,262.5248154515004,3185,Mail request,Younger Canadians Average Donation by Method,CA,
Younger,15 to 24,2018,fg1dad04,190.6661383113658,171.98179822629385,-452.02771624320724,833.3599928659388,9,Telephone request,Younger Canadians Average Donation by Method,CA,...
Younger,25 to 34,2018,fg1dad04,390.5631259734036,52.37439981432129,-10.357489405091712,791.483741351899,62,Telephone request,Younger Canadians Average Donation by Method,CA,...
Younger,>=35,2018,fg1dad04,152.45234780776005,12.941695787046934,113.78241700582778,191.12227860969233,1371,Telephone request,Younger Canadians Average Donation by Method,CA,
Younger,15 to 24,2018,fg1dad05,205.35424043987993,55.668599711131506,-18.70458934749908,429.4130702272589,11,TV or radio request,Younger Canadians Average Donation by Method,CA,...
Younger,25 to 34,2018,fg1dad05,167.57093812693702,59.83240300053975,-28.938420164450122,364.08029641832417,64,TV or radio request,Younger Canadians Average Donation by Method,CA,...
Younger,>=35,2018,fg1dad05,118.02863002463636,15.947877785269748,81.13610707666382,154.9211529726089,939,TV or radio request,Younger Canadians Average Donation by Method,CA,
Younger,15 to 24,2018,fg1dad06,91.69341455526641,19.070891059060628,57.420012000245094,125.96681711028774,68,Online,Younger Canadians Average Donation by Method,CA,*
Younger,25 to 34,2018,fg1dad06,187.3872570168545,14.130082801532154,135.49138046432455,239.28313356938446,334,Online,Younger Canadians Average Donation by Method,CA,
Younger,>=35,2018,fg1dad06,197.02827910806707,6.782696951042527,170.83565149627137,223.22090671986277,1795,Online,Younger Canadians Average Donation by Method,CA,
Younger,15 to 24,2018,fg1dad07,182.04387729537447,38.447053506986215,44.86500449218062,319.2227500985683,79,On own,Younger Canadians Average Donation by Method,CA,...
Younger,25 to 34,2018,fg1dad07,473.54681772369,29.25656849962267,202.00645118730887,745.0871842600711,323,On own,Younger Canadians Average Donation by Method,CA,*
Younger,>=35,2018,fg1dad07,540.0405871477913,6.137298572535384,475.07973047829023,605.0014438172923,2789,On own,Younger Canadians Average Donation by Method,CA,
Younger,15 to 24,2018,fg1dad08,60.14750726992028,17.662878977081125,39.32527831333288,80.96973622650768,92,Charity event,Younger Canadians Average Donation by Method,CA,*
Younger,25 to 34,2018,fg1dad08,99.66559633906694,9.514513071360087,81.07985332772597,118.2513393504079,300,Charity event,Younger Canadians Average Donation by Method,CA,
Younger,>=35,2018,fg1dad08,151.5782145030588,5.455050540151,135.3719226133068,167.7845063928108,2628,Charity event,Younger Canadians Average Donation by Method,CA,
Younger,15 to 24,2018,fg1dad09,96.35987443480738,34.18445185145104,31.79847482211578,160.92127404749897,52,In memoriam,Younger Canadians Average Donation by Method,CA,...
