,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,mv1_30,6.159813168802652,21.134772701640813,3.608209532318341,8.711416805286962,21,Porte-à-porte,Younger Canadians Average Hours Volunteered by Activity,CA,*
1,Younger,25 à 34 ans,2018,mv1_30,38.58339509626133,32.55675051582657,13.963308127680085,63.203482064842575,17,Porte-à-porte,Younger Canadians Average Hours Volunteered by Activity,CA,*
2,Younger,>=35,2018,mv1_30,31.39193596411552,21.117542244564504,18.39893225432176,44.38493967390929,270,Porte-à-porte,Younger Canadians Average Hours Volunteered by Activity,CA,*
3,Younger,15 à 24 ans,2018,mv1_40,17.169872327919396,25.65320113837581,8.536972070774777,25.802772585064016,153,Collecte de fonds,Younger Canadians Average Hours Volunteered by Activity,CA,*
4,Younger,25 à 34 ans,2018,mv1_40,21.803852750816976,16.41590722671849,14.78855319168952,28.819152309944432,273,Collecte de fonds,Younger Canadians Average Hours Volunteered by Activity,CA,
5,Younger,>=35,2018,mv1_40,26.351355451365052,7.779668081613754,22.33333522610633,30.369375676623783,2010,Collecte de fonds,Younger Canadians Average Hours Volunteered by Activity,CA,
6,Younger,15 à 24 ans,2018,mv1_50,38.723502742843145,34.69166006830315,12.393687729612246,65.05331775607405,66,Membre d'un comité ou d'un conseil d'administration,Younger Canadians Average Hours Volunteered by Activity,CA,...
7,Younger,25 à 34 ans,2018,mv1_50,36.13745341769637,10.634375872754418,28.60532627537584,43.66958056001688,231,Membre d'un comité ou d'un conseil d'administration,Younger Canadians Average Hours Volunteered by Activity,CA,
8,Younger,>=35,2018,mv1_50,43.91280463099434,7.2509663227282415,37.67207806460536,50.15353119738332,2044,Membre d'un comité ou d'un conseil d'administration,Younger Canadians Average Hours Volunteered by Activity,CA,
9,Younger,15 à 24 ans,2018,mv1_60,56.790554004758334,20.755024747423736,33.68866718089264,79.89244082862403,143,Enseignement ou mentorat,Younger Canadians Average Hours Volunteered by Activity,CA,*
10,Younger,25 à 34 ans,2018,mv1_60,83.08772543494757,26.653832887758817,39.68223859977531,126.49321227011984,201,Enseignement ou mentorat,Younger Canadians Average Hours Volunteered by Activity,CA,*
11,Younger,>=35,2018,mv1_60,66.09143667386525,7.496795051912337,56.38032559465316,75.80254775307733,1299,Enseignement ou mentorat,Younger Canadians Average Hours Volunteered by Activity,CA,
12,Younger,15 à 24 ans,2018,mv1_70,30.3714501141125,16.384697377577446,20.618139763628925,40.12476046459607,193,Organisation d'activités ou d'événements,Younger Canadians Average Hours Volunteered by Activity,CA,
13,Younger,25 à 34 ans,2018,mv1_70,42.26399326766919,14.309779362711744,30.410358079509244,54.11762845582913,301,Organisation d'activités ou d'événements,Younger Canadians Average Hours Volunteered by Activity,CA,
14,Younger,>=35,2018,mv1_70,54.56021692575922,11.352491678906125,42.420309593984086,66.70012425753436,2190,Organisation d'activités ou d'événements,Younger Canadians Average Hours Volunteered by Activity,CA,
15,Younger,15 à 24 ans,2018,mv1_80,27.55697777486684,31.51058980586458,10.537892700413623,44.57606284932005,42,Travail de bureau,Younger Canadians Average Hours Volunteered by Activity,CA,*
16,Younger,25 à 34 ans,2018,mv1_80,54.5839824373584,46.46567797472526,4.873773580854227,104.29419129386258,103,Travail de bureau,Younger Canadians Average Hours Volunteered by Activity,CA,...
17,Younger,>=35,2018,mv1_80,64.62997911265795,7.521449855568404,55.10237570540253,74.15758251991338,961,Travail de bureau,Younger Canadians Average Hours Volunteered by Activity,CA,
18,Younger,15 à 24 ans,2018,mv1_90,58.12275482589037,40.05019655251535,12.498169206731925,103.74734044504882,72,"Entraînement, arbitrage, présidence",Younger Canadians Average Hours Volunteered by Activity,CA,...
19,Younger,25 à 34 ans,2018,mv1_90,62.62203949496602,30.049402111114144,25.74032223990362,99.50375675002842,114,"Entraînement, arbitrage, présidence",Younger Canadians Average Hours Volunteered by Activity,CA,*
20,Younger,>=35,2018,mv1_90,82.94587581293698,9.343758445931195,67.75564087962469,98.13611074624926,487,"Entraînement, arbitrage, présidence",Younger Canadians Average Hours Volunteered by Activity,CA,
21,Younger,15 à 24 ans,2018,mv1_100,17.631448828581064,18.325131674722435,11.29883221459802,23.964065442564102,59,Conseils,Younger Canadians Average Hours Volunteered by Activity,CA,*
22,Younger,25 à 34 ans,2018,mv1_100,37.99283878894156,25.530483378514496,18.98166756170177,57.00401001618134,124,Conseils,Younger Canadians Average Hours Volunteered by Activity,CA,*
23,Younger,>=35,2018,mv1_100,36.729903071406135,12.051779983967895,28.05391256897563,45.40589357383664,927,Conseils,Younger Canadians Average Hours Volunteered by Activity,CA,
24,Younger,15 à 24 ans,2018,mv1_110,55.6388845249115,29.137897263541014,23.863946425144672,87.41382262467832,47,Soins de santé ou soutien,Younger Canadians Average Hours Volunteered by Activity,CA,*
25,Younger,25 à 34 ans,2018,mv1_110,42.60611651421459,19.30519189743917,26.48503534420087,58.72719768422832,64,Soins de santé ou soutien,Younger Canadians Average Hours Volunteered by Activity,CA,*
26,Younger,>=35,2018,mv1_110,70.2653917787055,10.778174666874095,55.421944289254704,85.10883926815632,692,Soins de santé ou soutien,Younger Canadians Average Hours Volunteered by Activity,CA,
27,Younger,15 à 24 ans,2018,mv1_120,7.646251731916945,12.973282225036062,5.702026617202296,9.590476846631594,91,"Collecte, distribution ou livraison de biens",Younger Canadians Average Hours Volunteered by Activity,CA,
28,Younger,25 à 34 ans,2018,mv1_120,43.653862950924896,33.01681352085167,15.404677576569924,71.90304832527987,136,"Collecte, distribution ou livraison de biens",Younger Canadians Average Hours Volunteered by Activity,CA,*
29,Younger,>=35,2018,mv1_120,36.04867119949995,7.849294855217058,30.502822779719207,41.59451961928069,1188,"Collecte, distribution ou livraison de biens",Younger Canadians Average Hours Volunteered by Activity,CA,
30,Younger,15 à 24 ans,2018,mv1_130,28.203056189594232,29.582101282566992,11.850965640918036,44.55514673827042,39,"Entretien, réparation ou construction",Younger Canadians Average Hours Volunteered by Activity,CA,*
31,Younger,25 à 34 ans,2018,mv1_130,18.60482885146882,18.53665582362903,11.84547540054387,25.36418230239377,71,"Entretien, réparation ou construction",Younger Canadians Average Hours Volunteered by Activity,CA,*
32,Younger,>=35,2018,mv1_130,47.02425459327079,12.56963570259168,35.43934358394347,58.60916560259811,654,"Entretien, réparation ou construction",Younger Canadians Average Hours Volunteered by Activity,CA,
33,Younger,15 à 24 ans,2018,mv1_140,6.574670433382615,20.475297044360158,3.93619964698466,9.21314121978057,29,Chauffeur.euse bénévole,Younger Canadians Average Hours Volunteered by Activity,CA,*
34,Younger,25 à 34 ans,2018,mv1_140,17.89732903518684,30.28786403017861,7.272915645769762,28.521742424603914,68,Chauffeur.euse bénévole,Younger Canadians Average Hours Volunteered by Activity,CA,*
35,Younger,>=35,2018,mv1_140,34.344675595468715,12.012108375507882,26.25880565661772,42.43054553431971,688,Chauffeur.euse bénévole,Younger Canadians Average Hours Volunteered by Activity,CA,
36,Younger,15 à 24 ans,2018,mv1_150,66.72807859832731,40.62466153887454,13.597264986784644,119.85889220987,22,"Premier soins, incendies",Younger Canadians Average Hours Volunteered by Activity,CA,...
