Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,vd1dtx01,51.20208436514459,18.876233502904793,32.25898344935223,70.14518528093696,35,Arts & culture,Younger Canadians Average Hours Volunteered by Cause,CA,*
Younger,25 to 34,2018,vd1dtx01,116.50772658749105,38.70724604687154,28.11936328233378,204.89608989264832,60,Arts & culture,Younger Canadians Average Hours Volunteered by Cause,CA,...
Younger,>=35,2018,vd1dtx01,114.55229328809287,9.402843931533,93.44118143542772,135.66340514075802,551,Arts & culture,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,15 to 24,2018,vd1dtx02,67.59457255494391,27.134649970727043,31.645793836820545,103.54335127306727,102,Sports & Recreation,Younger Canadians Average Hours Volunteered by Cause,CA,*
Younger,25 to 34,2018,vd1dtx02,101.08035458034071,16.096498055055587,69.19096184041035,132.96974732027107,186,Sports & Recreation,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,>=35,2018,vd1dtx02,113.99674243423952,6.276280098182988,99.97368059439142,128.01980427408762,1643,Sports & Recreation,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,15 to 24,2018,vd1dtx03,42.17999887089605,15.250005464674118,29.57262435830838,54.78737338348372,132,Education & research,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,25 to 34,2018,vd1dtx03,55.38100535090688,16.009121104644425,38.003940721845986,72.75806997996779,141,Education & research,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,>=35,2018,vd1dtx03,54.41019940536938,9.066263886074005,44.74175144093567,64.0786473698031,882,Education & research,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,15 to 24,2018,vd1dtx04,98.73466790362185,27.693144653197365,45.14389323018576,152.32544257705794,44,Universities & colleges,Younger Canadians Average Hours Volunteered by Cause,CA,*
Younger,25 to 34,2018,vd1dtx04,71.66539661694374,25.213015062118327,36.25079318357093,107.08000005031656,70,Universities & colleges,Younger Canadians Average Hours Volunteered by Cause,CA,*
Younger,>=35,2018,vd1dtx04,71.03088332017299,20.50591256460056,42.482967482568796,99.57879915777718,167,Universities & colleges,Younger Canadians Average Hours Volunteered by Cause,CA,*
Younger,15 to 24,2018,vd1dtx05,47.13937970307479,37.55851978124917,12.43850498045439,81.84025442569518,43,Health,Younger Canadians Average Hours Volunteered by Cause,CA,...
Younger,25 to 34,2018,vd1dtx05,53.333447371055065,38.26530537709276,13.334097632855084,93.33279710925504,106,Health,Younger Canadians Average Hours Volunteered by Cause,CA,...
Younger,>=35,2018,vd1dtx05,61.167152029284935,11.238528762162074,47.6937951812672,74.64050887730266,775,Health,Younger Canadians Average Hours Volunteered by Cause,CA,
Younger,15 to 24,2018,vd1dtx06,92.70551551936344,24.463839402032956,48.254848596179976,137.1561824425469,27,Hospitals,Younger Canadians Average Hours Volunteered by Cause,CA,*
Younger,25 to 34,2018,vd1dtx06,43.22759444535464,32.24018105010489,15.91225314332089,70.54293574738838,30,Hospitals,Younger Canadians Average Hours Volunteered by Cause,CA,*
