,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,vd1dtx01,51.20208436514459,18.876233502904796,32.25898344935223,70.14518528093696,35,Arts et culture,Younger Canadians Average Hours Volunteered by Cause,CA,*
1,Younger,25 à 34 ans,2018,vd1dtx01,116.50772658749104,38.70724604687154,28.11936328233378,204.89608989264832,60,Arts et culture,Younger Canadians Average Hours Volunteered by Cause,CA,...
2,Younger,>=35,2018,vd1dtx01,114.55229328809288,9.402843931533,93.44118143542772,135.66340514075802,551,Arts et culture,Younger Canadians Average Hours Volunteered by Cause,CA,
3,Younger,15 à 24 ans,2018,vd1dtx02,67.59457255494391,27.134649970727043,31.645793836820545,103.54335127306727,102,Sport et loisir,Younger Canadians Average Hours Volunteered by Cause,CA,*
4,Younger,25 à 34 ans,2018,vd1dtx02,101.08035458034072,16.096498055055587,69.19096184041035,132.96974732027107,186,Sport et loisir,Younger Canadians Average Hours Volunteered by Cause,CA,
5,Younger,>=35,2018,vd1dtx02,113.99674243423952,6.276280098182988,99.97368059439142,128.01980427408762,1643,Sport et loisir,Younger Canadians Average Hours Volunteered by Cause,CA,
6,Younger,15 à 24 ans,2018,vd1dtx03,42.17999887089605,15.250005464674118,29.57262435830838,54.78737338348372,132,Éducation et recherche,Younger Canadians Average Hours Volunteered by Cause,CA,
7,Younger,25 à 34 ans,2018,vd1dtx03,55.38100535090688,16.009121104644425,38.00394072184599,72.75806997996779,141,Éducation et recherche,Younger Canadians Average Hours Volunteered by Cause,CA,
8,Younger,>=35,2018,vd1dtx03,54.41019940536938,9.066263886074005,44.74175144093567,64.0786473698031,882,Éducation et recherche,Younger Canadians Average Hours Volunteered by Cause,CA,
9,Younger,15 à 24 ans,2018,vd1dtx04,98.73466790362184,27.693144653197365,45.14389323018576,152.32544257705794,44,Universités et collèges,Younger Canadians Average Hours Volunteered by Cause,CA,*
10,Younger,25 à 34 ans,2018,vd1dtx04,71.66539661694374,25.213015062118327,36.25079318357093,107.08000005031656,70,Universités et collèges,Younger Canadians Average Hours Volunteered by Cause,CA,*
11,Younger,>=35,2018,vd1dtx04,71.03088332017299,20.50591256460056,42.4829674825688,99.57879915777718,167,Universités et collèges,Younger Canadians Average Hours Volunteered by Cause,CA,*
12,Younger,15 à 24 ans,2018,vd1dtx05,47.13937970307479,37.55851978124917,12.43850498045439,81.84025442569518,43,Santé,Younger Canadians Average Hours Volunteered by Cause,CA,...
13,Younger,25 à 34 ans,2018,vd1dtx05,53.333447371055065,38.26530537709276,13.334097632855084,93.33279710925504,106,Santé,Younger Canadians Average Hours Volunteered by Cause,CA,...
14,Younger,>=35,2018,vd1dtx05,61.167152029284935,11.238528762162074,47.6937951812672,74.64050887730266,775,Santé,Younger Canadians Average Hours Volunteered by Cause,CA,
15,Younger,15 à 24 ans,2018,vd1dtx06,92.70551551936344,24.46383940203296,48.254848596179976,137.1561824425469,27,Hôpitaux,Younger Canadians Average Hours Volunteered by Cause,CA,*
16,Younger,25 à 34 ans,2018,vd1dtx06,43.22759444535464,32.24018105010489,15.91225314332089,70.54293574738838,30,Hôpitaux,Younger Canadians Average Hours Volunteered by Cause,CA,*
17,Younger,>=35,2018,vd1dtx06,125.09535788724187,11.24862031276345,97.51572107710098,152.67499469738277,406,Hôpitaux,Younger Canadians Average Hours Volunteered by Cause,CA,
18,Younger,15 à 24 ans,2018,vd1dtx07,49.16698833577125,23.172032213168222,26.837137523757008,71.49683914778548,143,Services sociaux,Younger Canadians Average Hours Volunteered by Cause,CA,*
19,Younger,25 à 34 ans,2018,vd1dtx07,108.71524034720336,21.885414849824866,62.08224579942677,155.34823489497992,258,Services sociaux,Younger Canadians Average Hours Volunteered by Cause,CA,*
20,Younger,>=35,2018,vd1dtx07,93.71303863725228,6.301930611936886,82.13801922311444,105.2880580513901,1901,Services sociaux,Younger Canadians Average Hours Volunteered by Cause,CA,
21,Younger,15 à 24 ans,2018,vd1dtx08,28.66138172397734,30.041026341667564,11.785752285498152,45.53701116245652,32,Environnement,Younger Canadians Average Hours Volunteered by Cause,CA,*
22,Younger,25 à 34 ans,2018,vd1dtx08,167.88038626790654,50.25680230033679,2.515649837281387,333.2451226985317,95,Environnement,Younger Canadians Average Hours Volunteered by Cause,CA,...
23,Younger,>=35,2018,vd1dtx08,86.25255730645186,13.399022579322272,63.60125426478973,108.903860348114,475,Environnement,Younger Canadians Average Hours Volunteered by Cause,CA,
24,Younger,15 à 24 ans,2018,vd1dtx09,47.90500430773928,38.56991260724348,11.69090990230722,84.11909871317133,35,Aménagement et logement,Younger Canadians Average Hours Volunteered by Cause,CA,...
25,Younger,25 à 34 ans,2018,vd1dtx09,46.39637531729691,19.44381206709865,28.71510113645309,64.07764949814073,97,Aménagement et logement,Younger Canadians Average Hours Volunteered by Cause,CA,*
26,Younger,>=35,2018,vd1dtx09,81.32167709775604,9.639219495222884,65.95796050764913,96.68539368786294,793,Aménagement et logement,Younger Canadians Average Hours Volunteered by Cause,CA,
27,Younger,15 à 24 ans,2018,vd1dtx10,27.77316636624244,35.10876406543364,8.661919258417957,46.88441347406693,17,"Droit, plaidoyer et politique",Younger Canadians Average Hours Volunteered by Cause,CA,...
28,Younger,25 à 34 ans,2018,vd1dtx10,46.00188771905343,21.115738014527437,26.963506898911994,65.04026853919487,37,"Droit, plaidoyer et politique",Younger Canadians Average Hours Volunteered by Cause,CA,*
29,Younger,>=35,2018,vd1dtx10,122.73813345070543,23.007550726064977,67.39063539742185,178.08563150398902,285,"Droit, plaidoyer et politique",Younger Canadians Average Hours Volunteered by Cause,CA,*
30,Younger,15 à 24 ans,2018,vd1dtx11,27.041577973778672,66.95979013199744,-8.447458259729764,62.53061420728711,23,"Subventions, collecte de fonds",Younger Canadians Average Hours Volunteered by Cause,CA,...
31,Younger,25 à 34 ans,2018,vd1dtx11,33.44462860863385,24.89018263614948,17.129047297143323,49.760209920124375,48,"Subventions, collecte de fonds",Younger Canadians Average Hours Volunteered by Cause,CA,*
32,Younger,>=35,2018,vd1dtx11,63.27151728161663,14.916068745259864,44.77411607471625,81.76891848851702,281,"Subventions, collecte de fonds",Younger Canadians Average Hours Volunteered by Cause,CA,
33,Younger,15 à 24 ans,2018,vd1dtx12,43.30615925801511,65.5324540626753,-12.31681292528959,98.9291314413198,12,International,Younger Canadians Average Hours Volunteered by Cause,CA,...
