,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,ichrs1,23.05430748698772,3271.809480169334,8.27043599733308,37.838178976642354,51,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA,*
1,Younger,25 à 34 ans,2018,ichrs1,20.916946204542267,2885.6563735465743,9.08677624115344,32.7471161679311,108,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA,*
2,Younger,>=35,2018,ichrs1,25.43416898620652,1071.922741370009,20.09062820457075,30.777709767842296,777,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA,
3,Younger,15 à 24 ans,2018,ichrs2,8.981344086943514,1823.1738781740464,5.771990882324596,12.190697291562431,56,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA,*
4,Younger,25 à 34 ans,2018,ichrs2,10.49917074052429,1512.576314117558,7.386591727866389,13.611749753182192,193,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA,
5,Younger,>=35,2018,ichrs2,10.567217485858452,689.3911689669396,9.13939422552848,11.995040746188424,1850,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA,
6,Younger,15 à 24 ans,2018,ichrs3,11.503156946225378,2738.169705549154,5.329741596072616,17.67657229637814,130,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA,*
7,Younger,25 à 34 ans,2018,ichrs3,28.251331704456284,1993.9157554388476,17.210702604396488,39.29196080451608,330,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA,*
8,Younger,>=35,2018,ichrs3,25.024440031771093,1335.5170333637927,18.474129478563466,31.57475058497872,1790,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA,
9,Younger,15 à 24 ans,2018,ichrs4,26.444580947721654,2809.9942775489653,11.88026083292471,41.0089010625186,93,Organiser/coordonner des événements,Younger Canadians Average Hours Spent on Community Involvement,CA,*
10,Younger,25 à 34 ans,2018,ichrs4,33.52071533470041,1880.9735272809055,21.162833098481435,45.87859757091939,176,Organiser/coordonner des événements,Younger Canadians Average Hours Spent on Community Involvement,CA,*
11,Younger,>=35,2018,ichrs4,31.35905552068419,973.5968505653932,25.37507425220265,37.34303678916573,1188,Organiser/coordonner des événements,Younger Canadians Average Hours Spent on Community Involvement,CA,
12,Younger,15 à 24 ans,2018,ichrs5,15.424911985890237,2575.154319168778,7.639635415043265,23.210188556737208,15,Projet économique/social,Younger Canadians Average Hours Spent on Community Involvement,CA,*
13,Younger,25 à 34 ans,2018,ichrs5,59.43299919658126,4520.46053257943,6.775719472842866,112.09027892031963,57,Projet économique/social,Younger Canadians Average Hours Spent on Community Involvement,CA,...
14,Younger,>=35,2018,ichrs5,25.32099553644171,1180.6104795656477,19.46183359595751,31.18015747692591,377,Projet économique/social,Younger Canadians Average Hours Spent on Community Involvement,CA,
15,Younger,15 à 24 ans,2018,ichrs6,59.97913691137652,6652.104175108452,-18.22096966215313,138.17924348490618,25,Autre,Younger Canadians Average Hours Spent on Community Involvement,CA,...
16,Younger,25 à 34 ans,2018,ichrs6,176.5239155760916,2764.7074582090645,80.87042401842797,272.17740713375525,74,Autre,Younger Canadians Average Hours Spent on Community Involvement,CA,*
17,Younger,>=35,2018,ichrs6,80.27626482407337,1918.411220386866,50.09225358738185,110.46027606076488,614,Autre,Younger Canadians Average Hours Spent on Community Involvement,CA,*
18,Younger2,15 à 34 ans,2018,ichrs1,21.94818642775725,2241.4073489450093,12.306177639569784,31.590195215944718,159,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA,*
19,Younger2,>=35,2018,ichrs1,25.43416898620652,1071.922741370009,20.09062820457075,30.777709767842296,777,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA,
20,Younger2,15 à 34 ans,2018,ichrs2,9.971433880482913,1192.9965507672644,7.63988302384279,12.302984737123037,249,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA,
21,Younger2,>=35,2018,ichrs2,10.567217485858452,689.3911689669396,9.13939422552848,11.995040746188424,1850,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA,
22,Younger2,15 à 34 ans,2018,ichrs3,20.57551066047032,1730.5588157329055,13.59664115430173,27.554380166638907,460,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA,*
23,Younger2,>=35,2018,ichrs3,25.024440031771093,1335.5170333637927,18.474129478563466,31.57475058497872,1790,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA,
24,Younger2,15 à 34 ans,2018,ichrs4,30.09530139701981,1567.3362193099765,20.85025792150736,39.34034487253226,269,Organiser/coordonner des événements,Younger Canadians Average Hours Spent on Community Involvement,CA,
25,Younger2,>=35,2018,ichrs4,31.35905552068419,973.5968505653932,25.37507425220265,37.34303678916573,1188,Organiser/coordonner des événements,Younger Canadians Average Hours Spent on Community Involvement,CA,
26,Younger2,15 à 34 ans,2018,ichrs5,46.14559444545759,4078.570948228687,9.257488430296156,83.03370046061903,72,Projet économique/social,Younger Canadians Average Hours Spent on Community Involvement,CA,...
27,Younger2,>=35,2018,ichrs5,25.32099553644171,1180.6104795656477,19.46183359595751,31.18015747692591,377,Projet économique/social,Younger Canadians Average Hours Spent on Community Involvement,CA,
28,Younger2,15 à 34 ans,2018,ichrs6,132.91334665110097,2504.425848639935,67.6717077910318,198.1549855111701,99,Autre,Younger Canadians Average Hours Spent on Community Involvement,CA,*
29,Younger2,>=35,2018,ichrs6,80.27626482407337,1918.411220386866,50.09225358738185,110.46027606076488,614,Autre,Younger Canadians Average Hours Spent on Community Involvement,CA,*
30,Younger,15 à 24 ans,2018,ichrs1,24.560516411228527,3266.125577987448,8.83813007065418,40.28290275180287,49,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),*
31,Younger,25 à 34 ans,2018,ichrs1,23.301808338617565,3015.56287350979,9.529520062427936,37.0740966148072,97,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),*
32,Younger,>=35,2018,ichrs1,22.80851295552261,1103.957908770435,17.873394541297696,27.74363136974753,710,"Entretenir des parcs, lieux publics",Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),
33,Younger,15 à 24 ans,2018,ichrs2,9.318646806304006,1879.767646812773,5.885399301593001,12.751894311015011,52,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),*
34,Younger,25 à 34 ans,2018,ichrs2,9.92272116269897,1609.1607493065155,6.79319699891623,13.05224532648171,167,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),
35,Younger,>=35,2018,ichrs2,10.398446479168436,796.0311495882968,8.776088779189696,12.020804179147174,1695,Participer aux réunions publiques,Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),
36,Younger,15 à 24 ans,2018,ichrs3,9.758671489184865,1960.3791443519192,6.009123960726629,13.5082190176431,117,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),*
37,Younger,25 à 34 ans,2018,ichrs3,22.16929447205429,1689.847087013047,14.826736729546978,29.511852214561596,289,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),*
38,Younger,>=35,2018,ichrs3,21.525064771424777,1016.8262129596544,17.23524258069582,25.81488696215373,1602,Produire/diffuser de l'information,Younger Canadians Average Hours Spent on Community Involvement,CA (without QC),
