,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,ivs1hrs1,55.33841115628071,24.961274104241003,28.26509055648521,82.41173175607622,456,"Cuisiner, nettoyer, tâches domestiques",Younger Canadians Average Informal Volunteer Hours,CA,*
1,Younger,25 à 34 ans,2018,ivs1hrs1,45.6002686507287,10.74511543606811,35.99683416820474,55.20370313325266,1072,"Cuisiner, nettoyer, tâches domestiques",Younger Canadians Average Informal Volunteer Hours,CA,
2,Younger,>=35,2018,ivs1hrs1,69.40549370706871,5.53507656195672,61.87600352457511,76.93498388956232,6448,"Cuisiner, nettoyer, tâches domestiques",Younger Canadians Average Informal Volunteer Hours,CA,
3,Younger,15 à 24 ans,2018,ivs1hrs2,30.38659165654317,18.966676900746464,19.09067897053805,41.6825043425483,327,"Magasiner, conduire, accompagner",Younger Canadians Average Informal Volunteer Hours,CA,*
4,Younger,25 à 34 ans,2018,ivs1hrs2,25.72217423779921,16.14461846877363,17.582939891459496,33.86140858413893,730,"Magasiner, conduire, accompagner",Younger Canadians Average Informal Volunteer Hours,CA,
5,Younger,>=35,2018,ivs1hrs2,38.2233827135948,5.82462367069706,33.85978123060618,42.58698419658342,5587,"Magasiner, conduire, accompagner",Younger Canadians Average Informal Volunteer Hours,CA,
6,Younger,15 à 24 ans,2018,ivs1hrs3,22.79555125959305,49.54249182684263,0.6607291250695049,44.9303733941166,130,"Tâches administratives, impôts, etc.",Younger Canadians Average Informal Volunteer Hours,CA,...
7,Younger,25 à 34 ans,2018,ivs1hrs3,17.93559202881056,19.98821277366441,10.90911272239653,24.962071335224596,477,"Tâches administratives, impôts, etc.",Younger Canadians Average Informal Volunteer Hours,CA,*
8,Younger,>=35,2018,ivs1hrs3,21.867850587004245,6.578780180821145,19.04817227224379,24.6875289017647,3269,"Tâches administratives, impôts, etc.",Younger Canadians Average Informal Volunteer Hours,CA,
9,Younger,15 à 24 ans,2018,ivs1hrs4,51.80461017284541,16.727987622660486,34.819819473840326,68.78940087185049,340,Soins de santé/personnels,Younger Canadians Average Informal Volunteer Hours,CA,*
10,Younger,25 à 34 ans,2018,ivs1hrs4,58.93242862701326,14.717722600103947,41.93265872853149,75.93219852549502,813,Soins de santé/personnels,Younger Canadians Average Informal Volunteer Hours,CA,
11,Younger,>=35,2018,ivs1hrs4,101.35817619696444,6.396876125651587,88.65024604235667,114.06610635157224,5710,Soins de santé/personnels,Younger Canadians Average Informal Volunteer Hours,CA,
12,Younger,15 à 24 ans,2018,ivs1hrs5,27.19964603288411,17.63695748244019,17.797326393748392,36.60196567201983,173,"Enseignement, accompagnement, aide à la lecture, etc.",Younger Canadians Average Informal Volunteer Hours,CA,*
13,Younger,25 à 34 ans,2018,ivs1hrs5,44.13308567231137,14.972154442007865,31.182283106831616,57.08388823779112,243,"Enseignement, accompagnement, aide à la lecture, etc.",Younger Canadians Average Informal Volunteer Hours,CA,
