,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,ng_020,0.4133197607489123,8.4331089187212,0.3450038331043363,0.4816356883934882,360,Montant déjà donné suffisant,Younger Canadians Barriers to Giving More,CA,
1,Younger,25 à 34 ans,2018,ng_020,0.5608013286491818,3.974105314197304,0.5171199339280946,0.6044827233702689,1074,Montant déjà donné suffisant,Younger Canadians Barriers to Giving More,CA,
2,Younger,>=35,2018,ng_020,0.7405817736726256,1.0263316790669026,0.7256844297287551,0.755479117616496,8037,Montant déjà donné suffisant,Younger Canadians Barriers to Giving More,CA,
3,Younger,15 à 24 ans,2018,ng_030,0.753565508220917,4.115784744685771,0.6927769621572437,0.8143540542845902,361,Pas les moyens de donner plus,Younger Canadians Barriers to Giving More,CA,
4,Younger,25 à 34 ans,2018,ng_030,0.7068373104720315,2.7666214158372058,0.6685092104557773,0.7451654104882857,1072,Pas les moyens de donner plus,Younger Canadians Barriers to Giving More,CA,
5,Younger,>=35,2018,ng_030,0.6630501820804523,1.2090083488296677,0.6473384599581038,0.6787619042028008,8049,Pas les moyens de donner plus,Younger Canadians Barriers to Giving More,CA,
6,Younger,15 à 24 ans,2018,ng_040,0.313487203370468,11.211055639397484,0.2446038285490854,0.3823705781918506,361,Aucune sollicitation,Younger Canadians Barriers to Giving More,CA,
7,Younger,25 à 34 ans,2018,ng_040,0.2858391417917129,7.384346389327853,0.244469491384199,0.3272087921992267,1067,Aucune sollicitation,Younger Canadians Barriers to Giving More,CA,
8,Younger,>=35,2018,ng_040,0.2323377727410766,2.9907421853986382,0.2187187203862715,0.2459568250958818,7876,Aucune sollicitation,Younger Canadians Barriers to Giving More,CA,
9,Younger,15 à 24 ans,2018,ng_050,0.204357237968567,14.077613896604383,0.1479717731390333,0.2607427027981007,359,Ne savent pas où donner,Younger Canadians Barriers to Giving More,CA,
10,Younger,25 à 34 ans,2018,ng_050,0.1080785002544822,12.510493063726846,0.0815775268007112,0.1345794737082533,1065,Ne savent pas où donner,Younger Canadians Barriers to Giving More,CA,
11,Younger,>=35,2018,ng_050,0.0976645119265039,5.46739215638143,0.0871988885836323,0.1081301352693755,7844,Ne savent pas où donner,Younger Canadians Barriers to Giving More,CA,
12,Younger,15 à 24 ans,2018,ng_060,0.1469299982486817,16.42788278847415,0.099621391300345,0.1942386051970183,360,Difficulté à trouver une cause,Younger Canadians Barriers to Giving More,CA,
13,Younger,25 à 34 ans,2018,ng_060,0.1375772005433046,13.597413113749852,0.1009122712782817,0.1742421298083275,1067,Difficulté à trouver une cause,Younger Canadians Barriers to Giving More,CA,
14,Younger,>=35,2018,ng_060,0.1060335475863968,5.303381455461266,0.0950119576558609,0.1170551375169327,7848,Difficulté à trouver une cause,Younger Canadians Barriers to Giving More,CA,
15,Younger,15 à 24 ans,2018,ng_070,0.3431976386719371,9.710916889714088,0.2778766695626987,0.4085186077811755,359,Don de temps,Younger Canadians Barriers to Giving More,CA,
16,Younger,25 à 34 ans,2018,ng_070,0.2843464615519341,7.301574948816336,0.2436541400877676,0.3250387830161007,1065,Don de temps,Younger Canadians Barriers to Giving More,CA,
