Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,nv_020,0.3158703367981082,8.796467186043094,0.26141189367046525,0.3703287799257512,461,Gave enough time already,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_020,0.33080985556768366,6.7684879678834,0.28692464445303895,0.3746950666823284,803,Gave enough time already,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_020,0.4497934871814471,2.0891899124700393,0.43137562690433234,0.4682113474585619,5794,Gave enough time already,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_030,0.04779442240589142,29.555040724823954,0.020108635575808644,0.0754802092359742,462,Dissatisfied with previous experience,Younger Canadians Barriers to Volunteering,CA,*
Younger,25 to 34,2018,nv_030,0.04223280246831912,23.24284662522533,0.02299358921351195,0.061472015723126286,796,Dissatisfied with previous experience,Younger Canadians Barriers to Volunteering,CA,*
Younger,>=35,2018,nv_030,0.06323127636694699,7.340894781247026,0.054133630266204165,0.07232892246768981,5729,Dissatisfied with previous experience,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_040,0.3182247680673068,8.87885214202795,0.2628465606669872,0.37360297546762644,463,No one asked,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_040,0.30286432766003435,7.595805279948414,0.2577753863958324,0.3479532689242363,803,No one asked,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_040,0.22147642558784716,3.327559353530983,0.2070319623627174,0.23592088881297693,5752,No one asked,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_050,0.26256946310300816,10.667524484883744,0.2076715348218309,0.31746739138418545,461,Unsure how to get more involved,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_050,0.17185286518666854,11.276786097789795,0.1338697823279082,0.20983594804542888,799,Unsure how to get more involved,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_050,0.09855458407646736,6.068630382053657,0.08683220915476014,0.11027695899817458,5719,Unsure how to get more involved,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_060,0.06906071058159552,21.159706132918682,0.040419671788827896,0.09770174937436314,459,Health probelms/physically unable,Younger Canadians Barriers to Volunteering,CA,*
Younger,25 to 34,2018,nv_060,0.1222892548151639,12.128062838674674,0.0932204063407884,0.1513581032895394,797,Health probelms/physically unable,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_060,0.2122646762682399,3.5963723852713714,0.19730264793012026,0.22722670460635952,5752,Health probelms/physically unable,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_070,0.7779747457907306,3.446179426740237,0.7254273163358582,0.8305221752456029,480,Did not have the time,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_070,0.8203380182692301,2.3128915490910478,0.7831505853604742,0.8575254511779861,859,Did not have the time,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_070,0.7121006541976979,1.045741958728855,0.697505321149813,0.7266959872455827,6572,Did not have the time,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_080,0.09755655086054535,20.756884342619426,0.057867867318506835,0.13724523440258385,461,Financial cost of volunteering,Younger Canadians Barriers to Volunteering,CA,*
Younger,25 to 34,2018,nv_080,0.12956782596155306,12.210151418656986,0.09856035737159019,0.16057529455151592,799,Financial cost of volunteering,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_080,0.1057683752786247,5.710439905977579,0.09393050736698583,0.11760624319026358,5725,Financial cost of volunteering,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_090,0.408374561569396,6.992174691451466,0.3524092349931549,0.4643398881456371,461,Unable to make commitment,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_090,0.48367336565671915,4.907513051332745,0.4371510067826585,0.5301957245307798,801,Unable to make commitment,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_090,0.4267767927845618,2.300868933314125,0.40753078014710115,0.4460228054220225,5762,Unable to make commitment,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_100,0.11542965651495513,17.620589378392385,0.07556519288832714,0.15529412014158311,478,Preferred to give money instead,Younger Canadians Barriers to Volunteering,CA,*
Younger,25 to 34,2018,nv_100,0.18412914264777794,9.705494939644524,0.14910332280796532,0.21915496248759056,847,Preferred to give money instead,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_100,0.22193942506665998,3.260321286879902,0.2077572465662294,0.23612160356709055,6407,Preferred to give money instead,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_110,0.1892887444428727,12.493151557796041,0.14293926187995087,0.2356382270057945,458,No interest,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_110,0.16255462167831147,9.384445554527648,0.13265566515192118,0.19245357820470177,799,No interest,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_110,0.25053945078459505,3.2500466799206977,0.23458015180569974,0.26649874976349036,5742,No interest,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_120,0.22321121018449575,10.848029802520427,0.17575260580088692,0.27066981456810457,460,No opportunity to use skills or experiences,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_120,0.19903550421615065,9.485079561178539,0.16203397931775373,0.23603702911454758,798,No opportunity to use skills or experiences,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_120,0.1765654049012147,4.313870000812825,0.16163674723750276,0.19149406256492663,5705,No opportunity to use skills or experiences,Younger Canadians Barriers to Volunteering,CA,
Younger,15 to 24,2018,nv_130,0.17681602288834303,12.723753593594397,0.13272146842105742,0.22091057735562863,462,Not asked to contribute in a way that was meaningful,Younger Canadians Barriers to Volunteering,CA,
Younger,25 to 34,2018,nv_130,0.1734906466686002,9.672444972941541,0.14060090786522147,0.20638038547197893,796,Not asked to contribute in a way that was meaningful,Younger Canadians Barriers to Volunteering,CA,
Younger,>=35,2018,nv_130,0.15848090316927274,4.165243561731255,0.1455429543044577,0.17141885203408777,5710,Not asked to contribute in a way that was meaningful,Younger Canadians Barriers to Volunteering,CA,
Younger2,15 to 34,2018,nv_020,0.3223550832383598,5.5863469181406495,0.28706030021460444,0.3576498662621152,1264,Gave enough time already,Younger Canadians Barriers to Volunteering,CA,
Younger2,>=35,2018,nv_020,0.4497934871814471,2.0891899124700393,0.43137562690433234,0.4682113474585619,5794,Gave enough time already,Younger Canadians Barriers to Volunteering,CA,
Younger2,15 to 34,2018,nv_030,0.04539398037935301,19.66556943384923,0.02789741181744646,0.06289054894125956,1258,Dissatisfied with previous experience,Younger Canadians Barriers to Volunteering,CA,*
Younger2,>=35,2018,nv_030,0.06323127636694699,7.340894781247026,0.054133630266204165,0.07232892246768981,5729,Dissatisfied with previous experience,Younger Canadians Barriers to Volunteering,CA,
Younger2,15 to 34,2018,nv_040,0.31156520331002824,6.190788661671143,0.2737607451593325,0.34936966146072396,1266,No one asked,Younger Canadians Barriers to Volunteering,CA,
Younger2,>=35,2018,nv_040,0.22147642558784716,3.327559353530983,0.2070319623627174,0.23592088881297693,5752,No one asked,Younger Canadians Barriers to Volunteering,CA,
Younger2,15 to 34,2018,nv_050,0.22330486088026844,8.029315198703504,0.1881629984092617,0.25844672335127516,1260,Unsure how to get more involved,Younger Canadians Barriers to Volunteering,CA,
