,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,nv_020,0.3158703367981082,8.796467186043094,0.2614118936704652,0.3703287799257512,461,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA,
1,Younger,25 à 34 ans,2018,nv_020,0.3308098555676836,6.7684879678834,0.2869246444530389,0.3746950666823284,803,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA,
2,Younger,>=35,2018,nv_020,0.4497934871814471,2.0891899124700397,0.4313756269043323,0.4682113474585619,5794,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA,
3,Younger,15 à 24 ans,2018,nv_030,0.0477944224058914,29.555040724823957,0.0201086355758086,0.0754802092359742,462,Expérience bénévole passée insatisfaisante,Younger Canadians Barriers to Volunteering,CA,*
4,Younger,25 à 34 ans,2018,nv_030,0.0422328024683191,23.24284662522533,0.0229935892135119,0.0614720157231262,796,Expérience bénévole passée insatisfaisante,Younger Canadians Barriers to Volunteering,CA,*
5,Younger,>=35,2018,nv_030,0.0632312763669469,7.340894781247026,0.0541336302662041,0.0723289224676898,5729,Expérience bénévole passée insatisfaisante,Younger Canadians Barriers to Volunteering,CA,
6,Younger,15 à 24 ans,2018,nv_040,0.3182247680673068,8.87885214202795,0.2628465606669872,0.3736029754676264,463,Aucune sollicitation,Younger Canadians Barriers to Volunteering,CA,
7,Younger,25 à 34 ans,2018,nv_040,0.3028643276600343,7.595805279948414,0.2577753863958324,0.3479532689242363,803,Aucune sollicitation,Younger Canadians Barriers to Volunteering,CA,
8,Younger,>=35,2018,nv_040,0.2214764255878471,3.327559353530983,0.2070319623627174,0.2359208888129769,5752,Aucune sollicitation,Younger Canadians Barriers to Volunteering,CA,
9,Younger,15 à 24 ans,2018,nv_050,0.2625694631030081,10.667524484883744,0.2076715348218309,0.3174673913841854,461,Ne savaient pas comment s'engager plus,Younger Canadians Barriers to Volunteering,CA,
10,Younger,25 à 34 ans,2018,nv_050,0.1718528651866685,11.276786097789795,0.1338697823279082,0.2098359480454288,799,Ne savaient pas comment s'engager plus,Younger Canadians Barriers to Volunteering,CA,
11,Younger,>=35,2018,nv_050,0.0985545840764673,6.068630382053657,0.0868322091547601,0.1102769589981745,5719,Ne savaient pas comment s'engager plus,Younger Canadians Barriers to Volunteering,CA,
12,Younger,15 à 24 ans,2018,nv_060,0.0690607105815955,21.15970613291868,0.0404196717888278,0.0977017493743631,459,Problèmes de santé/handicap physique,Younger Canadians Barriers to Volunteering,CA,*
13,Younger,25 à 34 ans,2018,nv_060,0.1222892548151639,12.128062838674674,0.0932204063407884,0.1513581032895394,797,Problèmes de santé/handicap physique,Younger Canadians Barriers to Volunteering,CA,
14,Younger,>=35,2018,nv_060,0.2122646762682399,3.596372385271372,0.1973026479301202,0.2272267046063595,5752,Problèmes de santé/handicap physique,Younger Canadians Barriers to Volunteering,CA,
15,Younger,15 à 24 ans,2018,nv_070,0.7779747457907306,3.446179426740237,0.7254273163358582,0.8305221752456029,480,Manque de temps,Younger Canadians Barriers to Volunteering,CA,
16,Younger,25 à 34 ans,2018,nv_070,0.8203380182692301,2.312891549091048,0.7831505853604742,0.8575254511779861,859,Manque de temps,Younger Canadians Barriers to Volunteering,CA,
17,Younger,>=35,2018,nv_070,0.7121006541976979,1.045741958728855,0.697505321149813,0.7266959872455827,6572,Manque de temps,Younger Canadians Barriers to Volunteering,CA,
18,Younger,15 à 24 ans,2018,nv_080,0.0975565508605453,20.756884342619426,0.0578678673185068,0.1372452344025838,461,Coût financier du bénévolat,Younger Canadians Barriers to Volunteering,CA,*
19,Younger,25 à 34 ans,2018,nv_080,0.129567825961553,12.210151418656986,0.0985603573715901,0.1605752945515159,799,Coût financier du bénévolat,Younger Canadians Barriers to Volunteering,CA,
20,Younger,>=35,2018,nv_080,0.1057683752786247,5.710439905977579,0.0939305073669858,0.1176062431902635,5725,Coût financier du bénévolat,Younger Canadians Barriers to Volunteering,CA,
21,Younger,15 à 24 ans,2018,nv_090,0.408374561569396,6.992174691451466,0.3524092349931549,0.4643398881456371,461,Incapable de s'engager à long terme,Younger Canadians Barriers to Volunteering,CA,
22,Younger,25 à 34 ans,2018,nv_090,0.4836733656567191,4.907513051332745,0.4371510067826585,0.5301957245307798,801,Incapable de s'engager à long terme,Younger Canadians Barriers to Volunteering,CA,
23,Younger,>=35,2018,nv_090,0.4267767927845618,2.300868933314125,0.4075307801471011,0.4460228054220225,5762,Incapable de s'engager à long terme,Younger Canadians Barriers to Volunteering,CA,
24,Younger,15 à 24 ans,2018,nv_100,0.1154296565149551,17.620589378392385,0.0755651928883271,0.1552941201415831,478,Préférence pour les dons d'argent,Younger Canadians Barriers to Volunteering,CA,*
25,Younger,25 à 34 ans,2018,nv_100,0.1841291426477779,9.705494939644524,0.1491033228079653,0.2191549624875905,847,Préférence pour les dons d'argent,Younger Canadians Barriers to Volunteering,CA,
26,Younger,>=35,2018,nv_100,0.2219394250666599,3.260321286879902,0.2077572465662294,0.2361216035670905,6407,Préférence pour les dons d'argent,Younger Canadians Barriers to Volunteering,CA,
27,Younger,15 à 24 ans,2018,nv_110,0.1892887444428727,12.49315155779604,0.1429392618799508,0.2356382270057945,458,Aucun intérêt pour en faire plus,Younger Canadians Barriers to Volunteering,CA,
28,Younger,25 à 34 ans,2018,nv_110,0.1625546216783114,9.384445554527648,0.1326556651519211,0.1924535782047017,799,Aucun intérêt pour en faire plus,Younger Canadians Barriers to Volunteering,CA,
29,Younger,>=35,2018,nv_110,0.250539450784595,3.2500466799206977,0.2345801518056997,0.2664987497634903,5742,Aucun intérêt pour en faire plus,Younger Canadians Barriers to Volunteering,CA,
30,Younger,15 à 24 ans,2018,nv_120,0.2232112101844957,10.848029802520427,0.1757526058008869,0.2706698145681045,460,Utilisation des compétences impossible,Younger Canadians Barriers to Volunteering,CA,
31,Younger,25 à 34 ans,2018,nv_120,0.1990355042161506,9.48507956117854,0.1620339793177537,0.2360370291145475,798,Utilisation des compétences impossible,Younger Canadians Barriers to Volunteering,CA,
32,Younger,>=35,2018,nv_120,0.1765654049012147,4.313870000812825,0.1616367472375027,0.1914940625649266,5705,Utilisation des compétences impossible,Younger Canadians Barriers to Volunteering,CA,
33,Younger,15 à 24 ans,2018,nv_130,0.176816022888343,12.723753593594395,0.1327214684210574,0.2209105773556286,462,Aucune sollicitation pour une contribution importante,Younger Canadians Barriers to Volunteering,CA,
34,Younger,25 à 34 ans,2018,nv_130,0.1734906466686002,9.67244497294154,0.1406009078652214,0.2063803854719789,796,Aucune sollicitation pour une contribution importante,Younger Canadians Barriers to Volunteering,CA,
35,Younger,>=35,2018,nv_130,0.1584809031692727,4.165243561731255,0.1455429543044577,0.1714188520340877,5710,Aucune sollicitation pour une contribution importante,Younger Canadians Barriers to Volunteering,CA,
36,Younger2,15 à 34 ans,2018,nv_020,0.3223550832383598,5.5863469181406495,0.2870603002146044,0.3576498662621152,1264,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA,
37,Younger2,>=35,2018,nv_020,0.4497934871814471,2.0891899124700397,0.4313756269043323,0.4682113474585619,5794,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA,
38,Younger2,15 à 34 ans,2018,nv_030,0.045393980379353,19.66556943384923,0.0278974118174464,0.0628905489412595,1258,Expérience bénévole passée insatisfaisante,Younger Canadians Barriers to Volunteering,CA,*
39,Younger2,>=35,2018,nv_030,0.0632312763669469,7.340894781247026,0.0541336302662041,0.0723289224676898,5729,Expérience bénévole passée insatisfaisante,Younger Canadians Barriers to Volunteering,CA,
40,Younger2,15 à 34 ans,2018,nv_040,0.3115652033100282,6.190788661671143,0.2737607451593325,0.3493696614607239,1266,Aucune sollicitation,Younger Canadians Barriers to Volunteering,CA,
41,Younger2,>=35,2018,nv_040,0.2214764255878471,3.327559353530983,0.2070319623627174,0.2359208888129769,5752,Aucune sollicitation,Younger Canadians Barriers to Volunteering,CA,
42,Younger2,15 à 34 ans,2018,nv_050,0.2233048608802684,8.029315198703504,0.1881629984092617,0.2584467233512751,1260,Ne savaient pas comment s'engager plus,Younger Canadians Barriers to Volunteering,CA,
43,Younger2,>=35,2018,nv_050,0.0985545840764673,6.068630382053657,0.0868322091547601,0.1102769589981745,5719,Ne savaient pas comment s'engager plus,Younger Canadians Barriers to Volunteering,CA,
44,Younger2,15 à 34 ans,2018,nv_060,0.092134231767315,11.432977227378984,0.0714885870991594,0.1127798764354705,1256,Problèmes de santé/handicap physique,Younger Canadians Barriers to Volunteering,CA,
45,Younger2,>=35,2018,nv_060,0.2122646762682399,3.596372385271372,0.1973026479301202,0.2272267046063595,5752,Problèmes de santé/handicap physique,Younger Canadians Barriers to Volunteering,CA,
46,Younger2,15 à 34 ans,2018,nv_070,0.7968862300712195,2.232957534410784,0.7620103739495235,0.8317620861929155,1339,Manque de temps,Younger Canadians Barriers to Volunteering,CA,
47,Younger2,>=35,2018,nv_070,0.7121006541976979,1.045741958728855,0.697505321149813,0.7266959872455827,6572,Manque de temps,Younger Canadians Barriers to Volunteering,CA,
48,Younger2,15 à 34 ans,2018,nv_080,0.1114235979825449,12.105120458835207,0.0849876806771587,0.137859515287931,1260,Coût financier du bénévolat,Younger Canadians Barriers to Volunteering,CA,
49,Younger2,>=35,2018,nv_080,0.1057683752786247,5.710439905977579,0.0939305073669858,0.1176062431902635,5725,Coût financier du bénévolat,Younger Canadians Barriers to Volunteering,CA,
50,Younger2,15 à 34 ans,2018,nv_090,0.4410548875979386,4.198043375124359,0.4047648304891513,0.4773449447067258,1262,Incapable de s'engager à long terme,Younger Canadians Barriers to Volunteering,CA,
51,Younger2,>=35,2018,nv_090,0.4267767927845618,2.300868933314125,0.4075307801471011,0.4460228054220225,5762,Incapable de s'engager à long terme,Younger Canadians Barriers to Volunteering,CA,
52,Younger2,15 à 34 ans,2018,nv_100,0.1459021076131659,9.430667916236164,0.1189338983959418,0.1728703168303899,1325,Préférence pour les dons d'argent,Younger Canadians Barriers to Volunteering,CA,
53,Younger2,>=35,2018,nv_100,0.2219394250666599,3.260321286879902,0.2077572465662294,0.2361216035670905,6407,Préférence pour les dons d'argent,Younger Canadians Barriers to Volunteering,CA,
54,Younger2,15 à 34 ans,2018,nv_110,0.177693033621331,8.61198404241958,0.147699909190236,0.2076861580524261,1257,Aucun intérêt pour en faire plus,Younger Canadians Barriers to Volunteering,CA,
55,Younger2,>=35,2018,nv_110,0.250539450784595,3.2500466799206977,0.2345801518056997,0.2664987497634903,5742,Aucun intérêt pour en faire plus,Younger Canadians Barriers to Volunteering,CA,
56,Younger2,15 à 34 ans,2018,nv_120,0.2127304355286095,7.602192952315468,0.1810335487497604,0.2444273223074586,1258,Utilisation des compétences impossible,Younger Canadians Barriers to Volunteering,CA,
57,Younger2,>=35,2018,nv_120,0.1765654049012147,4.313870000812825,0.1616367472375027,0.1914940625649266,5705,Utilisation des compétences impossible,Younger Canadians Barriers to Volunteering,CA,
58,Younger2,15 à 34 ans,2018,nv_130,0.1753797640975354,8.188748256347383,0.1472319228761622,0.2035276053189086,1258,Aucune sollicitation pour une contribution importante,Younger Canadians Barriers to Volunteering,CA,
59,Younger2,>=35,2018,nv_130,0.1584809031692727,4.165243561731255,0.1455429543044577,0.1714188520340877,5710,Aucune sollicitation pour une contribution importante,Younger Canadians Barriers to Volunteering,CA,
60,Younger,15 à 24 ans,2018,nv_020,0.3102472703492068,9.7325774420049,0.2510660483750833,0.3694284923233303,408,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA (without QC),
61,Younger,25 à 34 ans,2018,nv_020,0.3168381979259407,7.475554936795496,0.2704156404154588,0.3632607554364226,722,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA (without QC),
62,Younger,>=35,2018,nv_020,0.4250745565659399,2.41194102655707,0.40497993247455,0.4451691806573297,5087,Assez de temps déjà donné,Younger Canadians Barriers to Volunteering,CA (without QC),
