Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,iva250_1,0.06057208234001896,17.768003458200766,0.03947806857223209,0.08166609610780581,845,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA,*
Younger,25 to 34,2018,iva250_1,0.05571409238826047,14.93930855200184,0.0394007238248383,0.07202746095168264,1846,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA,
Younger,>=35,2018,iva250_1,0.04958928690716445,4.941244639383039,0.04478673231407697,0.05439184150025193,13458,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA,
Younger,15 to 24,2018,iva250_2,0.06290566983192558,16.292428408220157,0.04281827095410389,0.08299306870974726,845,Participated in public meetings,Younger Canadians Community Involvement Rate,CA,
Younger,25 to 34,2018,iva250_2,0.10120376868159059,9.863565102508627,0.08163882096290456,0.12076871640027662,1846,Participated in public meetings,Younger Canadians Community Involvement Rate,CA,
Younger,>=35,2018,iva250_2,0.11416991702193323,3.486019612340792,0.10636928839334427,0.12197054565052219,13458,Participated in public meetings,Younger Canadians Community Involvement Rate,CA,
Younger,15 to 24,2018,iva250_3,0.17603748711939443,11.09884818948348,0.13774344922840948,0.2143315250103794,845,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA,
Younger,25 to 34,2018,iva250_3,0.17842266961444908,6.924206332413531,0.15420858113788938,0.20263675809100878,1846,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA,
Younger,>=35,2018,iva250_3,0.11757350533786565,3.283094978694511,0.11000794665329214,0.12513906402243916,13458,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA,
Younger,15 to 24,2018,iva250_4,0.09421943564230069,14.218673005830423,0.06796228134717996,0.12047658993742141,845,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA,
Younger,25 to 34,2018,iva250_4,0.08611042959881327,10.542751961132128,0.06831707491156352,0.103903784286063,1846,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA,
Younger,>=35,2018,iva250_4,0.08138583282227041,4.276508122804336,0.07456423354020691,0.0882074321043339,13458,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA,
Younger,15 to 24,2018,iva250_5,0.017368580578809224,30.511793096961622,0.006981819316124753,0.027755341841493697,845,Economic/social project,Younger Canadians Community Involvement Rate,CA,*
Younger,25 to 34,2018,iva250_5,0.03443537066370878,20.83372958183596,0.02037425191583654,0.04849648941158102,1846,Economic/social project,Younger Canadians Community Involvement Rate,CA,*
Younger,>=35,2018,iva250_5,0.02555335487147932,8.31984315832198,0.021386473308199684,0.029720236434758955,13458,Economic/social project,Younger Canadians Community Involvement Rate,CA,
Younger,15 to 24,2018,iva3_190,0.029513510428647773,25.19198832353677,0.014941099606977254,0.044085921250318294,845,Other way,Younger Canadians Community Involvement Rate,CA,*
Younger,25 to 34,2018,iva3_190,0.04232628360020432,13.668101243590925,0.030987501338372136,0.05366506586203651,1846,Other way,Younger Canadians Community Involvement Rate,CA,
Younger,>=35,2018,iva3_190,0.03807805866232277,5.301881956556273,0.034121178077883896,0.042034939246761646,13458,Other way,Younger Canadians Community Involvement Rate,CA,
Younger2,15 to 34,2018,iva250_1,0.05795678794430464,11.518505972362023,0.04487254645645269,0.0710410294321566,2691,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA,
Younger2,>=35,2018,iva250_1,0.04958928690716445,4.941244639383039,0.04478673231407697,0.05439184150025193,13458,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA,
Younger2,15 to 34,2018,iva250_2,0.08352341591264491,8.441514614492533,0.0697044127775894,0.09734241904770041,2691,Participated in public meetings,Younger Canadians Community Involvement Rate,CA,
Younger2,>=35,2018,iva250_2,0.11416991702193323,3.486019612340792,0.10636928839334427,0.12197054565052219,13458,Participated in public meetings,Younger Canadians Community Involvement Rate,CA,
Younger2,15 to 34,2018,iva250_3,0.17732154790873683,6.191874009218802,0.15580207073954302,0.19884102507793064,2691,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA,
Younger2,>=35,2018,iva250_3,0.11757350533786565,3.283094978694511,0.11000794665329214,0.12513906402243916,13458,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA,
Younger2,15 to 34,2018,iva250_4,0.08985395974157974,8.966772551034856,0.07406252952982094,0.10564538995333854,2691,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA,
Younger2,>=35,2018,iva250_4,0.08138583282227041,4.276508122804336,0.07456423354020691,0.0882074321043339,13458,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA,
Younger2,15 to 34,2018,iva250_5,0.026556471230109138,16.88785536518509,0.017766388588090314,0.03534655387212796,2691,Economic/social project,Younger Canadians Community Involvement Rate,CA,*
Younger2,>=35,2018,iva250_5,0.02555335487147932,8.31984315832198,0.021386473308199684,0.029720236434758955,13458,Economic/social project,Younger Canadians Community Involvement Rate,CA,
Younger2,15 to 34,2018,iva3_190,0.036411255010643295,12.705181348842132,0.027344234300574567,0.04547827572071202,2691,Other way,Younger Canadians Community Involvement Rate,CA,
Younger2,>=35,2018,iva3_190,0.03807805866232277,5.301881956556273,0.034121178077883896,0.042034939246761646,13458,Other way,Younger Canadians Community Involvement Rate,CA,
Younger,15 to 24,2018,iva250_1,0.07080710779436904,18.37745752859706,0.045302985969413456,0.09631122961932462,757,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA (without QC),*
Younger,25 to 34,2018,iva250_1,0.05865451832262018,16.114931601064452,0.04012867314872484,0.07718036349651552,1624,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA (without QC),
Younger,>=35,2018,iva250_1,0.056360554322908825,5.298979187908172,0.05050705515853524,0.06221405348728241,11755,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA (without QC),
Younger,15 to 24,2018,iva250_2,0.07255206543962138,17.001446156498425,0.04837610501808689,0.09672802586115586,757,Participated in public meetings,Younger Canadians Community Involvement Rate,CA (without QC),*
Younger,25 to 34,2018,iva250_2,0.10128546654022036,10.79919325196759,0.079847354472841775,0.12272357860759894,1624,Participated in public meetings,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,>=35,2018,iva250_2,0.1266652538041952,3.456269515287533,0.11808474207076498,0.1352457655376254,11755,Participated in public meetings,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,15 to 24,2018,iva250_3,0.16722565821483906,11.819207060235664,0.12848746631886837,0.20596385011080975,757,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,25 to 34,2018,iva250_3,0.18123685451801408,7.707018141990736,0.1538601613553729,0.20861354768065526,1624,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,>=35,2018,iva250_3,0.12785877592759287,3.587652123141552,0.11886817008031023,0.13684938177487552,11755,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,15 to 24,2018,iva250_4,0.08708223010286635,14.27540202413717,0.06271725448325197,0.11144720572248074,757,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,25 to 34,2018,iva250_4,0.08856616549243725,11.489800560338518,0.0686214234616069,0.10851090752326759,1624,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,>=35,2018,iva250_4,0.08998581689324792,4.404946011186108,0.08221685941461811,0.09775477437187773,11755,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,15 to 24,2018,iva250_5,0.01776174993400229,33.52135910279866,0.006092163611826419,0.029431336256178157,757,Economic/social project,Younger Canadians Community Involvement Rate,CA (without QC),...
Younger,25 to 34,2018,iva250_5,0.03665997356007022,23.03884998266666,0.02010604657606064,0.0532139005440798,1624,Economic/social project,Younger Canadians Community Involvement Rate,CA (without QC),*
Younger,>=35,2018,iva250_5,0.02486593725023118,9.19086063018818,0.02038664803109894,0.02934522646936342,11755,Economic/social project,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,15 to 24,2018,iva3_190,0.03491634426397251,26.062667616388257,0.017080415740713534,0.05275227278723149,757,Other way,Younger Canadians Community Involvement Rate,CA (without QC),*
Younger,25 to 34,2018,iva3_190,0.043388197611070586,14.56515596344738,0.031002090255390975,0.0557743049667502,1624,Other way,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,>=35,2018,iva3_190,0.040068850162230385,5.44003794053898,0.03579659779103324,0.04434110253342753,11755,Other way,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,15 to 34,2018,iva250_1,0.06430001368678796,12.276005221714243,0.04882909081985399,0.07977093655372194,2381,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,>=35,2018,iva250_1,0.056360554322908825,5.298979187908172,0.05050705515853524,0.06221405348728241,11755,"Maintained park, public space",Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,15 to 34,2018,iva250_2,0.08793734159225723,9.079162055850178,0.07228904058723962,0.10358564259727485,2381,Participated in public meetings,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,>=35,2018,iva250_2,0.1266652538041952,3.456269515287533,0.11808474207076498,0.1352457655376254,11755,Participated in public meetings,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,15 to 34,2018,iva250_3,0.1747279418323759,6.483114568291927,0.15252583701120837,0.1969300466535434,2381,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,>=35,2018,iva250_3,0.12785877592759287,3.587652123141552,0.11886817008031023,0.13684938177487552,11755,Produced/disseminated information,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,15 to 34,2018,iva250_4,0.0878768020952763,9.104657127157918,0.07219536246153578,0.10355824172901683,2381,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,>=35,2018,iva250_4,0.08998581689324792,4.404946011186108,0.08221685941461811,0.09775477437187773,11755,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,15 to 34,2018,iva250_5,0.027880788340327995,18.575534643244467,0.017730124090537144,0.03803145259011885,2381,Economic/social project,Younger Canadians Community Involvement Rate,CA (without QC),*
Younger2,>=35,2018,iva250_5,0.02486593725023118,9.19086063018818,0.02038664803109894,0.02934522646936342,11755,Economic/social project,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,15 to 34,2018,iva3_190,0.03945259121968076,13.650726412566112,0.02889707721476102,0.0500081052246005,2381,Other way,Younger Canadians Community Involvement Rate,CA (without QC),
Younger2,>=35,2018,iva3_190,0.040068850162230385,5.44003794053898,0.03579659779103324,0.04434110253342753,11755,Other way,Younger Canadians Community Involvement Rate,CA (without QC),
Younger,15 to 24,2018,iva250_1,0.08848741926688874,36.81649183672606,0.024635784135017616,0.1523390543987599,74,"Maintained park, public space",Younger Canadians Community Involvement Rate,AB,...
Younger,25 to 34,2018,iva250_1,0.06452548741945725,27.73143704513008,0.02945419582780369,0.09959677901111082,205,"Maintained park, public space",Younger Canadians Community Involvement Rate,AB,*
Younger,>=35,2018,iva250_1,0.0676769498875882,13.512503122971086,0.049753373308065715,0.08560052646711068,1133,"Maintained park, public space",Younger Canadians Community Involvement Rate,AB,
Younger,15 to 24,2018,iva250_1,0.03327508804291791,46.751356878357186,0.0027848002008443312,0.06376537588499148,194,"Maintained park, public space",Younger Canadians Community Involvement Rate,AT,...
Younger,25 to 34,2018,iva250_1,0.028433272320723745,32.492176543222406,0.010325970535406348,0.04654057410604114,363,"Maintained park, public space",Younger Canadians Community Involvement Rate,AT,*
Younger,>=35,2018,iva250_1,0.04987154919643449,10.039798640134167,0.04005800341460129,0.05968509497826768,3491,"Maintained park, public space",Younger Canadians Community Involvement Rate,AT,
Younger,15 to 24,2018,iva250_1,0.07283957587484176,38.311857034993395,0.01814444034809306,0.12753471140159045,125,"Maintained park, public space",Younger Canadians Community Involvement Rate,BC,...
Younger,25 to 34,2018,iva250_1,0.031082971410541074,33.756061231606516,0.010518271049267659,0.05164767177181449,245,"Maintained park, public space",Younger Canadians Community Involvement Rate,BC,...
Younger,>=35,2018,iva250_1,0.07097490325541023,12.00735422228508,0.054271682422762195,0.08767812408805825,1807,"Maintained park, public space",Younger Canadians Community Involvement Rate,BC,
Younger,15 to 24,2018,iva250_1,0.07004486278129349,30.149697774162004,0.02865372707472367,0.11143599848786331,226,"Maintained park, public space",Younger Canadians Community Involvement Rate,ON,*
Younger,25 to 34,2018,iva250_1,0.06422191375573766,26.53687051257167,0.03081925480436408,0.09762457270711124,509,"Maintained park, public space",Younger Canadians Community Involvement Rate,ON,*
Younger,>=35,2018,iva250_1,0.046490323383256586,8.944017343154881,0.03834059207011071,0.054640054696402464,3611,"Maintained park, public space",Younger Canadians Community Involvement Rate,ON,
Younger,15 to 24,2018,iva250_1,0.07421800245686337,38.57241954164891,0.018108782101038383,0.13032722281268835,138,"Maintained park, public space",Younger Canadians Community Involvement Rate,PR,...
Younger,25 to 34,2018,iva250_1,0.0894086053554299,21.91193503011874,0.051010646126945274,0.1278065645839145,302,"Maintained park, public space",Younger Canadians Community Involvement Rate,PR,*
Younger,>=35,2018,iva250_1,0.07303518246662416,10.906616890782455,0.05742276096145216,0.08864760397179616,1713,"Maintained park, public space",Younger Canadians Community Involvement Rate,PR,
Younger,15 to 24,2018,iva250_1,0.02092986763988866,68.51251764640882,-0.007175191263460352,0.04903492654323767,88,"Maintained park, public space",Younger Canadians Community Involvement Rate,QC,...
Younger,25 to 34,2018,iva250_1,0.0449411419186937,43.292111329617434,0.00680814301757806,0.08307414081980935,222,"Maintained park, public space",Younger Canadians Community Involvement Rate,QC,...
Younger,>=35,2018,iva250_1,0.02785675084774328,16.538570187385005,0.01882698452474458,0.036886517170741984,1703,"Maintained park, public space",Younger Canadians Community Involvement Rate,QC,*
Younger,15 to 24,2018,iva250_2,0.06057875949041393,63.326033191792206,-0.014609624550465328,0.13576714353129318,74,Participated in public meetings,Younger Canadians Community Involvement Rate,AB,...
Younger,25 to 34,2018,iva250_2,0.09583299720184302,22.770054125787194,0.05306418145019138,0.13860181295349466,205,Participated in public meetings,Younger Canadians Community Involvement Rate,AB,*
Younger,>=35,2018,iva250_2,0.1294548563215373,9.11981980367942,0.10631542425951751,0.1525942883835571,1133,Participated in public meetings,Younger Canadians Community Involvement Rate,AB,
Younger,15 to 24,2018,iva250_2,0.07418288828576027,35.41926477086076,0.02268476870463474,0.1256810078668858,194,Participated in public meetings,Younger Canadians Community Involvement Rate,AT,...
Younger,25 to 34,2018,iva250_2,0.1166989059678195,19.529335230410275,0.07203030648781336,0.16136750544782563,363,Participated in public meetings,Younger Canadians Community Involvement Rate,AT,*
Younger,>=35,2018,iva250_2,0.11638186071480669,5.957837819577886,0.10279177911525537,0.12997194231435802,3491,Participated in public meetings,Younger Canadians Community Involvement Rate,AT,
Younger,15 to 24,2018,iva250_2,0.09242634832198321,36.8214923520643,0.025723362901320046,0.15912933374264637,125,Participated in public meetings,Younger Canadians Community Involvement Rate,BC,...
Younger,25 to 34,2018,iva250_2,0.13048609369709316,24.011947829833836,0.06907600676486803,0.1918961806293183,245,Participated in public meetings,Younger Canadians Community Involvement Rate,BC,*
Younger,>=35,2018,iva250_2,0.158000260953768,7.186770890900232,0.1357446410604482,0.18025588084708782,1807,Participated in public meetings,Younger Canadians Community Involvement Rate,BC,
Younger,15 to 24,2018,iva250_2,0.0684602270050966,25.950092296043064,0.03364050233341533,0.10327995167677786,226,Participated in public meetings,Younger Canadians Community Involvement Rate,ON,*
Younger,25 to 34,2018,iva250_2,0.09563977776037541,18.348333296867807,0.06124573160245766,0.13003382391829316,509,Participated in public meetings,Younger Canadians Community Involvement Rate,ON,*
Younger,>=35,2018,iva250_2,0.11116645174489884,5.634756131548206,0.09888931877063999,0.12344358471915769,3611,Participated in public meetings,Younger Canadians Community Involvement Rate,ON,
Younger,15 to 24,2018,iva250_2,0.07680922746674206,36.200587370196416,0.022311661555662936,0.13130679337782117,138,Participated in public meetings,Younger Canadians Community Involvement Rate,PR,...
Younger,25 to 34,2018,iva250_2,0.07860486878223175,19.898344363079282,0.04794893984865821,0.10926079771580528,302,Participated in public meetings,Younger Canadians Community Involvement Rate,PR,*
Younger,>=35,2018,iva250_2,0.16093837044156678,7.441187444971842,0.13746637915457754,0.18441036172855602,1713,Participated in public meetings,Younger Canadians Community Involvement Rate,PR,
Younger,15 to 24,2018,iva250_2,0.02554333131422888,51.668918760689145,-3.242010418837947e-4,0.05141086367034156,88,Participated in public meetings,Younger Canadians Community Involvement Rate,QC,...
Younger,25 to 34,2018,iva250_2,0.10090444912580666,22.398120783996905,0.0566078903328416,0.14520100791877172,222,Participated in public meetings,Younger Canadians Community Involvement Rate,QC,*
Younger,>=35,2018,iva250_2,0.07406585074865228,11.178262481848753,0.05783876952660341,0.09029293197070115,1703,Participated in public meetings,Younger Canadians Community Involvement Rate,QC,
Younger,15 to 24,2018,iva250_3,0.09077834812316954,44.28920722268644,0.011977975126462134,0.16957872111987693,74,Produced/disseminated information,Younger Canadians Community Involvement Rate,AB,...
Younger,25 to 34,2018,iva250_3,0.16964187037799502,18.753833685078288,0.10728688189394281,0.23199685886204724,205,Produced/disseminated information,Younger Canadians Community Involvement Rate,AB,*
Younger,>=35,2018,iva250_3,0.12273353354272776,10.121399009647932,0.09838617366834085,0.14708089341711467,1133,Produced/disseminated information,Younger Canadians Community Involvement Rate,AB,
Younger,15 to 24,2018,iva250_3,0.16160028346112992,21.65968598488364,0.09299740073957219,0.23020316618268766,194,Produced/disseminated information,Younger Canadians Community Involvement Rate,AT,*
Younger,25 to 34,2018,iva250_3,0.17368596942121023,16.140970949487375,0.11873915943976929,0.22863277940265117,363,Produced/disseminated information,Younger Canadians Community Involvement Rate,AT,
Younger,>=35,2018,iva250_3,0.10873396315518707,6.034280236688292,0.09587402784734526,0.12159389846302888,3491,Produced/disseminated information,Younger Canadians Community Involvement Rate,AT,
Younger,15 to 24,2018,iva250_3,0.13464988469933803,26.81077266585984,0.0638938628978333,0.20540590650084276,125,Produced/disseminated information,Younger Canadians Community Involvement Rate,BC,*
Younger,25 to 34,2018,iva250_3,0.22006307670094627,16.625224712118953,0.14835587158240732,0.2917702818194852,245,Produced/disseminated information,Younger Canadians Community Involvement Rate,BC,*
Younger,>=35,2018,iva250_3,0.14071920563766044,7.424654404975245,0.1202416691120693,0.16119674216325158,1807,Produced/disseminated information,Younger Canadians Community Involvement Rate,BC,
Younger,15 to 24,2018,iva250_3,0.20585061761419862,16.446343029017317,0.13949623546159035,0.2722049997668069,226,Produced/disseminated information,Younger Canadians Community Involvement Rate,ON,
Younger,25 to 34,2018,iva250_3,0.18092855490318496,12.39804908861301,0.13696340512563293,0.224893704680737,509,Produced/disseminated information,Younger Canadians Community Involvement Rate,ON,
Younger,>=35,2018,iva250_3,0.12875609246898542,5.856003406360507,0.11397804014882888,0.14353414478914195,3611,Produced/disseminated information,Younger Canadians Community Involvement Rate,ON,
Younger,15 to 24,2018,iva250_3,0.136880790223733,27.732750456657314,0.062478973767029225,0.2112826066804368,138,Produced/disseminated information,Younger Canadians Community Involvement Rate,PR,*
Younger,25 to 34,2018,iva250_3,0.14083293292983468,16.53828314252113,0.09518272733501734,0.186483138524652,302,Produced/disseminated information,Younger Canadians Community Involvement Rate,PR,*
Younger,>=35,2018,iva250_3,0.12471834179526987,7.9610282009886015,0.10525812915804608,0.14417855443249367,1713,Produced/disseminated information,Younger Canadians Community Involvement Rate,PR,
Younger,15 to 24,2018,iva250_3,0.21016738888595332,27.33748290347669,0.09755868908471411,0.32277608868719254,88,Produced/disseminated information,Younger Canadians Community Involvement Rate,QC,*
Younger,25 to 34,2018,iva250_3,0.1681122332167678,16.75914737574045,0.11289186115667288,0.22333260527686272,222,Produced/disseminated information,Younger Canadians Community Involvement Rate,QC,*
Younger,>=35,2018,iva250_3,0.08456269654121168,8.106630351624283,0.07112678039489541,0.09799861268752795,1703,Produced/disseminated information,Younger Canadians Community Involvement Rate,QC,
Younger,15 to 24,2018,iva250_4,0.08674348368446634,45.086361210014424,0.01009031068533879,0.16339665668359388,74,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,AB,...
Younger,25 to 34,2018,iva250_4,0.07739903822819542,23.215775314221414,0.04218086323388175,0.11261721322250909,205,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,AB,*
Younger,>=35,2018,iva250_4,0.10193180855436215,11.808226612472634,0.07834101771783525,0.12552259939088906,1133,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,AB,
Younger,15 to 24,2018,iva250_4,0.13155377543289032,23.30421235093807,0.07146604006160566,0.19164151080417496,194,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,AT,*
Younger,25 to 34,2018,iva250_4,0.10735473626082535,21.42844869089226,0.062266833806126166,0.15244263871552455,363,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,AT,*
Younger,>=35,2018,iva250_4,0.07542695425313095,7.289022050182052,0.06465129310058054,0.08620261540568136,3491,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,AT,
Younger,15 to 24,2018,iva250_4,0.11822768969675564,25.819636649136402,0.058397907702434956,0.17805747169107633,125,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,BC,*
Younger,25 to 34,2018,iva250_4,0.08248555472909266,22.234677449256427,0.04653903707589,0.11843207238229533,245,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,BC,*
Younger,>=35,2018,iva250_4,0.09100491790111606,9.967824778560344,0.07322567152268207,0.10878416427955005,1807,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,BC,
Younger,15 to 24,2018,iva250_4,0.06959393423037598,25.218420320824748,0.03519560424942779,0.10399226421132417,226,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,ON,*
Younger,25 to 34,2018,iva250_4,0.08571301740004693,20.010614636490715,0.05209629998021512,0.11932973481987874,509,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,ON,*
Younger,>=35,2018,iva250_4,0.08662412174623882,6.84425799904171,0.07500392964575466,0.09824431384672298,3611,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,ON,
Younger,15 to 24,2018,iva250_4,0.09182794530573321,35.2901114361039,0.028312991342722818,0.15534289926874362,138,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,PR,...
Younger,25 to 34,2018,iva250_4,0.12237306716642656,22.442987189227605,0.06854427959824255,0.17620185473461056,302,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,PR,*
Younger,>=35,2018,iva250_4,0.10385074070414171,9.33345365544691,0.08485308271823955,0.12284839869004388,1713,Organized/co-ordinated event,Younger Canadians Community Involvement Rate,PR,
