,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,iva250_1,0.0605720823400189,17.768003458200766,0.039478068572232,0.0816660961078058,845,"Entretenir des parcs, lieux publics",Younger Canadians Community Involvement Rate,CA,*
1,Younger,25 à 34 ans,2018,iva250_1,0.0557140923882604,14.93930855200184,0.0394007238248383,0.0720274609516826,1846,"Entretenir des parcs, lieux publics",Younger Canadians Community Involvement Rate,CA,
2,Younger,>=35,2018,iva250_1,0.0495892869071644,4.941244639383039,0.0447867323140769,0.0543918415002519,13458,"Entretenir des parcs, lieux publics",Younger Canadians Community Involvement Rate,CA,
3,Younger,15 à 24 ans,2018,iva250_2,0.0629056698319255,16.292428408220157,0.0428182709541038,0.0829930687097472,845,Participer aux réunions publiques,Younger Canadians Community Involvement Rate,CA,
4,Younger,25 à 34 ans,2018,iva250_2,0.1012037686815905,9.863565102508629,0.0816388209629045,0.1207687164002766,1846,Participer aux réunions publiques,Younger Canadians Community Involvement Rate,CA,
5,Younger,>=35,2018,iva250_2,0.1141699170219332,3.486019612340792,0.1063692883933442,0.1219705456505221,13458,Participer aux réunions publiques,Younger Canadians Community Involvement Rate,CA,
6,Younger,15 à 24 ans,2018,iva250_3,0.1760374871193944,11.09884818948348,0.1377434492284094,0.2143315250103794,845,Produire/diffuser de l'information,Younger Canadians Community Involvement Rate,CA,
7,Younger,25 à 34 ans,2018,iva250_3,0.178422669614449,6.924206332413531,0.1542085811378893,0.2026367580910087,1846,Produire/diffuser de l'information,Younger Canadians Community Involvement Rate,CA,
8,Younger,>=35,2018,iva250_3,0.1175735053378656,3.283094978694511,0.1100079466532921,0.1251390640224391,13458,Produire/diffuser de l'information,Younger Canadians Community Involvement Rate,CA,
9,Younger,15 à 24 ans,2018,iva250_4,0.0942194356423006,14.218673005830423,0.0679622813471799,0.1204765899374214,845,Organiser/coordonner des événements,Younger Canadians Community Involvement Rate,CA,
10,Younger,25 à 34 ans,2018,iva250_4,0.0861104295988132,10.542751961132128,0.0683170749115635,0.103903784286063,1846,Organiser/coordonner des événements,Younger Canadians Community Involvement Rate,CA,
11,Younger,>=35,2018,iva250_4,0.0813858328222704,4.276508122804336,0.0745642335402069,0.0882074321043339,13458,Organiser/coordonner des événements,Younger Canadians Community Involvement Rate,CA,
12,Younger,15 à 24 ans,2018,iva250_5,0.0173685805788092,30.511793096961625,0.0069818193161247,0.0277553418414936,845,Projet économique/social,Younger Canadians Community Involvement Rate,CA,*
13,Younger,25 à 34 ans,2018,iva250_5,0.0344353706637087,20.83372958183596,0.0203742519158365,0.048496489411581,1846,Projet économique/social,Younger Canadians Community Involvement Rate,CA,*
14,Younger,>=35,2018,iva250_5,0.0255533548714793,8.31984315832198,0.0213864733081996,0.0297202364347589,13458,Projet économique/social,Younger Canadians Community Involvement Rate,CA,
15,Younger,15 à 24 ans,2018,iva3_190,0.0295135104286477,25.19198832353677,0.0149410996069772,0.0440859212503182,845,Autre,Younger Canadians Community Involvement Rate,CA,*
16,Younger,25 à 34 ans,2018,iva3_190,0.0423262836002043,13.668101243590923,0.0309875013383721,0.0536650658620365,1846,Autre,Younger Canadians Community Involvement Rate,CA,
17,Younger,>=35,2018,iva3_190,0.0380780586623227,5.301881956556273,0.0341211780778838,0.0420349392467616,13458,Autre,Younger Canadians Community Involvement Rate,CA,
18,Younger2,15 à 34 ans,2018,iva250_1,0.0579567879443046,11.518505972362023,0.0448725464564526,0.0710410294321566,2691,"Entretenir des parcs, lieux publics",Younger Canadians Community Involvement Rate,CA,
19,Younger2,>=35,2018,iva250_1,0.0495892869071644,4.941244639383039,0.0447867323140769,0.0543918415002519,13458,"Entretenir des parcs, lieux publics",Younger Canadians Community Involvement Rate,CA,
20,Younger2,15 à 34 ans,2018,iva250_2,0.0835234159126449,8.441514614492533,0.0697044127775894,0.0973424190477004,2691,Participer aux réunions publiques,Younger Canadians Community Involvement Rate,CA,
21,Younger2,>=35,2018,iva250_2,0.1141699170219332,3.486019612340792,0.1063692883933442,0.1219705456505221,13458,Participer aux réunions publiques,Younger Canadians Community Involvement Rate,CA,
22,Younger2,15 à 34 ans,2018,iva250_3,0.1773215479087368,6.191874009218802,0.155802070739543,0.1988410250779306,2691,Produire/diffuser de l'information,Younger Canadians Community Involvement Rate,CA,
23,Younger2,>=35,2018,iva250_3,0.1175735053378656,3.283094978694511,0.1100079466532921,0.1251390640224391,13458,Produire/diffuser de l'information,Younger Canadians Community Involvement Rate,CA,
24,Younger2,15 à 34 ans,2018,iva250_4,0.0898539597415797,8.966772551034856,0.0740625295298209,0.1056453899533385,2691,Organiser/coordonner des événements,Younger Canadians Community Involvement Rate,CA,
