,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,flag_gs1dnx01,0.0167163649577333,3589.271717428492,0.0049566641606088,0.0284760657548577,845,Arts et culture,Younger Canadians Donation Rates by Cause,CA,...
1,Younger,25 à 34 ans,2018,flag_gs1dnx01,0.0297641882191954,1648.982329621883,0.0201445633812247,0.0393838130571662,1846,Arts et culture,Younger Canadians Donation Rates by Cause,CA,
2,Younger,>=35,2018,flag_gs1dnx01,0.0336414246269322,616.998491336518,0.0295731845678909,0.0377096646859736,13458,Arts et culture,Younger Canadians Donation Rates by Cause,CA,
3,Younger,15 à 24 ans,2018,flag_gs1dnx02,0.0525723171013651,1817.504935632348,0.0338447738520559,0.0712998603506742,845,Sport et loisir,Younger Canadians Donation Rates by Cause,CA,*
4,Younger,25 à 34 ans,2018,flag_gs1dnx02,0.0965949420947505,989.4706011419267,0.0778620266601274,0.1153278575293735,1846,Sport et loisir,Younger Canadians Donation Rates by Cause,CA,
5,Younger,>=35,2018,flag_gs1dnx02,0.131196610896301,291.41491406735537,0.1237031493712515,0.1386900724213505,13458,Sport et loisir,Younger Canadians Donation Rates by Cause,CA,
6,Younger,15 à 24 ans,2018,flag_gs1dnx03,0.0477645899155288,1814.8409231389928,0.0307746161547123,0.0647545636763454,845,Éducation et recherche,Younger Canadians Donation Rates by Cause,CA,*
7,Younger,25 à 34 ans,2018,flag_gs1dnx03,0.0954792007077263,951.4611278231964,0.0776739572834146,0.1132844441320381,1846,Éducation et recherche,Younger Canadians Donation Rates by Cause,CA,
8,Younger,>=35,2018,flag_gs1dnx03,0.1324612051788694,319.044773705631,0.1241781905587144,0.1407442197990245,13458,Éducation et recherche,Younger Canadians Donation Rates by Cause,CA,
9,Younger,15 à 24 ans,2018,flag_gs1dnx04,0.0045943389940321,5357.543562042088,-0.0002299891308433959,0.0094186671189076,845,Universités et collèges,Younger Canadians Donation Rates by Cause,CA,...
10,Younger,25 à 34 ans,2018,flag_gs1dnx04,0.0101507881900908,2840.567078352988,0.0044994290656363,0.0158021473145454,1846,Universités et collèges,Younger Canadians Donation Rates by Cause,CA,*
11,Younger,>=35,2018,flag_gs1dnx04,0.020657986459807,739.8224620431179,0.0176625259920121,0.0236534469276019,13458,Universités et collèges,Younger Canadians Donation Rates by Cause,CA,
12,Younger,15 à 24 ans,2018,flag_gs1dnx05,0.1570552070871261,1088.1635880784331,0.1235590780942825,0.1905513360799697,845,Santé,Younger Canadians Donation Rates by Cause,CA,
