Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,fg1a_030,0.02135130958968607,2670.3179161489043,0.01017661716306113,0.032526002016311006,845,Mail request,Younger Canadians Dontation Rates by Method,CA,*
Younger,25 to 34,2018,fg1a_030,0.044820237897542185,1465.2473812002147,0.031948618124909935,0.057691857670174436,1846,Mail request,Younger Canadians Dontation Rates by Method,CA,
Younger,>=35,2018,fg1a_030,0.19532728235609872,232.180570387675,0.18643861052390698,0.20421595418829047,13458,Mail request,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_040,0.0072977505380450725,5737.207007771332,-9.083649533427156e-4,0.01550386602943286,845,Telephone request,Younger Canadians Dontation Rates by Method,CA,...
Younger,25 to 34,2018,fg1a_040,0.0326571685874147,1746.1828086588437,0.0214803982390704,0.043833938935759,1846,Telephone request,Younger Canadians Dontation Rates by Method,CA,*
Younger,>=35,2018,fg1a_040,0.07353525498224156,397.724860849594,0.06780298770108467,0.07926752226339845,13458,Telephone request,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_050,0.0127773299990239,3886.1477926523803,0.00304520864907085,0.02250945134897695,845,TV or radio request,Younger Canadians Dontation Rates by Method,CA,...
Younger,25 to 34,2018,fg1a_050,0.03018457126622965,1738.591749750038,0.01989894554214007,0.04047019699031923,1846,TV or radio request,Younger Canadians Dontation Rates by Method,CA,*
Younger,>=35,2018,fg1a_050,0.055860791479481454,520.3930680895061,0.050163260716742604,0.061558322242220305,13458,TV or radio request,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_060,0.0725104758290209,1738.5849225737084,0.0478020683391734,0.0972188833188684,845,Online,Younger Canadians Dontation Rates by Method,CA,*
Younger,25 to 34,2018,fg1a_060,0.1597445383676722,818.5329636728648,0.13411679988958775,0.18537227684575663,1846,Online,Younger Canadians Dontation Rates by Method,CA,
Younger,>=35,2018,fg1a_060,0.12308692109228658,322.3849897180251,0.11530951435159763,0.13086432783297552,13458,Online,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_070,0.08813291147478874,1427.9104622973464,0.06346756706656373,0.11279825588301376,845,On own,Younger Canadians Dontation Rates by Method,CA,
Younger,25 to 34,2018,fg1a_070,0.16836228400105874,670.073250307305,0.14625093798722535,0.19047363001489212,1846,On own,Younger Canadians Dontation Rates by Method,CA,
Younger,>=35,2018,fg1a_070,0.1846560185548548,253.0933216898896,0.17549608667305425,0.19381595043665537,13458,On own,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_080,0.08623899660823106,1510.4735165914649,0.060708168538874466,0.11176982467758766,845,Charity event,Younger Canadians Dontation Rates by Method,CA,
Younger,25 to 34,2018,fg1a_080,0.15582867543118645,769.6408544087784,0.13232241285176616,0.17933493801060674,1846,Charity event,Younger Canadians Dontation Rates by Method,CA,
Younger,>=35,2018,fg1a_080,0.15659925531387395,277.92163043970544,0.14806903727046733,0.16512947335728057,13458,Charity event,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_090,0.040707172531623044,1847.0943032283244,0.025970205981013784,0.05544413908223231,845,In memoriam,Younger Canadians Dontation Rates by Method,CA,*
Younger,25 to 34,2018,fg1a_090,0.09644761824229793,1003.4609497849863,0.07747880875826893,0.11541642772632693,1846,In memoriam,Younger Canadians Dontation Rates by Method,CA,
Younger,>=35,2018,fg1a_090,0.21575965168424127,221.76395091384157,0.2063816723001425,0.22513763106834003,13458,In memoriam,Younger Canadians Dontation Rates by Method,CA,
Younger,15 to 24,2018,fg1a_100,0.05832472730688757,1871.8617920866104,0.03692665810704755,0.07972279650672759,845,At work,Younger Canadians Dontation Rates by Method,CA,*
Younger,25 to 34,2018,fg1a_100,0.18455461762855133,644.4852306384748,0.1612422718459317,0.20786696341117095,1846,At work,Younger Canadians Dontation Rates by Method,CA,
