,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,fg1a_030,0.021351309589686,2670.3179161489043,0.0101766171630611,0.032526002016311,845,Demande par lettre,Younger Canadians Dontation Rates by Method,CA,*
1,Younger,25 à 34 ans,2018,fg1a_030,0.0448202378975421,1465.2473812002147,0.0319486181249099,0.0576918576701744,1846,Demande par lettre,Younger Canadians Dontation Rates by Method,CA,
2,Younger,>=35,2018,fg1a_030,0.1953272823560987,232.180570387675,0.1864386105239069,0.2042159541882904,13458,Demande par lettre,Younger Canadians Dontation Rates by Method,CA,
3,Younger,15 à 24 ans,2018,fg1a_040,0.007297750538045,5737.207007771332,-0.0009083649533427156,0.0155038660294328,845,Demande au téléphone,Younger Canadians Dontation Rates by Method,CA,...
4,Younger,25 à 34 ans,2018,fg1a_040,0.0326571685874147,1746.1828086588437,0.0214803982390704,0.043833938935759,1846,Demande au téléphone,Younger Canadians Dontation Rates by Method,CA,*
5,Younger,>=35,2018,fg1a_040,0.0735352549822415,397.724860849594,0.0678029877010846,0.0792675222633984,13458,Demande au téléphone,Younger Canadians Dontation Rates by Method,CA,
6,Younger,15 à 24 ans,2018,fg1a_050,0.0127773299990239,3886.14779265238,0.0030452086490708,0.0225094513489769,845,Demande à la télé ou la radio,Younger Canadians Dontation Rates by Method,CA,...
7,Younger,25 à 34 ans,2018,fg1a_050,0.0301845712662296,1738.591749750038,0.01989894554214,0.0404701969903192,1846,Demande à la télé ou la radio,Younger Canadians Dontation Rates by Method,CA,*
8,Younger,>=35,2018,fg1a_050,0.0558607914794814,520.3930680895061,0.0501632607167426,0.0615583222422203,13458,Demande à la télé ou la radio,Younger Canadians Dontation Rates by Method,CA,
9,Younger,15 à 24 ans,2018,fg1a_060,0.0725104758290209,1738.5849225737084,0.0478020683391734,0.0972188833188684,845,En ligne,Younger Canadians Dontation Rates by Method,CA,*
10,Younger,25 à 34 ans,2018,fg1a_060,0.1597445383676722,818.5329636728648,0.1341167998895877,0.1853722768457566,1846,En ligne,Younger Canadians Dontation Rates by Method,CA,
11,Younger,>=35,2018,fg1a_060,0.1230869210922865,322.3849897180251,0.1153095143515976,0.1308643278329755,13458,En ligne,Younger Canadians Dontation Rates by Method,CA,
12,Younger,15 à 24 ans,2018,fg1a_070,0.0881329114747887,1427.9104622973464,0.0634675670665637,0.1127982558830137,845,Initiative personnelle,Younger Canadians Dontation Rates by Method,CA,
13,Younger,25 à 34 ans,2018,fg1a_070,0.1683622840010587,670.073250307305,0.1462509379872253,0.1904736300148921,1846,Initiative personnelle,Younger Canadians Dontation Rates by Method,CA,
14,Younger,>=35,2018,fg1a_070,0.1846560185548548,253.0933216898896,0.1754960866730542,0.1938159504366553,13458,Initiative personnelle,Younger Canadians Dontation Rates by Method,CA,
15,Younger,15 à 24 ans,2018,fg1a_080,0.086238996608231,1510.4735165914649,0.0607081685388744,0.1117698246775876,845,Activité caritative,Younger Canadians Dontation Rates by Method,CA,
16,Younger,25 à 34 ans,2018,fg1a_080,0.1558286754311864,769.6408544087784,0.1323224128517661,0.1793349380106067,1846,Activité caritative,Younger Canadians Dontation Rates by Method,CA,
17,Younger,>=35,2018,fg1a_080,0.1565992553138739,277.92163043970544,0.1480690372704673,0.1651294733572805,13458,Activité caritative,Younger Canadians Dontation Rates by Method,CA,
18,Younger,15 à 24 ans,2018,fg1a_090,0.040707172531623,1847.0943032283244,0.0259702059810137,0.0554441390822323,845,À la mémoire,Younger Canadians Dontation Rates by Method,CA,*
19,Younger,25 à 34 ans,2018,fg1a_090,0.0964476182422979,1003.4609497849864,0.0774788087582689,0.1154164277263269,1846,À la mémoire,Younger Canadians Dontation Rates by Method,CA,
20,Younger,>=35,2018,fg1a_090,0.2157596516842412,221.7639509138416,0.2063816723001425,0.22513763106834,13458,À la mémoire,Younger Canadians Dontation Rates by Method,CA,
21,Younger,15 à 24 ans,2018,fg1a_100,0.0583247273068875,1871.8617920866104,0.0369266581070475,0.0797227965067275,845,Au travail,Younger Canadians Dontation Rates by Method,CA,*
22,Younger,25 à 34 ans,2018,fg1a_100,0.1845546176285513,644.4852306384748,0.1612422718459317,0.2078669634111709,1846,Au travail,Younger Canadians Dontation Rates by Method,CA,
23,Younger,>=35,2018,fg1a_100,0.163611105947337,261.41969153823965,0.1552281116792538,0.1719941002154203,13458,Au travail,Younger Canadians Dontation Rates by Method,CA,
24,Younger,15 à 24 ans,2018,fg1a_110,0.0725462166204646,1662.570139017772,0.0489064690177841,0.0961859642231451,845,Porte-à-porte,Younger Canadians Dontation Rates by Method,CA,*
25,Younger,25 à 34 ans,2018,fg1a_110,0.1082037110118058,888.1285913402445,0.0893686904661024,0.1270387315575092,1846,Porte-à-porte,Younger Canadians Dontation Rates by Method,CA,
26,Younger,>=35,2018,fg1a_110,0.1841214799306847,247.73469325947383,0.1751814416517954,0.1930615182095741,13458,Porte-à-porte,Younger Canadians Dontation Rates by Method,CA,
27,Younger,15 à 24 ans,2018,fg1a_120,0.2431083868897445,835.3846039588321,0.2033036736379435,0.2829131001415455,845,Lieu public,Younger Canadians Dontation Rates by Method,CA,
28,Younger,25 à 34 ans,2018,fg1a_120,0.3441164509414402,468.0651767260697,0.312547521263437,0.3756853806194434,1846,Lieu public,Younger Canadians Dontation Rates by Method,CA,
29,Younger,>=35,2018,fg1a_120,0.3316145233124544,179.07598575548917,0.3199754344473828,0.3432536121775261,13458,Lieu public,Younger Canadians Dontation Rates by Method,CA,
30,Younger,15 à 24 ans,2018,fg1a_130,0.1330208136231689,1154.839232947587,0.1029123066275704,0.1631293206187674,845,Lieu de culture,Younger Canadians Dontation Rates by Method,CA,
31,Younger,25 à 34 ans,2018,fg1a_130,0.1694023066653551,750.4560118185041,0.1444854845534461,0.1943191287772641,1846,Lieu de culture,Younger Canadians Dontation Rates by Method,CA,
32,Younger,>=35,2018,fg1a_130,0.2721774272681143,210.5258471862633,0.2609467584798038,0.2834080960564248,13458,Lieu de culture,Younger Canadians Dontation Rates by Method,CA,
33,Younger,15 à 24 ans,2018,fg1a_140,0.0598261351185597,1849.7187448786904,0.0381368750528874,0.081515395184232,845,Parrainage de quelqu'un,Younger Canadians Dontation Rates by Method,CA,*
34,Younger,25 à 34 ans,2018,fg1a_140,0.1504677067778514,728.6279212955359,0.1289796470405633,0.1719557665151394,1846,Parrainage de quelqu'un,Younger Canadians Dontation Rates by Method,CA,
35,Younger,>=35,2018,fg1a_140,0.2405193869939001,208.38816758330088,0.2306957742209192,0.250342999766881,13458,Parrainage de quelqu'un,Younger Canadians Dontation Rates by Method,CA,
36,Younger,15 à 24 ans,2018,fg1a_170,0.0239482696613778,2416.591534412344,0.0126053336917262,0.0352912056310295,845,Autre méthode,Younger Canadians Dontation Rates by Method,CA,*
37,Younger,25 à 34 ans,2018,fg1a_170,0.0460941941022821,1299.0012574764323,0.0343586321941081,0.057829756010456,1846,Autre méthode,Younger Canadians Dontation Rates by Method,CA,
38,Younger,>=35,2018,fg1a_170,0.0572830806416869,510.89916931154056,0.0515470738942668,0.0630190873891071,13458,Autre méthode,Younger Canadians Dontation Rates by Method,CA,
39,Younger2,15 à 34 ans,2018,fg1a_030,0.0339857854297894,1320.0905360644076,0.0251925415241889,0.0427790293353899,2691,Demande par lettre,Younger Canadians Dontation Rates by Method,CA,
40,Younger2,>=35,2018,fg1a_030,0.1953272823560987,232.180570387675,0.1864386105239069,0.2042159541882904,13458,Demande par lettre,Younger Canadians Dontation Rates by Method,CA,
41,Younger2,15 à 34 ans,2018,fg1a_040,0.0209499697813323,1747.5741181084054,0.0137742231466416,0.0281257164160229,2691,Demande au téléphone,Younger Canadians Dontation Rates by Method,CA,*
42,Younger2,>=35,2018,fg1a_040,0.0735352549822415,397.724860849594,0.0678029877010846,0.0792675222633984,13458,Demande au téléphone,Younger Canadians Dontation Rates by Method,CA,
43,Younger2,15 à 34 ans,2018,fg1a_050,0.0221485022293187,1609.511362611201,0.0151615704816183,0.029135433977019,2691,Demande à la télé ou la radio,Younger Canadians Dontation Rates by Method,CA,
44,Younger2,>=35,2018,fg1a_050,0.0558607914794814,520.3930680895061,0.0501632607167426,0.0615583222422203,13458,Demande à la télé ou la radio,Younger Canadians Dontation Rates by Method,CA,
45,Younger2,15 à 34 ans,2018,fg1a_060,0.119472852684112,749.8707932924478,0.1019136915911938,0.1370320137770302,2691,En ligne,Younger Canadians Dontation Rates by Method,CA,
46,Younger2,>=35,2018,fg1a_060,0.1230869210922865,322.3849897180251,0.1153095143515976,0.1308643278329755,13458,En ligne,Younger Canadians Dontation Rates by Method,CA,
47,Younger2,15 à 34 ans,2018,fg1a_070,0.1313243199427456,625.6195261915392,0.1152214403136535,0.1474271995718377,2691,Initiative personnelle,Younger Canadians Dontation Rates by Method,CA,
48,Younger2,>=35,2018,fg1a_070,0.1846560185548548,253.0933216898896,0.1754960866730542,0.1938159504366553,13458,Initiative personnelle,Younger Canadians Dontation Rates by Method,CA,
49,Younger2,15 à 34 ans,2018,fg1a_080,0.1237025358152967,721.6637446511085,0.1062056168282132,0.1411994548023803,2691,Activité caritative,Younger Canadians Dontation Rates by Method,CA,
50,Younger2,>=35,2018,fg1a_080,0.1565992553138739,277.92163043970544,0.1480690372704673,0.1651294733572805,13458,Activité caritative,Younger Canadians Dontation Rates by Method,CA,
51,Younger2,15 à 34 ans,2018,fg1a_090,0.0707149899065804,868.0138197676469,0.0586844196284809,0.0827455601846799,2691,À la mémoire,Younger Canadians Dontation Rates by Method,CA,
52,Younger2,>=35,2018,fg1a_090,0.2157596516842412,221.7639509138416,0.2063816723001425,0.22513763106834,13458,À la mémoire,Younger Canadians Dontation Rates by Method,CA,
53,Younger2,15 à 34 ans,2018,fg1a_100,0.1262804719683977,643.707598107772,0.1103483756672416,0.1422125682695537,2691,Au travail,Younger Canadians Dontation Rates by Method,CA,
54,Younger2,>=35,2018,fg1a_100,0.163611105947337,261.41969153823965,0.1552281116792538,0.1719941002154203,13458,Au travail,Younger Canadians Dontation Rates by Method,CA,
55,Younger2,15 à 34 ans,2018,fg1a_110,0.0917423957342426,829.0170336833145,0.0768356919336343,0.106649099534851,2691,Porte-à-porte,Younger Canadians Dontation Rates by Method,CA,
56,Younger2,>=35,2018,fg1a_110,0.1841214799306847,247.73469325947383,0.1751814416517954,0.1930615182095741,13458,Porte-à-porte,Younger Canadians Dontation Rates by Method,CA,
57,Younger2,15 à 34 ans,2018,fg1a_120,0.2974859847151027,434.3282973667522,0.2721619601371184,0.3228100092930869,2691,Lieu public,Younger Canadians Dontation Rates by Method,CA,
58,Younger2,>=35,2018,fg1a_120,0.3316145233124544,179.07598575548917,0.3199754344473828,0.3432536121775261,13458,Lieu public,Younger Canadians Dontation Rates by Method,CA,
59,Younger2,15 à 34 ans,2018,fg1a_130,0.1526067567407556,636.5112663901424,0.13356846626166,0.1716450472198512,2691,Lieu de culture,Younger Canadians Dontation Rates by Method,CA,
60,Younger2,>=35,2018,fg1a_130,0.2721774272681143,210.5258471862633,0.2609467584798038,0.2834080960564248,13458,Lieu de culture,Younger Canadians Dontation Rates by Method,CA,
61,Younger2,15 à 34 ans,2018,fg1a_140,0.1086229413559781,739.4044740965584,0.0928812380084713,0.1243646447034849,2691,Parrainage de quelqu'un,Younger Canadians Dontation Rates by Method,CA,
62,Younger2,>=35,2018,fg1a_140,0.2405193869939001,208.38816758330088,0.2306957742209192,0.250342999766881,13458,Parrainage de quelqu'un,Younger Canadians Dontation Rates by Method,CA,
63,Younger2,15 à 34 ans,2018,fg1a_170,0.035870507593806,1131.8425828339332,0.0279130992950803,0.0438279158925317,2691,Autre méthode,Younger Canadians Dontation Rates by Method,CA,
64,Younger2,>=35,2018,fg1a_170,0.0572830806416869,510.89916931154056,0.0515470738942668,0.0630190873891071,13458,Autre méthode,Younger Canadians Dontation Rates by Method,CA,
65,Younger,15 à 24 ans,2018,fg1a_030,0.0264849702385227,2694.2792953993826,0.0124990774745342,0.0404708630025112,757,Demande par lettre,Younger Canadians Dontation Rates by Method,CA (without QC),*
