Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,fg1fgiv,0.45023925105139617,5.146906275218905,0.40482023681068585,0.4956582652921065,845,Donor flag,Younger Canadians Donation Rates,CA,
Younger,25 to 34,2018,fg1fgiv,0.6747382057743451,2.1327764130101774,0.6465330357479331,0.702943375800757,1846,Donor flag,Younger Canadians Donation Rates,CA,
Younger,>=35,2018,fg1fgiv,0.7260576885308984,0.8353346844828435,0.7141704840298445,0.7379448930319522,13458,Donor flag,Younger Canadians Donation Rates,CA,
Younger,15 to 24,2018,SecDonFlag,0.3942625897306692,5.911789138958552,0.34857980217903384,0.43994537728230454,845,Secular donor flag,Younger Canadians Donation Rates,CA,
Younger,25 to 34,2018,SecDonFlag,0.6313783494563487,2.510597536602552,0.6003102365460422,0.6624464623666553,1846,Secular donor flag,Younger Canadians Donation Rates,CA,
Younger,>=35,2018,SecDonFlag,0.683003573521389,0.896075930128005,0.6710081419208008,0.6949990051219771,13458,Secular donor flag,Younger Canadians Donation Rates,CA,
Younger,15 to 24,2018,RelDonFlag,0.1339453643880701,11.60451426301488,0.10348025472837667,0.1644104740477635,845,Religious donor flag,Younger Canadians Donation Rates,CA,
Younger,25 to 34,2018,RelDonFlag,0.1777070785351793,7.323704078845651,0.15219865577125302,0.2032155012991056,1846,Religious donor flag,Younger Canadians Donation Rates,CA,
Younger,>=35,2018,RelDonFlag,0.2871565360846104,2.0524393643923986,0.27560506933273177,0.298708002836489,13458,Religious donor flag,Younger Canadians Donation Rates,CA,
Younger2,15 to 34,2018,fg1fgiv,0.5710980556107026,2.340627167888037,0.5448986755992921,0.5972974356221131,2691,Donor flag,Younger Canadians Donation Rates,CA,
Younger2,>=35,2018,fg1fgiv,0.7260576885308984,0.8353346844828435,0.7141704840298445,0.7379448930319522,13458,Donor flag,Younger Canadians Donation Rates,CA,
Younger2,15 to 34,2018,SecDonFlag,0.5219136395896017,2.651585065346502,0.49478972912910607,0.5490375500500972,2691,Secular donor flag,Younger Canadians Donation Rates,CA,
Younger2,>=35,2018,SecDonFlag,0.683003573521389,0.896075930128005,0.6710081419208008,0.6949990051219771,13458,Secular donor flag,Younger Canadians Donation Rates,CA,
Younger2,15 to 34,2018,RelDonFlag,0.15750444270900385,6.216819955124835,0.13831293081991716,0.17669595459809054,2691,Religious donor flag,Younger Canadians Donation Rates,CA,
Younger2,>=35,2018,RelDonFlag,0.2871565360846104,2.0524393643923986,0.27560506933273177,0.298708002836489,13458,Religious donor flag,Younger Canadians Donation Rates,CA,
Younger,15 to 24,2018,fg1fgiv,0.4343682097588661,5.832604990753162,0.38471255772383534,0.48402386179389684,757,Donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,25 to 34,2018,fg1fgiv,0.6772656253135049,2.269435618727219,0.6471407684998397,0.70739048212717,1624,Donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,>=35,2018,fg1fgiv,0.7265150195329431,0.9124914726700786,0.713521658595612,0.7395083804702741,11755,Donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,15 to 24,2018,SecDonFlag,0.3762818368441313,6.655660156739826,0.32719641984466946,0.42536725384359314,757,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,25 to 34,2018,SecDonFlag,0.6338873942308646,2.6210442623284482,0.6013236330234354,0.6664511554382938,1624,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,>=35,2018,SecDonFlag,0.6816874196703134,0.9808782276277326,0.6685820744676861,0.6947927648729407,11755,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,15 to 24,2018,RelDonFlag,0.12772973523857675,12.635569245290249,0.09609713338566314,0.15936233709149036,757,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,25 to 34,2018,RelDonFlag,0.18463976554074954,7.998406063039192,0.15569455055012738,0.2135849805313717,1624,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,>=35,2018,RelDonFlag,0.28753231866225515,2.1970648455017914,0.27515069405583575,0.29991394326867454,11755,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger2,15 to 34,2018,fg1fgiv,0.5644274325423382,2.580607453913594,0.5358792705947562,0.5929755944899202,2381,Donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger2,>=35,2018,fg1fgiv,0.7265150195329431,0.9124914726700786,0.713521658595612,0.7395083804702741,11755,Donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger2,15 to 34,2018,SecDonFlag,0.5142165221594021,2.8668196847932244,0.4853233985468239,0.5431096457719802,2381,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger2,>=35,2018,SecDonFlag,0.6816874196703134,0.9808782276277326,0.6685820744676861,0.6947927648729407,11755,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger2,15 to 34,2018,RelDonFlag,0.1582021644852332,6.909370381339375,0.13677824211073042,0.17962608685973597,2381,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger2,>=35,2018,RelDonFlag,0.28753231866225515,2.1970648455017914,0.27515069405583575,0.29991394326867454,11755,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
Younger,15 to 24,2018,fg1fgiv,0.5679031894989883,11.943994518648031,0.43495819382239764,0.700848185175579,74,Donor flag,Younger Canadians Donation Rates,AB,
Younger,25 to 34,2018,fg1fgiv,0.5764303426732703,7.809808659372697,0.48819647465908966,0.664664210687451,205,Donor flag,Younger Canadians Donation Rates,AB,
Younger,>=35,2018,fg1fgiv,0.716185511958937,2.306650981326799,0.6838071026568853,0.7485639212609887,1133,Donor flag,Younger Canadians Donation Rates,AB,
Younger,15 to 24,2018,fg1fgiv,0.5079268669551481,8.778585616635526,0.42053443486542225,0.5953192990448739,194,Donor flag,Younger Canadians Donation Rates,AT,
Younger,25 to 34,2018,fg1fgiv,0.6803631898675196,5.082228857265306,0.6125923110316757,0.7481340687033636,363,Donor flag,Younger Canadians Donation Rates,AT,
Younger,>=35,2018,fg1fgiv,0.7828829371750919,1.187417937105445,0.7646629308299284,0.8011029435202555,3491,Donor flag,Younger Canadians Donation Rates,AT,
Younger,15 to 24,2018,fg1fgiv,0.3802765165374196,14.105894285329033,0.2751412977644234,0.4854117353104158,125,Donor flag,Younger Canadians Donation Rates,BC,
Younger,25 to 34,2018,fg1fgiv,0.6319572191518817,6.168202544973069,0.5555570365502225,0.708357401753541,245,Donor flag,Younger Canadians Donation Rates,BC,
