,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,fg1fgiv,0.4502392510513961,5.146906275218905,0.4048202368106858,0.4956582652921065,845,Donor flag,Younger Canadians Donation Rates,CA,
1,Younger,25 à 34 ans,2018,fg1fgiv,0.6747382057743451,2.1327764130101774,0.6465330357479331,0.702943375800757,1846,Donor flag,Younger Canadians Donation Rates,CA,
2,Younger,>=35,2018,fg1fgiv,0.7260576885308984,0.8353346844828435,0.7141704840298445,0.7379448930319522,13458,Donor flag,Younger Canadians Donation Rates,CA,
3,Younger,15 à 24 ans,2018,SecDonFlag,0.3942625897306692,5.911789138958552,0.3485798021790338,0.4399453772823045,845,Secular donor flag,Younger Canadians Donation Rates,CA,
4,Younger,25 à 34 ans,2018,SecDonFlag,0.6313783494563487,2.510597536602552,0.6003102365460422,0.6624464623666553,1846,Secular donor flag,Younger Canadians Donation Rates,CA,
5,Younger,>=35,2018,SecDonFlag,0.683003573521389,0.896075930128005,0.6710081419208008,0.6949990051219771,13458,Secular donor flag,Younger Canadians Donation Rates,CA,
6,Younger,15 à 24 ans,2018,RelDonFlag,0.1339453643880701,11.60451426301488,0.1034802547283766,0.1644104740477635,845,Religious donor flag,Younger Canadians Donation Rates,CA,
7,Younger,25 à 34 ans,2018,RelDonFlag,0.1777070785351793,7.323704078845651,0.152198655771253,0.2032155012991056,1846,Religious donor flag,Younger Canadians Donation Rates,CA,
8,Younger,>=35,2018,RelDonFlag,0.2871565360846104,2.0524393643923986,0.2756050693327317,0.298708002836489,13458,Religious donor flag,Younger Canadians Donation Rates,CA,
9,Younger2,15 à 34 ans,2018,fg1fgiv,0.5710980556107026,2.340627167888037,0.5448986755992921,0.5972974356221131,2691,Donor flag,Younger Canadians Donation Rates,CA,
10,Younger2,>=35,2018,fg1fgiv,0.7260576885308984,0.8353346844828435,0.7141704840298445,0.7379448930319522,13458,Donor flag,Younger Canadians Donation Rates,CA,
11,Younger2,15 à 34 ans,2018,SecDonFlag,0.5219136395896017,2.651585065346502,0.494789729129106,0.5490375500500972,2691,Secular donor flag,Younger Canadians Donation Rates,CA,
12,Younger2,>=35,2018,SecDonFlag,0.683003573521389,0.896075930128005,0.6710081419208008,0.6949990051219771,13458,Secular donor flag,Younger Canadians Donation Rates,CA,
13,Younger2,15 à 34 ans,2018,RelDonFlag,0.1575044427090038,6.216819955124835,0.1383129308199171,0.1766959545980905,2691,Religious donor flag,Younger Canadians Donation Rates,CA,
14,Younger2,>=35,2018,RelDonFlag,0.2871565360846104,2.0524393643923986,0.2756050693327317,0.298708002836489,13458,Religious donor flag,Younger Canadians Donation Rates,CA,
15,Younger,15 à 24 ans,2018,fg1fgiv,0.4343682097588661,5.832604990753162,0.3847125577238353,0.4840238617938968,757,Donor flag,Younger Canadians Donation Rates,CA (without QC),
16,Younger,25 à 34 ans,2018,fg1fgiv,0.6772656253135049,2.269435618727219,0.6471407684998397,0.70739048212717,1624,Donor flag,Younger Canadians Donation Rates,CA (without QC),
17,Younger,>=35,2018,fg1fgiv,0.7265150195329431,0.9124914726700786,0.713521658595612,0.7395083804702741,11755,Donor flag,Younger Canadians Donation Rates,CA (without QC),
18,Younger,15 à 24 ans,2018,SecDonFlag,0.3762818368441313,6.655660156739826,0.3271964198446694,0.4253672538435931,757,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
19,Younger,25 à 34 ans,2018,SecDonFlag,0.6338873942308646,2.621044262328448,0.6013236330234354,0.6664511554382938,1624,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
20,Younger,>=35,2018,SecDonFlag,0.6816874196703134,0.9808782276277326,0.6685820744676861,0.6947927648729407,11755,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
21,Younger,15 à 24 ans,2018,RelDonFlag,0.1277297352385767,12.635569245290249,0.0960971333856631,0.1593623370914903,757,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
22,Younger,25 à 34 ans,2018,RelDonFlag,0.1846397655407495,7.998406063039192,0.1556945505501273,0.2135849805313717,1624,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
23,Younger,>=35,2018,RelDonFlag,0.2875323186622551,2.197064845501792,0.2751506940558357,0.2999139432686745,11755,Religious donor flag,Younger Canadians Donation Rates,CA (without QC),
24,Younger2,15 à 34 ans,2018,fg1fgiv,0.5644274325423382,2.580607453913594,0.5358792705947562,0.5929755944899202,2381,Donor flag,Younger Canadians Donation Rates,CA (without QC),
25,Younger2,>=35,2018,fg1fgiv,0.7265150195329431,0.9124914726700786,0.713521658595612,0.7395083804702741,11755,Donor flag,Younger Canadians Donation Rates,CA (without QC),
26,Younger2,15 à 34 ans,2018,SecDonFlag,0.5142165221594021,2.8668196847932244,0.4853233985468239,0.5431096457719802,2381,Secular donor flag,Younger Canadians Donation Rates,CA (without QC),
