Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,rg_010,0.5603550810636162,7.291774286122537,0.480271290333628,0.6404388717936045,295,Personally affected by cause,Younger Canadians Reasons for Giving,CA,
Younger,25 to 34,2018,rg_010,0.6476854580464299,3.4547164879619867,0.6038298991512703,0.6915410169415894,1047,Personally affected by cause,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_010,0.7263534065103809,1.0004496869578026,0.7121107394795237,0.7405960735412381,8869,Personally affected by cause,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_020,0.08697331948491281,23.15103250941341,0.047509010585977535,0.1264376283838481,294,Tax credit,Younger Canadians Reasons for Giving,CA,*
Younger,25 to 34,2018,rg_020,0.21346781933124012,8.312259613548703,0.17869021969451762,0.24824541896796262,1043,Tax credit,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_020,0.32660181166387425,2.2994267913021056,0.3118825418046588,0.3413210815230897,8732,Tax credit,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_030,0.2541843608962122,13.024459265720747,0.18929752168128977,0.31907120011113466,293,Religious reasons,Younger Canadians Reasons for Giving,CA,
Younger,25 to 34,2018,rg_030,0.2292985338325289,8.88007577442121,0.18938997540935826,0.26920709225569955,1041,Religious reasons,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_030,0.3321224246396698,2.30394502420128,0.31712494079660386,0.3471199084827357,8719,Religious reasons,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_040,0.8188139440313567,4.34646961771897,0.7490598071697234,0.8885680808929899,294,Personally believed in cause,Younger Canadians Reasons for Giving,CA,
Younger,25 to 34,2018,rg_040,0.8618206636637338,1.8165528634971537,0.8311365887309441,0.8925047385965235,1046,Personally believed in cause,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_040,0.84570319476335,0.7140023062267652,0.833868265220644,0.857538124306056,8841,Personally believed in cause,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_050,0.8582565054641144,3.1845619594833394,0.8046873378601375,0.9118256730680913,295,Compassion towarde people in need,Younger Canadians Reasons for Giving,CA,
Younger,25 to 34,2018,rg_050,0.856000913138083,1.8781494244735613,0.8244906187595372,0.8875112075166288,1046,Compassion towarde people in need,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_050,0.8422091832000618,0.6946146437933451,0.8307431815913588,0.8536751848087647,8804,Compassion towarde people in need,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_060,0.6920616951691142,5.92806332012016,0.6116524959464826,0.7724708943917458,294,Contribution to community,Younger Canadians Reasons for Giving,CA,
Younger,25 to 34,2018,rg_060,0.7707327967473108,2.605792313936216,0.7313694759527498,0.8100961175418717,1042,Contribution to community,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_060,0.7275056288033233,0.9609514734377378,0.7138035675102586,0.7412076900963879,8733,Contribution to community,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_070,0.38723776701212326,10.393123991764138,0.3083568580076944,0.4661186760165521,293,Was asked by someone familiar,Younger Canadians Reasons for Giving,CA,
Younger,25 to 34,2018,rg_070,0.520651547141375,4.375708585902468,0.4759992665288243,0.5653038277539256,1042,Was asked by someone familiar,Younger Canadians Reasons for Giving,CA,
Younger,>=35,2018,rg_070,0.49180308730306355,1.5607423486734755,0.4767588368007566,0.5068473378053705,8721,Was asked by someone familiar,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_010,0.6174577546761734,3.477797881217982,0.5753696199590304,0.6595458893933164,1342,Personally affected by cause,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_010,0.7263534065103809,1.0004496869578026,0.7121107394795237,0.7405960735412381,8869,Personally affected by cause,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_020,0.1695990123126859,8.138190359155823,0.14254702008878664,0.19665100453658516,1337,Tax credit,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_020,0.32660181166387425,2.2994267913021056,0.3118825418046588,0.3413210815230897,8732,Tax credit,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_030,0.23794796618579978,7.4245352608241655,0.20332220237634469,0.27257372999525487,1334,Religious reasons,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_030,0.3321224246396698,2.30394502420128,0.31712494079660386,0.3471199084827357,8719,Religious reasons,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_040,0.8469088359822884,1.9633761533377865,0.8143185428402507,0.879499129124326,1340,Personally believed in cause,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_040,0.84570319476335,0.7140023062267652,0.833868265220644,0.857538124306056,8841,Personally believed in cause,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_050,0.856784124412893,1.680192786860921,0.8285692177655349,0.884999031060251,1341,Compassion towarde people in need,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_050,0.8422091832000618,0.6946146437933451,0.8307431815913588,0.8536751848087647,8804,Compassion towarde people in need,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_060,0.7434313903431886,2.6281156076289935,0.7051371506745789,0.7817256300117983,1336,Contribution to community,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_060,0.7275056288033233,0.9609514734377378,0.7138035675102586,0.7412076900963879,8733,Contribution to community,Younger Canadians Reasons for Giving,CA,
Younger2,15 to 34,2018,rg_070,0.47437251358932764,4.339257559134234,0.43402813443779975,0.5147168927408555,1335,Was asked by someone familiar,Younger Canadians Reasons for Giving,CA,
Younger2,>=35,2018,rg_070,0.49180308730306355,1.5607423486734755,0.4767588368007566,0.5068473378053705,8721,Was asked by someone familiar,Younger Canadians Reasons for Giving,CA,
Younger,15 to 24,2018,rg_010,0.5809695794023666,7.479115528140257,0.4958064277113867,0.6661327310933465,266,Personally affected by cause,Younger Canadians Reasons for Giving,CA (without QC),
Younger,25 to 34,2018,rg_010,0.6598226041464615,3.5042567228143273,0.6145045560812075,0.7051406522117156,915,Personally affected by cause,Younger Canadians Reasons for Giving,CA (without QC),
