,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,rg_010,0.5603550810636162,7.291774286122537,0.480271290333628,0.6404388717936045,295,Touché.e personnellement par la cause,Younger Canadians Reasons for Giving,CA,
1,Younger,25 à 34 ans,2018,rg_010,0.6476854580464299,3.4547164879619867,0.6038298991512703,0.6915410169415894,1047,Touché.e personnellement par la cause,Younger Canadians Reasons for Giving,CA,
2,Younger,>=35,2018,rg_010,0.7263534065103809,1.0004496869578026,0.7121107394795237,0.7405960735412381,8869,Touché.e personnellement par la cause,Younger Canadians Reasons for Giving,CA,
3,Younger,15 à 24 ans,2018,rg_020,0.0869733194849128,23.15103250941341,0.0475090105859775,0.1264376283838481,294,Crédit d'impôt,Younger Canadians Reasons for Giving,CA,*
4,Younger,25 à 34 ans,2018,rg_020,0.2134678193312401,8.312259613548703,0.1786902196945176,0.2482454189679626,1043,Crédit d'impôt,Younger Canadians Reasons for Giving,CA,
5,Younger,>=35,2018,rg_020,0.3266018116638742,2.2994267913021056,0.3118825418046588,0.3413210815230897,8732,Crédit d'impôt,Younger Canadians Reasons for Giving,CA,
6,Younger,15 à 24 ans,2018,rg_030,0.2541843608962122,13.024459265720749,0.1892975216812897,0.3190712001111346,293,Raisons religieuses,Younger Canadians Reasons for Giving,CA,
7,Younger,25 à 34 ans,2018,rg_030,0.2292985338325289,8.88007577442121,0.1893899754093582,0.2692070922556995,1041,Raisons religieuses,Younger Canadians Reasons for Giving,CA,
8,Younger,>=35,2018,rg_030,0.3321224246396698,2.30394502420128,0.3171249407966038,0.3471199084827357,8719,Raisons religieuses,Younger Canadians Reasons for Giving,CA,
9,Younger,15 à 24 ans,2018,rg_040,0.8188139440313567,4.34646961771897,0.7490598071697234,0.8885680808929899,294,Croyance personnelle en la cause,Younger Canadians Reasons for Giving,CA,
10,Younger,25 à 34 ans,2018,rg_040,0.8618206636637338,1.8165528634971535,0.8311365887309441,0.8925047385965235,1046,Croyance personnelle en la cause,Younger Canadians Reasons for Giving,CA,
11,Younger,>=35,2018,rg_040,0.84570319476335,0.7140023062267652,0.833868265220644,0.857538124306056,8841,Croyance personnelle en la cause,Younger Canadians Reasons for Giving,CA,
