Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,rv_020,0.49073508348071015,6.585811653075337,0.4273912263656786,0.5540789405957417,445,Personally affected by cause,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_020,0.5968257533724761,4.216714475617282,0.5475004413974421,0.6461510653475101,772,Personally affected by cause,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_020,0.6120686043496971,1.5057317266597352,0.5940053583895306,0.6301318503098636,5913,Personally affected by cause,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_030,0.4721170833143251,6.533049096624886,0.4116646581031392,0.532569508525511,443,Friends volunteer,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_030,0.410667217830606,6.200059424371971,0.36076337622010785,0.46057105944110416,767,Friends volunteer,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_030,0.3638376773485437,2.2907297351149043,0.34750228331011224,0.3801730713869752,5801,Friends volunteer,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_040,0.4954066768647275,6.316814098217292,0.43407172306651315,0.5567416306629419,444,Networking or meeting people,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_040,0.5385017242189959,4.560748450889138,0.49036557901936817,0.5866378694186236,767,Networking or meeting people,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_040,0.4609022885904868,2.013327084961087,0.4427148603965493,0.47908971678442436,5798,Networking or meeting people,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_050,0.5638351998034098,5.590564507548165,0.5020540567671773,0.6256163428396423,446,Improve job opportunities,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_050,0.3563717536666782,7.150087057959429,0.3064301257238717,0.40631338160948477,765,Improve job opportunities,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_050,0.10983107714453404,5.351368359879998,0.0983114564213669,0.12135069786770117,5725,Improve job opportunities,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_060,0.18424573124876975,12.434753459993857,0.13934197159601192,0.22914949090152759,439,Religious reasons,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_060,0.14268623671938999,13.983862422131308,0.10357898314277045,0.18179349029600952,761,Religious reasons,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_060,0.20683905137487876,3.6814786536181185,0.19191444399660476,0.22176365875315276,5786,Religious reasons,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_070,0.6097576464000402,4.80430611647745,0.5523412386120892,0.6671740541879911,441,Explore own strengths,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_070,0.45799187143818776,5.189579985699757,0.411407732635675,0.5045760102407005,766,Explore own strengths,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_070,0.37194071438624243,2.368458930949529,0.3546748760431755,0.3892065527293094,5750,Explore own strengths,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_080,0.8758291281007456,2.1207682362774936,0.8394241573953773,0.912234098806114,443,Contribute to community,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_080,0.9177417687338346,1.4608469631526506,0.8914649181800643,0.9440186192876049,777,Contribute to community,Younger Canadians Reasons for Volunteering,CA,
Younger,>=35,2018,rv_080,0.8975719106223935,0.6337906970179137,0.886422210058124,0.908721611186663,5979,Contribute to community,Younger Canadians Reasons for Volunteering,CA,
Younger,15 to 24,2018,rv_090,0.8004692254614115,2.9701952898100537,0.7538701032541254,0.8470683476686977,445,Use skills and experiences,Younger Canadians Reasons for Volunteering,CA,
Younger,25 to 34,2018,rv_090,0.7518070240709299,3.018887710464761,0.7073232701674341,0.7962907779744257,772,Use skills and experiences,Younger Canadians Reasons for Volunteering,CA,
