Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,fv_020,0.04793381500087619,19.118929793183757,0.029971857485189844,0.06589577251656253,845,Canvassing,Younger Canadians Volunteer Rate by Activity,CA,*
Younger,25 to 34,2018,fv_020,0.017064193643951737,22.360709164598212,0.009585608631696009,0.024542778656207465,1844,Canvassing,Younger Canadians Volunteer Rate by Activity,CA,*
Younger,>=35,2018,fv_020,0.030334033679656116,6.597468899283513,0.02641160001830908,0.03425646734100315,13373,Canvassing,Younger Canadians Volunteer Rate by Activity,CA,
Younger,15 to 24,2018,fv_030,0.19460127736388774,8.101553084373357,0.16370102262828556,0.22550153209948992,845,Fundraising,Younger Canadians Volunteer Rate by Activity,CA,
Younger,25 to 34,2018,fv_030,0.14012561422911354,6.596666541634533,0.12200845290250262,0.15824277555572447,1844,Fundraising,Younger Canadians Volunteer Rate by Activity,CA,
Younger,>=35,2018,fv_030,0.15899048115119538,2.6610117545328422,0.15069835295543435,0.1672826093469564,13393,Fundraising,Younger Canadians Volunteer Rate by Activity,CA,
Younger,15 to 24,2018,fv_040,0.08154640617686722,15.186858248144327,0.057273551463892264,0.10581926088984217,844,Sit on committee or board,Younger Canadians Volunteer Rate by Activity,CA,
Younger,25 to 34,2018,fv_040,0.11287918113823434,8.227510852641522,0.09467670773719937,0.1310816545392693,1844,Sit on committee or board,Younger Canadians Volunteer Rate by Activity,CA,
Younger,>=35,2018,fv_040,0.1454620700421009,2.670930423196006,0.1378472362304186,0.1530769038537832,13396,Sit on committee or board,Younger Canadians Volunteer Rate by Activity,CA,
Younger,15 to 24,2018,fv_050,0.18025213640213877,9.087745106752838,0.1481462511429778,0.21235802166129975,845,Teaching or mentoring,Younger Canadians Volunteer Rate by Activity,CA,
Younger,25 to 34,2018,fv_050,0.10885540690801569,7.926675770644737,0.09194363194930728,0.12576718186672411,1844,Teaching or mentoring,Younger Canadians Volunteer Rate by Activity,CA,
Younger,>=35,2018,fv_050,0.11140431311103555,3.151532926099544,0.10452299008605741,0.11828563613601369,13377,Teaching or mentoring,Younger Canadians Volunteer Rate by Activity,CA,
Younger,15 to 24,2018,fv_060,0.2508246476980885,7.388601231567654,0.21450174645475067,0.2871475489414263,845,Organize activities or events,Younger Canadians Volunteer Rate by Activity,CA,
Younger,25 to 34,2018,fv_060,0.15807690484406348,7.014754874663461,0.1363434377279588,0.17981037196016816,1845,Organize activities or events,Younger Canadians Volunteer Rate by Activity,CA,
Younger,>=35,2018,fv_060,0.16784995168077557,2.599881857717676,0.15929686398246187,0.17640303937908927,13391,Organize activities or events,Younger Canadians Volunteer Rate by Activity,CA,
Younger,15 to 24,2018,fv_070,0.05578818683859874,18.136095904207313,0.03595766506198324,0.07561870861521425,844,Office work,Younger Canadians Volunteer Rate by Activity,CA,*
Younger,25 to 34,2018,fv_070,0.05682574130061047,11.92889146925944,0.0435397706654749,0.07011171193574604,1845,Office work,Younger Canadians Volunteer Rate by Activity,CA,
