Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,flag_vd1dex01,0.030643996172211467,22.419129596682584,0.01717881386035981,0.04410917848406312,845,Arts & culture,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex01,0.02402873580893881,16.456725776528295,0.016278365633525197,0.03177910598435243,1846,Arts & culture,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex01,0.026510720306867953,6.168974230599636,0.02330531777998293,0.029716122833752974,13458,Arts & culture,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex02,0.09460439922169417,13.16388878216446,0.07019575666717649,0.11901304177621184,845,Sports & Recreation,Younger Canadians Volunteer Rate by Cause,CA,
Younger,25 to 34,2018,flag_vd1dex02,0.06491235117588455,10.712258799016503,0.05128358667327744,0.07854111567849166,1846,Sports & Recreation,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex02,0.09442889371326738,3.3813408793141453,0.08817080165066947,0.10068698577586528,13458,Sports & Recreation,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex03,0.14140250761392342,10.982842687795594,0.11096423759759808,0.17184077763024877,845,Education & research,Younger Canadians Volunteer Rate by Cause,CA,
Younger,25 to 34,2018,flag_vd1dex03,0.044743624257303626,11.166309073456663,0.03495122990269046,0.054536018611916794,1846,Education & research,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex03,0.05687359636225941,4.652197264739945,0.051687782741677075,0.06205940998284174,13458,Education & research,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex04,0.04806283538472489,19.750965838283328,0.029457143847370502,0.06666852692207928,845,Universities & colleges,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex04,0.03667250982795018,17.41413570436244,0.024155786599738695,0.049189233056161664,1846,Universities & colleges,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,>=35,2018,flag_vd1dex04,0.010003401231357003,10.909947667326101,0.007864363492384016,0.01214243897032999,13458,Universities & colleges,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex05,0.044486211017247,20.13175638337079,0.026933056539185124,0.062039365495308876,845,Health,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex05,0.0418231751388199,12.816394441470887,0.03131733092599287,0.052329019351646924,1846,Health,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex05,0.042157095857414825,5.244629593554247,0.037823647777766235,0.046490543937063415,13458,Health,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex06,0.028352218677156066,22.526932225027736,0.015834153935798633,0.040870283418513495,845,Hospitals,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex06,0.011034536729051417,22.546226798849382,0.00615839784371099,0.015910675614391846,1846,Hospitals,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,>=35,2018,flag_vd1dex06,0.02008751570707577,6.985289717327286,0.01733735075139119,0.02283768066276035,13458,Hospitals,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex07,0.1334561611569721,9.911891006203017,0.1075297002700434,0.15938262204390077,845,Social services,Younger Canadians Volunteer Rate by Cause,CA,
Younger,25 to 34,2018,flag_vd1dex07,0.09329375365600379,7.881226882266761,0.07888274137708126,0.10770476593492631,1846,Social services,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex07,0.1098888143394907,3.37491243574477,0.10261999143742516,0.11715763724155624,13458,Social services,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex08,0.024037873157295678,24.95650037486323,0.012280025881433747,0.03579572043315761,845,Environment,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex08,0.032110149657052646,13.774867244363723,0.023440973203169537,0.04077932611093575,1846,Environment,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex08,0.023904034103168093,6.89772254735254,0.02067237894456149,0.027135689261774697,13458,Environment,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex09,0.043534519875053926,21.074590543263795,0.025552395561938654,0.0615166441881692,845,Development & housing,Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex09,0.03852739091022695,12.825865362693175,0.0288422851592159,0.048212496661238,1846,Development & housing,Younger Canadians Volunteer Rate by Cause,CA,
Younger,>=35,2018,flag_vd1dex09,0.04477265620152694,4.89377408086808,0.04047823273078327,0.049067079672270614,13458,Development & housing,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex10,0.019028140897401093,38.218125870821865,0.004774893084456782,0.0332813887103454,845,"Law, advocacy & politics",Younger Canadians Volunteer Rate by Cause,CA,...
Younger,25 to 34,2018,flag_vd1dex10,0.014399276232517397,21.296396036301633,0.008388993964931483,0.02040955850010331,1846,"Law, advocacy & politics",Younger Canadians Volunteer Rate by Cause,CA,*
Younger,>=35,2018,flag_vd1dex10,0.01662138800306663,9.123384622846519,0.013649233630040409,0.019593542376092853,13458,"Law, advocacy & politics",Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex11,0.015973135151823047,27.582859399709132,0.007337832905564376,0.024608437398081717,845,"Grant-making, fundraising",Younger Canadians Volunteer Rate by Cause,CA,*
Younger,25 to 34,2018,flag_vd1dex11,0.016381196832554925,18.899420242634896,0.010313243923553258,0.022449149741556592,1846,"Grant-making, fundraising",Younger Canadians Volunteer Rate by Cause,CA,*
Younger,>=35,2018,flag_vd1dex11,0.014352009963838782,8.032363874319723,0.012092552382059644,0.01661146754561792,13458,"Grant-making, fundraising",Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex12,0.012390857113649732,36.06825443628166,0.003631452966363047,0.021150261260936415,845,International,Younger Canadians Volunteer Rate by Cause,CA,...
Younger,25 to 34,2018,flag_vd1dex12,0.009744583596953814,33.83326727164853,0.003282756751501797,0.01620641044240583,1846,International,Younger Canadians Volunteer Rate by Cause,CA,...
Younger,>=35,2018,flag_vd1dex12,0.005718186788205442,15.198113583815049,0.004014867302583746,0.007421506273827138,13458,International,Younger Canadians Volunteer Rate by Cause,CA,
Younger,15 to 24,2018,flag_vd1dex13,0.08898752003526066,14.617570983663272,0.06349267325846007,0.11448236681206124,845,Religion,Younger Canadians Volunteer Rate by Cause,CA,
