,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,flag_vd1dex01,0.0306439961722114,22.419129596682584,0.0171788138603598,0.0441091784840631,845,Arts et culture,Younger Canadians Volunteer Rate by Cause,CA,*
1,Younger,25 à 34 ans,2018,flag_vd1dex01,0.0240287358089388,16.456725776528295,0.0162783656335251,0.0317791059843524,1846,Arts et culture,Younger Canadians Volunteer Rate by Cause,CA,
2,Younger,>=35,2018,flag_vd1dex01,0.0265107203068679,6.168974230599636,0.0233053177799829,0.0297161228337529,13458,Arts et culture,Younger Canadians Volunteer Rate by Cause,CA,
3,Younger,15 à 24 ans,2018,flag_vd1dex02,0.0946043992216941,13.16388878216446,0.0701957566671764,0.1190130417762118,845,Sport et loisir,Younger Canadians Volunteer Rate by Cause,CA,
4,Younger,25 à 34 ans,2018,flag_vd1dex02,0.0649123511758845,10.712258799016505,0.0512835866732774,0.0785411156784916,1846,Sport et loisir,Younger Canadians Volunteer Rate by Cause,CA,
5,Younger,>=35,2018,flag_vd1dex02,0.0944288937132673,3.3813408793141453,0.0881708016506694,0.1006869857758652,13458,Sport et loisir,Younger Canadians Volunteer Rate by Cause,CA,
6,Younger,15 à 24 ans,2018,flag_vd1dex03,0.1414025076139234,10.982842687795594,0.110964237597598,0.1718407776302487,845,Éducation et recherche,Younger Canadians Volunteer Rate by Cause,CA,
7,Younger,25 à 34 ans,2018,flag_vd1dex03,0.0447436242573036,11.166309073456665,0.0349512299026904,0.0545360186119167,1846,Éducation et recherche,Younger Canadians Volunteer Rate by Cause,CA,
8,Younger,>=35,2018,flag_vd1dex03,0.0568735963622594,4.652197264739945,0.051687782741677,0.0620594099828417,13458,Éducation et recherche,Younger Canadians Volunteer Rate by Cause,CA,
9,Younger,15 à 24 ans,2018,flag_vd1dex04,0.0480628353847248,19.750965838283328,0.0294571438473705,0.0666685269220792,845,Universités et collèges,Younger Canadians Volunteer Rate by Cause,CA,*
10,Younger,25 à 34 ans,2018,flag_vd1dex04,0.0366725098279501,17.41413570436244,0.0241557865997386,0.0491892330561616,1846,Universités et collèges,Younger Canadians Volunteer Rate by Cause,CA,*
11,Younger,>=35,2018,flag_vd1dex04,0.010003401231357,10.9099476673261,0.007864363492384,0.0121424389703299,13458,Universités et collèges,Younger Canadians Volunteer Rate by Cause,CA,
12,Younger,15 à 24 ans,2018,flag_vd1dex05,0.044486211017247,20.13175638337079,0.0269330565391851,0.0620393654953088,845,Santé,Younger Canadians Volunteer Rate by Cause,CA,*
13,Younger,25 à 34 ans,2018,flag_vd1dex05,0.0418231751388199,12.816394441470887,0.0313173309259928,0.0523290193516469,1846,Santé,Younger Canadians Volunteer Rate by Cause,CA,
14,Younger,>=35,2018,flag_vd1dex05,0.0421570958574148,5.244629593554247,0.0378236477777662,0.0464905439370634,13458,Santé,Younger Canadians Volunteer Rate by Cause,CA,
15,Younger,15 à 24 ans,2018,flag_vd1dex06,0.028352218677156,22.526932225027736,0.0158341539357986,0.0408702834185134,845,Hôpitaux,Younger Canadians Volunteer Rate by Cause,CA,*
16,Younger,25 à 34 ans,2018,flag_vd1dex06,0.0110345367290514,22.546226798849386,0.0061583978437109,0.0159106756143918,1846,Hôpitaux,Younger Canadians Volunteer Rate by Cause,CA,*
17,Younger,>=35,2018,flag_vd1dex06,0.0200875157070757,6.985289717327286,0.0173373507513911,0.0228376806627603,13458,Hôpitaux,Younger Canadians Volunteer Rate by Cause,CA,
18,Younger,15 à 24 ans,2018,flag_vd1dex07,0.1334561611569721,9.911891006203016,0.1075297002700434,0.1593826220439007,845,Services sociaux,Younger Canadians Volunteer Rate by Cause,CA,
19,Younger,25 à 34 ans,2018,flag_vd1dex07,0.0932937536560037,7.881226882266761,0.0788827413770812,0.1077047659349263,1846,Services sociaux,Younger Canadians Volunteer Rate by Cause,CA,
20,Younger,>=35,2018,flag_vd1dex07,0.1098888143394907,3.37491243574477,0.1026199914374251,0.1171576372415562,13458,Services sociaux,Younger Canadians Volunteer Rate by Cause,CA,
21,Younger,15 à 24 ans,2018,flag_vd1dex08,0.0240378731572956,24.95650037486323,0.0122800258814337,0.0357957204331576,845,Environnement,Younger Canadians Volunteer Rate by Cause,CA,*
22,Younger,25 à 34 ans,2018,flag_vd1dex08,0.0321101496570526,13.774867244363724,0.0234409732031695,0.0407793261109357,1846,Environnement,Younger Canadians Volunteer Rate by Cause,CA,
23,Younger,>=35,2018,flag_vd1dex08,0.023904034103168,6.89772254735254,0.0206723789445614,0.0271356892617746,13458,Environnement,Younger Canadians Volunteer Rate by Cause,CA,
24,Younger,15 à 24 ans,2018,flag_vd1dex09,0.0435345198750539,21.074590543263795,0.0255523955619386,0.0615166441881692,845,Aménagement et logement,Younger Canadians Volunteer Rate by Cause,CA,*
25,Younger,25 à 34 ans,2018,flag_vd1dex09,0.0385273909102269,12.825865362693175,0.0288422851592159,0.048212496661238,1846,Aménagement et logement,Younger Canadians Volunteer Rate by Cause,CA,
26,Younger,>=35,2018,flag_vd1dex09,0.0447726562015269,4.89377408086808,0.0404782327307832,0.0490670796722706,13458,Aménagement et logement,Younger Canadians Volunteer Rate by Cause,CA,
27,Younger,15 à 24 ans,2018,flag_vd1dex10,0.019028140897401,38.218125870821865,0.0047748930844567,0.0332813887103454,845,"Droit, plaidoyer et politique",Younger Canadians Volunteer Rate by Cause,CA,...
28,Younger,25 à 34 ans,2018,flag_vd1dex10,0.0143992762325173,21.296396036301637,0.0083889939649314,0.0204095585001033,1846,"Droit, plaidoyer et politique",Younger Canadians Volunteer Rate by Cause,CA,*
29,Younger,>=35,2018,flag_vd1dex10,0.0166213880030666,9.12338462284652,0.0136492336300404,0.0195935423760928,13458,"Droit, plaidoyer et politique",Younger Canadians Volunteer Rate by Cause,CA,
30,Younger,15 à 24 ans,2018,flag_vd1dex11,0.015973135151823,27.58285939970913,0.0073378329055643,0.0246084373980817,845,"Subventions, collecte de fonds",Younger Canadians Volunteer Rate by Cause,CA,*
31,Younger,25 à 34 ans,2018,flag_vd1dex11,0.0163811968325549,18.899420242634896,0.0103132439235532,0.0224491497415565,1846,"Subventions, collecte de fonds",Younger Canadians Volunteer Rate by Cause,CA,*
32,Younger,>=35,2018,flag_vd1dex11,0.0143520099638387,8.032363874319723,0.0120925523820596,0.0166114675456179,13458,"Subventions, collecte de fonds",Younger Canadians Volunteer Rate by Cause,CA,
33,Younger,15 à 24 ans,2018,flag_vd1dex12,0.0123908571136497,36.06825443628166,0.003631452966363,0.0211502612609364,845,International,Younger Canadians Volunteer Rate by Cause,CA,...
34,Younger,25 à 34 ans,2018,flag_vd1dex12,0.0097445835969538,33.83326727164853,0.0032827567515017,0.0162064104424058,1846,International,Younger Canadians Volunteer Rate by Cause,CA,...
35,Younger,>=35,2018,flag_vd1dex12,0.0057181867882054,15.198113583815047,0.0040148673025837,0.0074215062738271,13458,International,Younger Canadians Volunteer Rate by Cause,CA,
36,Younger,15 à 24 ans,2018,flag_vd1dex13,0.0889875200352606,14.617570983663272,0.06349267325846,0.1144823668120612,845,Religion,Younger Canadians Volunteer Rate by Cause,CA,
37,Younger,25 à 34 ans,2018,flag_vd1dex13,0.0466831158642429,13.610311453212102,0.0342300584645326,0.0591361732639532,1846,Religion,Younger Canadians Volunteer Rate by Cause,CA,
38,Younger,>=35,2018,flag_vd1dex13,0.0834483624407358,3.3625616565761214,0.0779486983288046,0.0889480265526669,13458,Religion,Younger Canadians Volunteer Rate by Cause,CA,
39,Younger,15 à 24 ans,2018,flag_vd1dex14,0.0176934249410301,39.96051594550543,0.00383572715022,0.0315511227318402,845,Entreprises et professionnels,Younger Canadians Volunteer Rate by Cause,CA,...
40,Younger,25 à 34 ans,2018,flag_vd1dex14,0.0121039111739304,22.34766340944469,0.0068023235897213,0.0174054987581394,1846,Entreprises et professionnels,Younger Canadians Volunteer Rate by Cause,CA,*
41,Younger,>=35,2018,flag_vd1dex14,0.0116595360706753,9.229304732478422,0.0095504303625623,0.0137686417787884,13458,Entreprises et professionnels,Younger Canadians Volunteer Rate by Cause,CA,
42,Younger,15 à 24 ans,2018,flag_vd1dex15,0.0029849864621772,59.029182050008686,-0.0004684957402471489,0.0064384686646015,845,Autre,Younger Canadians Volunteer Rate by Cause,CA,...
43,Younger,25 à 34 ans,2018,flag_vd1dex15,0.0053532636999509,37.49118517507384,0.0014196120500004,0.0092869153499014,1846,Autre,Younger Canadians Volunteer Rate by Cause,CA,...
44,Younger,>=35,2018,flag_vd1dex15,0.0028494319952255,19.50893409477054,0.00175990014835,0.003938963842101,13458,Autre,Younger Canadians Volunteer Rate by Cause,CA,*
45,Younger2,15 à 34 ans,2018,flag_vd1dex01,0.0270826768763583,14.2873983541535,0.0194987727715613,0.0346665809811553,2691,Arts et culture,Younger Canadians Volunteer Rate by Cause,CA,
46,Younger2,>=35,2018,flag_vd1dex01,0.0265107203068679,6.168974230599636,0.0233053177799829,0.0297161228337529,13458,Arts et culture,Younger Canadians Volunteer Rate by Cause,CA,
47,Younger2,15 à 34 ans,2018,flag_vd1dex02,0.0786197126285534,8.904354353454606,0.0648988322615192,0.0923405929955875,2691,Sport et loisir,Younger Canadians Volunteer Rate by Cause,CA,
48,Younger2,>=35,2018,flag_vd1dex02,0.0944288937132673,3.3813408793141453,0.0881708016506694,0.1006869857758652,13458,Sport et loisir,Younger Canadians Volunteer Rate by Cause,CA,
49,Younger2,15 à 34 ans,2018,flag_vd1dex03,0.0893662871917161,8.597757505080153,0.0743069104548694,0.1044256639285627,2691,Éducation et recherche,Younger Canadians Volunteer Rate by Cause,CA,
50,Younger2,>=35,2018,flag_vd1dex03,0.0568735963622594,4.652197264739945,0.051687782741677,0.0620594099828417,13458,Éducation et recherche,Younger Canadians Volunteer Rate by Cause,CA,
51,Younger2,15 à 34 ans,2018,flag_vd1dex04,0.0419308641600393,13.476001396167298,0.030855884143457,0.0530058441766216,2691,Universités et collèges,Younger Canadians Volunteer Rate by Cause,CA,
52,Younger2,>=35,2018,flag_vd1dex04,0.010003401231357,10.9099476673261,0.007864363492384,0.0121424389703299,13458,Universités et collèges,Younger Canadians Volunteer Rate by Cause,CA,
53,Younger2,15 à 34 ans,2018,flag_vd1dex05,0.0430525681160475,11.42262262521003,0.0334139897531804,0.0526911464789147,2691,Santé,Younger Canadians Volunteer Rate by Cause,CA,
54,Younger2,>=35,2018,flag_vd1dex05,0.0421570958574148,5.244629593554247,0.0378236477777662,0.0464905439370634,13458,Santé,Younger Canadians Volunteer Rate by Cause,CA,
55,Younger2,15 à 34 ans,2018,flag_vd1dex06,0.0190292606234353,17.01998712831403,0.0126813729604089,0.0253771482864616,2691,Hôpitaux,Younger Canadians Volunteer Rate by Cause,CA,*
56,Younger2,>=35,2018,flag_vd1dex06,0.0200875157070757,6.985289717327286,0.0173373507513911,0.0228376806627603,13458,Hôpitaux,Younger Canadians Volunteer Rate by Cause,CA,
57,Younger2,15 à 34 ans,2018,flag_vd1dex07,0.1118347662387597,6.503444309019627,0.0975797291719226,0.1260898033055968,2691,Services sociaux,Younger Canadians Volunteer Rate by Cause,CA,
58,Younger2,>=35,2018,flag_vd1dex07,0.1098888143394907,3.37491243574477,0.1026199914374251,0.1171576372415562,13458,Services sociaux,Younger Canadians Volunteer Rate by Cause,CA,
59,Younger2,15 à 34 ans,2018,flag_vd1dex08,0.028383575742133,12.58565729106922,0.0213820756417869,0.0353850758424792,2691,Environnement,Younger Canadians Volunteer Rate by Cause,CA,
60,Younger2,>=35,2018,flag_vd1dex08,0.023904034103168,6.89772254735254,0.0206723789445614,0.0271356892617746,13458,Environnement,Younger Canadians Volunteer Rate by Cause,CA,
61,Younger2,15 à 34 ans,2018,flag_vd1dex09,0.0408389366296438,12.711857563951822,0.0306640041880647,0.0510138690712228,2691,Aménagement et logement,Younger Canadians Volunteer Rate by Cause,CA,
62,Younger2,>=35,2018,flag_vd1dex09,0.0447726562015269,4.89377408086808,0.0404782327307832,0.0490670796722706,13458,Aménagement et logement,Younger Canadians Volunteer Rate by Cause,CA,
63,Younger2,15 à 34 ans,2018,flag_vd1dex10,0.0165361958878795,22.370246272241545,0.0092859211372368,0.0237864706385222,2691,"Droit, plaidoyer et politique",Younger Canadians Volunteer Rate by Cause,CA,*
64,Younger2,>=35,2018,flag_vd1dex10,0.0166213880030666,9.12338462284652,0.0136492336300404,0.0195935423760928,13458,"Droit, plaidoyer et politique",Younger Canadians Volunteer Rate by Cause,CA,
65,Younger2,15 à 34 ans,2018,flag_vd1dex11,0.0161928147800893,16.285084367700257,0.0110243631983969,0.0213612663617818,2691,"Subventions, collecte de fonds",Younger Canadians Volunteer Rate by Cause,CA,
66,Younger2,>=35,2018,flag_vd1dex11,0.0143520099638387,8.032363874319723,0.0120925523820596,0.0166114675456179,13458,"Subventions, collecte de fonds",Younger Canadians Volunteer Rate by Cause,CA,
67,Younger2,15 à 34 ans,2018,flag_vd1dex12,0.010966238214379,24.509964278736597,0.0056982057221228,0.0162342707066353,2691,International,Younger Canadians Volunteer Rate by Cause,CA,*
68,Younger2,>=35,2018,flag_vd1dex12,0.0057181867882054,15.198113583815047,0.0040148673025837,0.0074215062738271,13458,International,Younger Canadians Volunteer Rate by Cause,CA,
69,Younger2,15 à 34 ans,2018,flag_vd1dex13,0.0662129831915918,10.392734851994623,0.0527258050560411,0.0797001613271424,2691,Religion,Younger Canadians Volunteer Rate by Cause,CA,
70,Younger2,>=35,2018,flag_vd1dex13,0.0834483624407358,3.3625616565761214,0.0779486983288046,0.0889480265526669,13458,Religion,Younger Canadians Volunteer Rate by Cause,CA,
71,Younger2,15 à 34 ans,2018,flag_vd1dex14,0.0146843153761631,24.16365111789493,0.0077298403649886,0.0216387903873377,2691,Entreprises et professionnels,Younger Canadians Volunteer Rate by Cause,CA,*
72,Younger2,>=35,2018,flag_vd1dex14,0.0116595360706753,9.229304732478422,0.0095504303625623,0.0137686417787884,13458,Entreprises et professionnels,Younger Canadians Volunteer Rate by Cause,CA,
73,Younger2,15 à 34 ans,2018,flag_vd1dex15,0.0042599463219038,31.44720528482644,0.0016343118022907,0.0068855808415169,2691,Autre,Younger Canadians Volunteer Rate by Cause,CA,*
