Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Younger,15 to 24,2018,fv1fvol,0.52321431595709,45846.71687229565,0.47619936901350335,0.5702292629006767,845,Volunteer flag,Younger Canadians Volunteer Rate,CA,
Younger,25 to 34,2018,fv1fvol,0.36769279894791906,39710.45384100023,0.33907487889481125,0.3963107190010269,1846,Volunteer flag,Younger Canadians Volunteer Rate,CA,
Younger,>=35,2018,fv1fvol,0.39812693837577867,15481.994166713102,0.38604611445024395,0.4102077623013134,13458,Volunteer flag,Younger Canadians Volunteer Rate,CA,
Younger,15 to 24,2018,iv1fiv,0.7272149128437992,30842.225050296354,0.6832550256682395,0.771174800019359,845,Direct help flag,Younger Canadians Volunteer Rate,CA,
Younger,25 to 34,2018,iv1fiv,0.7695801477923339,18005.221032801084,0.7424219839387628,0.7967383116459049,1846,Direct help flag,Younger Canadians Volunteer Rate,CA,
Younger,>=35,2018,iv1fiv,0.6857849662778018,8947.658672231843,0.673758294465208,0.6978116380903957,13458,Direct help flag,Younger Canadians Volunteer Rate,CA,
Younger,15 to 24,2018,iva250fiv,0.29989846194603564,70654.60708697686,0.25836837741532725,0.34142854647674403,845,Community involvement flag,Younger Canadians Volunteer Rate,CA,
Younger,25 to 34,2018,iva250fiv,0.31574081563046524,48493.279396396734,0.28573120419939035,0.34575042706154013,1846,Community involvement flag,Younger Canadians Volunteer Rate,CA,
Younger,>=35,2018,iva250fiv,0.2673314709535057,20801.617530484808,0.25643225428808175,0.2782306876189296,13458,Community involvement flag,Younger Canadians Volunteer Rate,CA,
Younger2,15 to 34,2018,fv1fvol,0.43948945117019467,30464.937288844565,0.4132474569865996,0.46573144535378974,2691,Volunteer flag,Younger Canadians Volunteer Rate,CA,
Younger2,>=35,2018,fv1fvol,0.39812693837577867,15481.994166713102,0.38604611445024395,0.4102077623013134,13458,Volunteer flag,Younger Canadians Volunteer Rate,CA,
Younger2,15 to 34,2018,iv1fiv,0.7500221978802611,16599.73911378332,0.7256203075628184,0.7744240881977039,2691,Direct help flag,Younger Canadians Volunteer Rate,CA,
Younger2,>=35,2018,iv1fiv,0.6857849662778018,8947.658672231843,0.673758294465208,0.6978116380903957,13458,Direct help flag,Younger Canadians Volunteer Rate,CA,
Younger2,15 to 34,2018,iva250fiv,0.3084271783940422,40081.31510922657,0.2841977764492659,0.3326565803388185,2691,Community involvement flag,Younger Canadians Volunteer Rate,CA,
Younger2,>=35,2018,iva250fiv,0.2673314709535057,20801.617530484808,0.25643225428808175,0.2782306876189296,13458,Community involvement flag,Younger Canadians Volunteer Rate,CA,
Younger,15 to 24,2018,fv1fvol,0.5281678426955378,47230.31867111764,0.4792754914966732,0.5770601938944024,757,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
Younger,25 to 34,2018,fv1fvol,0.3858999182367859,42325.73221206658,0.35388685315927926,0.4179129833142925,1624,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
Younger,>=35,2018,fv1fvol,0.4294988393838619,16483.678230282516,0.41562284185263865,0.44337483691508517,11755,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
