,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Younger,15 à 24 ans,2018,fv1fvol,0.52321431595709,45846.71687229565,0.4761993690135033,0.5702292629006767,845,Volunteer flag,Younger Canadians Volunteer Rate,CA,
1,Younger,25 à 34 ans,2018,fv1fvol,0.367692798947919,39710.45384100023,0.3390748788948112,0.3963107190010269,1846,Volunteer flag,Younger Canadians Volunteer Rate,CA,
2,Younger,>=35,2018,fv1fvol,0.3981269383757786,15481.994166713102,0.3860461144502439,0.4102077623013134,13458,Volunteer flag,Younger Canadians Volunteer Rate,CA,
3,Younger,15 à 24 ans,2018,iv1fiv,0.7272149128437992,30842.225050296354,0.6832550256682395,0.771174800019359,845,Direct help flag,Younger Canadians Volunteer Rate,CA,
4,Younger,25 à 34 ans,2018,iv1fiv,0.7695801477923339,18005.221032801084,0.7424219839387628,0.7967383116459049,1846,Direct help flag,Younger Canadians Volunteer Rate,CA,
5,Younger,>=35,2018,iv1fiv,0.6857849662778018,8947.658672231843,0.673758294465208,0.6978116380903957,13458,Direct help flag,Younger Canadians Volunteer Rate,CA,
6,Younger,15 à 24 ans,2018,iva250fiv,0.2998984619460356,70654.60708697686,0.2583683774153272,0.341428546476744,845,Community involvement flag,Younger Canadians Volunteer Rate,CA,
7,Younger,25 à 34 ans,2018,iva250fiv,0.3157408156304652,48493.279396396734,0.2857312041993903,0.3457504270615401,1846,Community involvement flag,Younger Canadians Volunteer Rate,CA,
8,Younger,>=35,2018,iva250fiv,0.2673314709535057,20801.617530484808,0.2564322542880817,0.2782306876189296,13458,Community involvement flag,Younger Canadians Volunteer Rate,CA,
9,Younger2,15 à 34 ans,2018,fv1fvol,0.4394894511701946,30464.937288844565,0.4132474569865996,0.4657314453537897,2691,Volunteer flag,Younger Canadians Volunteer Rate,CA,
10,Younger2,>=35,2018,fv1fvol,0.3981269383757786,15481.994166713102,0.3860461144502439,0.4102077623013134,13458,Volunteer flag,Younger Canadians Volunteer Rate,CA,
11,Younger2,15 à 34 ans,2018,iv1fiv,0.7500221978802611,16599.73911378332,0.7256203075628184,0.7744240881977039,2691,Direct help flag,Younger Canadians Volunteer Rate,CA,
12,Younger2,>=35,2018,iv1fiv,0.6857849662778018,8947.658672231843,0.673758294465208,0.6978116380903957,13458,Direct help flag,Younger Canadians Volunteer Rate,CA,
13,Younger2,15 à 34 ans,2018,iva250fiv,0.3084271783940422,40081.31510922657,0.2841977764492659,0.3326565803388185,2691,Community involvement flag,Younger Canadians Volunteer Rate,CA,
14,Younger2,>=35,2018,iva250fiv,0.2673314709535057,20801.617530484808,0.2564322542880817,0.2782306876189296,13458,Community involvement flag,Younger Canadians Volunteer Rate,CA,
15,Younger,15 à 24 ans,2018,fv1fvol,0.5281678426955378,47230.31867111764,0.4792754914966732,0.5770601938944024,757,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
16,Younger,25 à 34 ans,2018,fv1fvol,0.3858999182367859,42325.73221206658,0.3538868531592792,0.4179129833142925,1624,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
17,Younger,>=35,2018,fv1fvol,0.4294988393838619,16483.678230282516,0.4156228418526386,0.4433748369150851,11755,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
18,Younger,15 à 24 ans,2018,iv1fiv,0.7230300795877864,32816.644145485145,0.6765251893182651,0.7695349698573077,757,Direct help flag,Younger Canadians Volunteer Rate,CA (without QC),
19,Younger,25 à 34 ans,2018,iv1fiv,0.7654963960025789,20316.767369801262,0.7350142282178465,0.7959785637873114,1624,Direct help flag,Younger Canadians Volunteer Rate,CA (without QC),
20,Younger,>=35,2018,iv1fiv,0.6977222392247955,9051.728164891896,0.6853439062773853,0.7101005721722057,11755,Direct help flag,Younger Canadians Volunteer Rate,CA (without QC),
21,Younger,15 à 24 ans,2018,iva250fiv,0.2919033774810655,76304.01121404713,0.2482483184338427,0.3355584365282884,757,Community involvement flag,Younger Canadians Volunteer Rate,CA (without QC),
22,Younger,25 à 34 ans,2018,iva250fiv,0.3245072684216203,53107.4854322674,0.2907297096440769,0.3582848271991636,1624,Community involvement flag,Younger Canadians Volunteer Rate,CA (without QC),
23,Younger,>=35,2018,iva250fiv,0.2891511172897532,21274.87906898838,0.2770940949405547,0.3012081396389516,11755,Community involvement flag,Younger Canadians Volunteer Rate,CA (without QC),
24,Younger2,15 à 34 ans,2018,fv1fvol,0.4519905987348634,32427.56588808941,0.4232634949661437,0.4807177025035832,2381,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
25,Younger2,>=35,2018,fv1fvol,0.4294988393838619,16483.678230282516,0.4156228418526386,0.4433748369150851,11755,Volunteer flag,Younger Canadians Volunteer Rate,CA (without QC),
26,Younger2,15 à 34 ans,2018,iv1fiv,0.7457686340296821,18016.11248529437,0.7194348487946384,0.7721024192647258,2381,Direct help flag,Younger Canadians Volunteer Rate,CA (without QC),
27,Younger2,>=35,2018,iv1fiv,0.6977222392247955,9051.728164891896,0.6853439062773853,0.7101005721722057,11755,Direct help flag,Younger Canadians Volunteer Rate,CA (without QC),
28,Younger2,15 à 34 ans,2018,iva250fiv,0.3093611042574617,42009.87050771234,0.2838889812595415,0.3348332272553819,2381,Community involvement flag,Younger Canadians Volunteer Rate,CA (without QC),
29,Younger2,>=35,2018,iva250fiv,0.2891511172897532,21274.87906898838,0.2770940949405547,0.3012081396389516,11755,Community involvement flag,Younger Canadians Volunteer Rate,CA (without QC),
30,Younger,15 à 24 ans,2018,fv1fvol,0.4900126549551036,145721.95950416804,0.3500602423074648,0.6299650676027424,74,Volunteer flag,Younger Canadians Volunteer Rate,AB,
31,Younger,25 à 34 ans,2018,fv1fvol,0.3594423358607168,105197.3482537528,0.285331431748938,0.4335532399724955,205,Volunteer flag,Younger Canadians Volunteer Rate,AB,
32,Younger,>=35,2018,fv1fvol,0.4798851228491934,38690.58181220434,0.4434944037216139,0.5162758419767728,1133,Volunteer flag,Younger Canadians Volunteer Rate,AB,
33,Younger,15 à 24 ans,2018,fv1fvol,0.4977592816417241,96215.12875422252,0.4038927386845079,0.5916258245989403,194,Volunteer flag,Younger Canadians Volunteer Rate,AT,
34,Younger,25 à 34 ans,2018,fv1fvol,0.3884772003241929,86916.09193513333,0.3222991730694806,0.4546552275789052,363,Volunteer flag,Younger Canadians Volunteer Rate,AT,
35,Younger,>=35,2018,fv1fvol,0.4434127584435678,22788.068742001604,0.4236082623383528,0.4632172545487827,3491,Volunteer flag,Younger Canadians Volunteer Rate,AT,
36,Younger,15 à 24 ans,2018,fv1fvol,0.4667204130747077,110213.11361578872,0.3659023942340035,0.5675384319154119,125,Volunteer flag,Younger Canadians Volunteer Rate,BC,
37,Younger,25 à 34 ans,2018,fv1fvol,0.3338079576921748,108270.28641173067,0.2629719523000555,0.4046439630842941,245,Volunteer flag,Younger Canadians Volunteer Rate,BC,
38,Younger,>=35,2018,fv1fvol,0.4577273742975814,35224.00060089342,0.4261268959321424,0.4893278526630204,1807,Volunteer flag,Younger Canadians Volunteer Rate,BC,
39,Younger,15 à 24 ans,2018,fv1fvol,0.5451546400609232,70974.08601602924,0.4693200030269665,0.6209892770948798,226,Volunteer flag,Younger Canadians Volunteer Rate,ON,
40,Younger,25 à 34 ans,2018,fv1fvol,0.3836299184421909,71864.41568057002,0.3295950051088405,0.4376648317755413,509,Volunteer flag,Younger Canadians Volunteer Rate,ON,
41,Younger,>=35,2018,fv1fvol,0.394414596589021,25621.5958908337,0.3746081189861725,0.4142210741918696,3611,Volunteer flag,Younger Canadians Volunteer Rate,ON,
42,Younger,15 à 24 ans,2018,fv1fvol,0.6312261671747249,74115.72501356933,0.5395316334599858,0.722920700889464,138,Volunteer flag,Younger Canadians Volunteer Rate,PR,
43,Younger,25 à 34 ans,2018,fv1fvol,0.5412556175612883,62259.60149940595,0.4752080474681751,0.6073031876544015,302,Volunteer flag,Younger Canadians Volunteer Rate,PR,
44,Younger,>=35,2018,fv1fvol,0.4812290566198762,32026.320565212915,0.4510220994660998,0.5114360137736526,1713,Volunteer flag,Younger Canadians Volunteer Rate,PR,
45,Younger,15 à 24 ans,2018,fv1fvol,0.5040283577624358,134106.5143519378,0.3715475592325891,0.6365091562922826,88,Volunteer flag,Younger Canadians Volunteer Rate,QC,
46,Younger,25 à 34 ans,2018,fv1fvol,0.3009866826671269,111859.0690266936,0.2349984386182256,0.3669749267160282,222,Volunteer flag,Younger Canadians Volunteer Rate,QC,
47,Younger,>=35,2018,fv1fvol,0.2974381118902853,41313.6138110107,0.2733535976138889,0.3215226261666818,1703,Volunteer flag,Younger Canadians Volunteer Rate,QC,
