geoAbb,busGroup,busChar,item2,valNorm,status
CA,Emploi,< 5 employés,Recherche de nouveaux donateurs,0.687,C
CA,Emploi,< 5 employés,Conservation des donateurs,0.51,C
CA,Emploi,< 5 employés,Sommes versées par les donateurs pas aussi élevées qu'avant,0.585,C
CA,Emploi,< 5 employés,Manque de temps ou de ressources,0.271,C
CA,Emploi,< 5 employés,Autre,0.04,A
CA,Emploi,< 5 employés,Aucun,0.159,C
CA,Emploi,5 < 20 employés,Recherche de nouveaux donateurs,0.67,C
CA,Emploi,5 < 20 employés,Conservation des donateurs,0.46,C
CA,Emploi,5 < 20 employés,Sommes versées par les donateurs pas aussi élevées qu'avant,0.634,B
CA,Emploi,5 < 20 employés,Manque de temps ou de ressources,0.569,C
CA,Emploi,5 < 20 employés,Autre,0.038,A
CA,Emploi,5 < 20 employés,Aucun,0.11599999999999999,B
CA,Emploi,20 < 100 employés,Recherche de nouveaux donateurs,0.7190000000000001,C
CA,Emploi,20 < 100 employés,Conservation des donateurs,0.455,C
CA,Emploi,20 < 100 employés,Sommes versées par les donateurs pas aussi élevées qu'avant,0.563,C
CA,Emploi,20 < 100 employés,Manque de temps ou de ressources,0.526,C
CA,Emploi,20 < 100 employés,Autre,0.019,A
CA,Emploi,20 < 100 employés,Aucun,0.151,B
CA,Emploi,>= 100 employés,Recherche de nouveaux donateurs,0.828,B
CA,Emploi,>= 100 employés,Conservation des donateurs,0.667,C
CA,Emploi,>= 100 employés,Sommes versées par les donateurs pas aussi élevées qu'avant,0.611,C
CA,Emploi,>= 100 employés,Manque de temps ou de ressources,0.5539999999999999,C
CA,Emploi,>= 100 employés,Autre,0.073,B
CA,Emploi,>= 100 employés,Aucun,0.095,A
CA,Âge de l'entreprise,<= 2 ans,Recherche de nouveaux donateurs,0.84,E
CA,Âge de l'entreprise,<= 2 ans,Autre,0,A
CA,Âge de l'entreprise,<= 2 ans,Aucun,0.16,E
CA,Âge de l'entreprise,De 3 à 10 ans,Recherche de nouveaux donateurs,0.8220000000000001,C
CA,Âge de l'entreprise,De 3 à 10 ans,Conservation des donateurs,0.255,D
CA,Âge de l'entreprise,De 3 à 10 ans,Sommes versées par les donateurs pas aussi élevées qu'avant,0.523,E
CA,Âge de l'entreprise,De 3 à 10 ans,Manque de temps ou de ressources,0.506,E
CA,Âge de l'entreprise,De 3 à 10 ans,Autre,0.039,A
CA,Âge de l'entreprise,De 3 à 10 ans,Aucun,0.075,B
CA,Âge de l'entreprise,De 11 à 20 ans,Recherche de nouveaux donateurs,0.722,D
CA,Âge de l'entreprise,De 11 à 20 ans,Conservation des donateurs,0.6709999999999999,D
CA,Âge de l'entreprise,De 11 à 20 ans,Sommes versées par les donateurs pas aussi élevées qu'avant,0.616,D
CA,Âge de l'entreprise,De 11 à 20 ans,Manque de temps ou de ressources,0.521,D
CA,Âge de l'entreprise,De 11 à 20 ans,Autre,0.073,B
CA,Âge de l'entreprise,De 11 à 20 ans,Aucun,0.091,B
CA,Âge de l'entreprise,> 20 ans,Recherche de nouveaux donateurs,0.6729999999999999,B
CA,Âge de l'entreprise,> 20 ans,Conservation des donateurs,0.486,B
CA,Âge de l'entreprise,> 20 ans,Sommes versées par les donateurs pas aussi élevées qu'avant,0.605,B
CA,Âge de l'entreprise,> 20 ans,Manque de temps ou de ressources,0.401,B
CA,Âge de l'entreprise,> 20 ans,Autre,0.032,A
CA,Âge de l'entreprise,> 20 ans,Aucun,0.153,B
CA,Lieu,Milieu urbain,Recherche de nouveaux donateurs,0.73,B
CA,Lieu,Milieu urbain,Conservation des donateurs,0.5,B
CA,Lieu,Milieu urbain,Sommes versées par les donateurs pas aussi élevées qu'avant,0.609,B
CA,Lieu,Milieu urbain,Manque de temps ou de ressources,0.44299999999999995,B
CA,Lieu,Milieu urbain,Autre,0.034,A
CA,Lieu,Milieu urbain,Aucun,0.128,B
CA,Lieu,Milieu rural,Recherche de nouveaux donateurs,0.544,D
CA,Lieu,Milieu rural,Conservation des donateurs,0.444,D
CA,Lieu,Milieu rural,Sommes versées par les donateurs pas aussi élevées qu'avant,0.5670000000000001,D
CA,Lieu,Milieu rural,Manque de temps ou de ressources,0.345,D
CA,Lieu,Milieu rural,Autre,0.047,A
CA,Lieu,Milieu rural,Aucun,0.188,D
NL,Emploi,< 5 employés,Recherche de nouveaux donateurs,0.268,E
NL,Emploi,< 5 employés,Conservation des donateurs,0.142,D
NL,Emploi,< 5 employés,Sommes versées par les donateurs pas aussi élevées qu'avant,0.526,E
NL,Emploi,< 5 employés,Manque de temps ou de ressources,0.235,E
NL,Emploi,< 5 employés,Autre,0,A
NL,Emploi,5 < 20 employés,Recherche de nouveaux donateurs,0.742,E
NL,Emploi,5 < 20 employés,Conservation des donateurs,0.623,E
NL,Emploi,5 < 20 employés,Sommes versées par les donateurs pas aussi élevées qu'avant,0.825,D
NL,Emploi,5 < 20 employés,Manque de temps ou de ressources,0.607,E
NL,Emploi,5 < 20 employés,Autre,0.048,B
NL,Emploi,5 < 20 employés,Aucun,0.036000000000000004,B
NL,Emploi,20 < 100 employés,Manque de temps ou de ressources,0.152,E
NL,Emploi,20 < 100 employés,Autre,0,A
NL,Emploi,20 < 100 employés,Aucun,0.08,C
NL,Emploi,>= 100 employés,Autre,0.11699999999999999,C
NL,Emploi,>= 100 employés,Aucun,0.20800000000000002,E
NL,Âge de l'entreprise,De 3 à 10 ans,Recherche de nouveaux donateurs,0.05,C
NL,Âge de l'entreprise,De 3 à 10 ans,Conservation des donateurs,0.05,C
NL,Âge de l'entreprise,De 3 à 10 ans,Manque de temps ou de ressources,0.05,C
NL,Âge de l'entreprise,De 3 à 10 ans,Autre,0,A
NL,Âge de l'entreprise,De 11 à 20 ans,Recherche de nouveaux donateurs,0.87,D
NL,Âge de l'entreprise,De 11 à 20 ans,Sommes versées par les donateurs pas aussi élevées qu'avant,0.87,D
NL,Âge de l'entreprise,De 11 à 20 ans,Autre,0.132,E
NL,Âge de l'entreprise,De 11 à 20 ans,Aucun,0.036000000000000004,A
NL,Âge de l'entreprise,> 20 ans,Recherche de nouveaux donateurs,0.491,E
NL,Âge de l'entreprise,> 20 ans,Conservation des donateurs,0.371,E
NL,Âge de l'entreprise,> 20 ans,Sommes versées par les donateurs pas aussi élevées qu'avant,0.68,D
NL,Âge de l'entreprise,> 20 ans,Manque de temps ou de ressources,0.387,E
NL,Âge de l'entreprise,> 20 ans,Autre,0.002,A
NL,Âge de l'entreprise,> 20 ans,Aucun,0.136,C
NL,Lieu,Milieu urbain,Recherche de nouveaux donateurs,0.6409999999999999,E
NL,Lieu,Milieu urbain,Conservation des donateurs,0.49700000000000005,E
NL,Lieu,Milieu urbain,Sommes versées par les donateurs pas aussi élevées qu'avant,0.8270000000000001,C
NL,Lieu,Milieu urbain,Manque de temps ou de ressources,0.456,E
NL,Lieu,Milieu urbain,Autre,0.037000000000000005,B
NL,Lieu,Milieu urbain,Aucun,0.06,B
NL,Lieu,Milieu rural,Recherche de nouveaux donateurs,0.272,E
NL,Lieu,Milieu rural,Conservation des donateurs,0.16699999999999998,E
