geoAbb,busGroup,busChar,item2,valNorm,status
CA,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.375,C
PE,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.344,E
NS,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.311,E
NB,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.502,E
QC,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.292,E
MB,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.584,E
SK,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.618,E
BC,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.284,E
NT,Emploi,< 5 employés,Dépendance accrue aux bénévoles,0.76,E
CA,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.419,C
PE,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.53,E
QC,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.266,E
ON,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.479,E
SK,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.33799999999999997,D
AB,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.262,E
BC,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.583,E
YT,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0,A
NT,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0.1,D
NU,Emploi,5 < 20 employés,Dépendance accrue aux bénévoles,0,A
CA,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.285,C
NS,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.5,E
NB,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.114,C
QC,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.193,E
ON,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.289,E
SK,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.22899999999999998,E
AB,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0.43200000000000005,E
YT,Emploi,20 < 100 employés,Dépendance accrue aux bénévoles,0,A
