refDate,geo,valNormP_coreEmp_All,valNormP_govtEmp_All,valNormP_coreEmp_Sports,valNormP_coreEmp_Education,valNormP_govtEmp_Education,valNormP_coreEmp_Health,valNormP_govtEmp_Health,valNormP_coreEmp_SocServ,valNormP_govtEmp_SocServ,valNormP_coreEmp_Environment,valNormP_coreEmp_DevtHousing,valNormP_coreEmp_Advocacy,valNormP_coreEmp_Fdns,valNormP_coreEmp_International,valNormP_coreEmp_Religion,valNormP_coreEmp_ProfAssoc,valNormP_coreEmp_Other,valNorm_coreEmp_All,valNorm_govtEmp_All,valNorm_coreEmp_Sports,valNorm_coreEmp_Education,valNorm_govtEmp_Education,valNorm_coreEmp_Health,valNorm_govtEmp_Health,valNorm_coreEmp_SocServ,valNorm_govtEmp_SocServ,valNorm_coreEmp_Environment,valNorm_coreEmp_DevtHousing,valNorm_coreEmp_Advocacy,valNorm_coreEmp_Fdns,valNorm_coreEmp_International,valNorm_coreEmp_Religion,valNorm_coreEmp_ProfAssoc,valNorm_coreEmp_Other
2007-01-01,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,659000,1414000,63000,63000,415000,29000,885000,142000,115000,1000,18000,10000,25000,5000,77000,160000,64000
2007-01-01,NL,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,7000,31000,1000,NA,9000,NA,20000,1000,3000,NA,NA,NA,NA,NA,1000,2000,1000
2007-01-01,PE,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3000,7000,NA,NA,2000,NA,5000,NA,1000,NA,NA,NA,NA,NA,NA,1000,NA
2007-01-01,NS,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,18000,48000,2000,1000,14000,2000,29000,4000,4000,NA,NA,NA,1000,NA,2000,5000,1000
2007-01-01,NB,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,12000,29000,1000,NA,8000,1000,18000,2000,2000,NA,NA,NA,NA,NA,2000,3000,1000
2007-01-01,QC,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,162000,381000,16000,19000,92000,3000,256000,44000,33000,NA,4000,2000,6000,1000,14000,38000,14000
2007-01-01,ON,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,261000,453000,23000,22000,165000,18000,255000,50000,33000,NA,6000,4000,10000,2000,31000,64000,30000
2007-01-01,MB,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,28000,68000,3000,2000,13000,1000,49000,9000,6000,NA,1000,NA,1000,NA,3000,5000,2000
2007-01-01,SK,1,1,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,17000,57000,2000,1000,14000,NA,38000,4000,5000,NA,NA,NA,1000,NA,3000,4000,2000
2007-01-01,AB,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,63000,165000,7000,5000,44000,2000,106000,12000,13000,NA,2000,1000,3000,NA,8000,17000,6000
2007-01-01,BC,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,85000,173000,9000,11000,54000,3000,106000,17000,13000,NA,3000,1000,3000,1000,11000,20000,6000
2007-01-01,YT,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-01,NT,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-01,NU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01,CA,1.0212443095599393,1.0155586987270155,1,1.0317460317460319,1.0096385542168675,1.0344827586206897,1.0180790960451978,1.0211267605633803,1.017391304347826,1,1.0555555555555556,1,1.04,1,1,1.0375,1.03125,673000,1436000,63000,65000,419000,30000,901000,145000,117000,1000,19000,10000,26000,5000,77000,166000,66000
2008-01-01,NL,1,1.032258064516129,1,NA,1.1111111111111112,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,7000,32000,1000,NA,10000,NA,20000,1000,3000,NA,NA,NA,NA,NA,1000,2000,NA
2008-01-01,PE,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3000,7000,NA,NA,2000,NA,5000,NA,1000,NA,NA,NA,NA,NA,NA,1000,NA
2008-01-01,NS,1,1.0208333333333333,0.5,1,1.0714285714285714,1,1,1,1,NA,NA,NA,1,NA,1,1,1,18000,49000,1000,1000,15000,2000,29000,4000,4000,NA,NA,NA,1000,NA,2000,5000,1000
2008-01-01,NB,1,1,1,NA,1,1,1.0555555555555556,1,1.5,NA,NA,NA,NA,NA,1,1,1,12000,29000,1000,NA,8000,1000,19000,2000,3000,NA,NA,NA,NA,NA,2000,3000,1000
2008-01-01,QC,1.0123456790123457,0.994750656167979,0.9375,1,1.0108695652173914,1,0.98828125,1,1,NA,1,1,1,1,0.9285714285714286,1.0263157894736843,1.0714285714285714,164000,379000,15000,19000,93000,3000,253000,44000,33000,NA,4000,2000,6000,1000,13000,39000,15000
2008-01-01,ON,1.0191570881226053,1.0088300220750552,1,1.0454545454545454,0.9878787878787879,1,1.0196078431372548,1.02,1,NA,1,1,1,1,1,1.03125,1.0333333333333334,266000,457000,23000,23000,163000,18000,260000,51000,33000,NA,6000,4000,10000,2000,31000,66000,31000
2008-01-01,MB,1.0357142857142858,1.0294117647058822,1,1.5,1,1,1.0204081632653061,1,1.1666666666666667,NA,1,NA,1,NA,1,1,1.5,29000,70000,3000,3000,13000,1000,50000,9000,7000,NA,1000,NA,1000,NA,3000,5000,3000
2008-01-01,SK,1.0588235294117647,1.0175438596491229,1,1,1,NA,1.0263157894736843,1,1.2,NA,NA,NA,1,NA,1,1,1,18000,58000,2000,1000,14000,NA,39000,4000,6000,NA,NA,NA,1000,NA,3000,4000,2000
2008-01-01,AB,1.0317460317460319,1.0484848484848486,1.1428571428571428,1.2,1,1,1.0754716981132075,1,1.0769230769230769,NA,1,1,1,NA,1,1,1,65000,173000,8000,6000,44000,2000,114000,12000,14000,NA,2000,1000,3000,NA,8000,17000,6000
2008-01-01,BC,1.035294117647059,1.0404624277456647,1,1,1.0555555555555556,1,1.028301886792453,1,1.0769230769230769,NA,1.3333333333333333,1,1,1,1,1.1,1.1666666666666667,88000,180000,9000,11000,57000,3000,109000,17000,14000,NA,4000,1000,3000,1000,11000,22000,7000
2008-01-01,YT,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01,NT,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01,NU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,CA,1.0257966616084977,1.0268741159830268,1,1.0476190476190477,1.0144578313253012,1,1.0293785310734462,1.0352112676056338,1.0347826086956522,1,1.0555555555555556,1,1.04,1,0.974025974025974,1.04375,1.078125,676000,1452000,63000,66000,421000,29000,911000,147000,119000,1000,19000,10000,26000,5000,75000,167000,69000
2009-01-01,NL,1,1.096774193548387,1,NA,1.1111111111111112,NA,1.05,1,1,NA,NA,NA,NA,NA,1,1,1,7000,34000,1000,NA,10000,NA,21000,1000,3000,NA,NA,NA,NA,NA,1000,2000,1000
2009-01-01,PE,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3000,7000,NA,NA,2000,NA,5000,NA,1000,NA,NA,NA,NA,NA,NA,1000,NA
2009-01-01,NS,1,1.0416666666666667,0.5,1,1.0714285714285714,1,1.0689655172413792,0.75,1,NA,NA,NA,1,NA,1,1,1,18000,50000,1000,1000,15000,2000,31000,3000,4000,NA,NA,NA,1000,NA,2000,5000,1000
2009-01-01,NB,1,1.0344827586206897,1,NA,1,1,1.0555555555555556,1,1,NA,NA,NA,NA,NA,1,1,1,12000,30000,1000,NA,8000,1000,19000,2000,2000,NA,NA,NA,NA,NA,2000,3000,1000
2009-01-01,QC,1.0432098765432098,1.0026246719160106,0.9375,1,1,1,1.00390625,1.0454545454545454,1,NA,1,1,1,1,0.9285714285714286,1.0789473684210527,1.2857142857142858,169000,382000,15000,19000,92000,3000,257000,46000,33000,NA,4000,2000,6000,1000,13000,41000,18000
2009-01-01,ON,0.9885057471264368,1,0.9130434782608695,1.0454545454545454,0.9939393939393939,0.9444444444444444,1.003921568627451,1.06,1,NA,1.1666666666666667,1,1,1,0.9354838709677419,1.015625,0.8666666666666667,258000,453000,21000,23000,164000,17000,256000,53000,33000,NA,7000,4000,10000,2000,29000,65000,26000
