geoAbb,seriesDate,dateLabel,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
CA,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.163,0.262,0.179,0.094,C,A,B,B
NL,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.031,0.222,0.16899999999999998,0.223,B,A,C,E
PE,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.168,0.309,0.071,0,E,B,B,A
NS,2021,2021 Q1,Augmentation des coûts liés aux intrants,0,0.26,0.11599999999999999,NA,A,A,C,NA
NB,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.015,0.25,0.091,0.289,A,A,B,E
QC,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.18100000000000002,0.223,0.11699999999999999,0.071,E,A,C,B
ON,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.09699999999999999,0.259,0.235,0.065,E,A,D,C
MB,2021,2021 Q1,Augmentation des coûts liés aux intrants,NA,0.332,0.11699999999999999,0.08199999999999999,NA,A,C,C
SK,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.031,0.377,0.23,0.139,B,A,C,D
AB,2021,2021 Q1,Augmentation des coûts liés aux intrants,NA,0.284,0.07200000000000001,0.24600000000000002,NA,A,B,E
BC,2021,2021 Q1,Augmentation des coûts liés aux intrants,NA,0.264,0.249,0,NA,A,D,A
YT,2021,2021 Q1,Augmentation des coûts liés aux intrants,0,0.136,0.063,0.039,A,B,C,B
NT,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.099,0.187,0.109,0.193,E,B,C,E
NU,2021,2021 Q1,Augmentation des coûts liés aux intrants,0.077,0.19699999999999998,0,0,D,B,A,A
CA,2021,2021 Q1,Coûts liés à l'assurance,0.11,0.203,0.20800000000000002,0.064,C,A,B,A
NL,2021,2021 Q1,Coûts liés à l'assurance,0,0.23399999999999999,0.413,0.126,A,A,D,C
PE,2021,2021 Q1,Coûts liés à l'assurance,0.188,0.147,0.022000000000000002,0.022000000000000002,E,A,A,A
NS,2021,2021 Q1,Coûts liés à l'assurance,NA,0.247,0.22399999999999998,NA,NA,A,C,NA
NB,2021,2021 Q1,Coûts liés à l'assurance,0,0.22399999999999998,0.127,0.069,A,A,C,B
QC,2021,2021 Q1,Coûts liés à l'assurance,0.141,0.141,0.105,0.006999999999999999,E,A,C,A
ON,2021,2021 Q1,Coûts liés à l'assurance,0.021,0.21100000000000002,0.287,0.095,A,A,D,C
MB,2021,2021 Q1,Coûts liés à l'assurance,0.046,0.198,0.152,0.039,C,A,C,B
SK,2021,2021 Q1,Coûts liés à l'assurance,0,0.166,0.179,0.045,A,A,C,B
AB,2021,2021 Q1,Coûts liés à l'assurance,NA,0.259,0.12,0.18600000000000003,NA,A,C,E
BC,2021,2021 Q1,Coûts liés à l'assurance,0.004,0.213,0.256,0.025,A,A,D,A
YT,2021,2021 Q1,Coûts liés à l'assurance,0,0.195,0.096,0.039,A,B,C,B
NT,2021,2021 Q1,Coûts liés à l'assurance,0,0.147,0.22699999999999998,0,A,B,D,A
NU,2021,2021 Q1,Coûts liés à l'assurance,0,0.166,0.025,0,A,B,A,A
CA,2021,2021 Q1,Pénurie de main-d'œuvre,0.425,0.195,0.209,0.044000000000000004,E,A,B,A
NL,2021,2021 Q1,Pénurie de main-d'œuvre,0.049,0.15,0.17800000000000002,0.02,C,A,C,A
PE,2021,2021 Q1,Pénurie de main-d'œuvre,0.094,0.249,0.099,0.33299999999999996,C,B,B,E
NS,2021,2021 Q1,Pénurie de main-d'œuvre,0,0.185,0.205,NA,A,A,C,NA
NB,2021,2021 Q1,Pénurie de main-d'œuvre,0.075,0.187,0.085,0.055,C,A,B,B
QC,2021,2021 Q1,Pénurie de main-d'œuvre,NA,0.354,0.166,0.021,NA,A,C,A
ON,2021,2021 Q1,Pénurie de main-d'œuvre,NA,0.139,0.299,0.016,NA,A,D,A
