geo,refDate,CommNPOs,GovNPOs,BusNPOs,TotNPOs,TotEcon
CA,2009-01-01,1,1,1,1,1
NL,2009-01-01,1,1,1,1,1
PE,2009-01-01,1,1,1,1,1
NS,2009-01-01,1,1,1,1,1
NB,2009-01-01,1,1,1,1,1
QC,2009-01-01,1,1,1,1,1
ON,2009-01-01,1,1,1,1,1
MB,2009-01-01,1,1,1,1,1
SK,2009-01-01,1,1,1,1,1
AB,2009-01-01,1,1,1,1,1
BC,2009-01-01,1,1,1,1,1
YT,2009-01-01,1,1,1,1,1
NT,2009-01-01,1,1,1,1,1
NU,2009-01-01,1,1,1,1,1
CA,2010-01-01,1.0350806855768266,1.02880658436214,1.0232848232848233,1.0292841824798544,1.0602761729842287
NL,2010-01-01,1.1071428571428572,1.0491551459293396,1.0232558139534884,1.052132701421801,1.1632563344257054
PE,2010-01-01,1.0517241379310345,1.0810810810810811,1.0238095238095237,1.0683229813664596,1.0595503342110593
NS,2010-01-01,1.0319148936170213,1.048637461193515,1.0261194029850746,1.0448171569975255,1.0547350378517355
NB,2010-01-01,1.0513698630136987,1.0234445446348062,1.0225563909774436,1.0262968299711817,1.0468631112955662
QC,2010-01-01,1.043574922187639,1.0220319370516084,1.0233553912028026,1.0255310243800355,1.043065855359067
ON,2010-01-01,1.024083129584352,1.0295307954976602,1.023291249455812,1.0278816269537407,1.0553280503106826
MB,2010-01-01,1.063625450180072,1.0480742966402623,1.0233766233766233,1.048780487804878,1.0492792952234873
SK,2010-01-01,1.0541082164328657,1.0443548387096775,1.0258064516129033,1.0441485634197618,1.0546434452817006
AB,2010-01-01,1.0548961424332344,1.0338983050847457,1.0235690235690236,1.035704769517719,1.0990876290966185
BC,2010-01-01,1.0193548387096774,1.014736297828335,1.0231556273559506,1.0164912928435172,1.0444598065385333
YT,2010-01-01,1.0909090909090908,1.0952380952380953,1,1.0833333333333333,1.082826392138512
NT,2010-01-01,1.0681818181818181,1.049792531120332,1.0232558139534884,1.048780487804878,1.2012468827930174
NU,2010-01-01,1.0256410256410255,0.9814814814814815,1,1,1.2451235370611184
CA,2011-01-01,1.0904580535231032,1.081920438957476,1.1204989604989606,1.0870727190018197,1.1290171281217105
NL,2011-01-01,1.1479591836734695,1.1228878648233487,1.0930232558139534,1.1227919000430848,1.3412996563024537
PE,2011-01-01,1.1206896551724137,2.18018018018018,1.1428571428571428,1.8540372670807452,1.1002633178043346
NS,2011-01-01,1.0680851063829788,1.0910658847878578,0.9514925373134329,1.0778113830079736,1.0778745893443793
NB,2011-01-01,1.0787671232876712,1.0779981965734897,1.1541353383458646,1.0853746397694524,1.0915473473058035
QC,2011-01-01,1.0973766118274788,1.0726683638046748,1.0891397430906968,1.0780579679815843,1.0957818343157761
ON,2011-01-01,1.098044009779951,1.0720247881623877,1.128210709621245,1.0826539345074546,1.103446662690198
MB,2011-01-01,1.127250900360144,1.092051352089593,1.1974025974025975,1.1063742570198811,1.106168760938391
SK,2011-01-01,1.1062124248496994,1.1581221198156681,1.1064516129032258,1.1480962391964493,1.245171914766206
AB,2011-01-01,1.1137487636003955,1.101347240330291,1.131986531986532,1.1060484945377032,1.2190259637248162
BC,2011-01-01,1.0254480286738352,1.051361599448466,1.1464728056004307,1.0577810596270998,1.1039060647192689
YT,2011-01-01,1.1818181818181819,1.1428571428571428,1.0833333333333333,1.1481481481481481,1.1675245671502106
NT,2011-01-01,1.1136363636363635,1.0829875518672198,0.9302325581395349,1.0701219512195121,1.1805486284289277
NU,2011-01-01,1.0769230769230769,1.0185185185185186,1.2272727272727273,1.0782608695652174,1.3237971391417425
CA,2012-01-01,1.1441816177207578,1.1242139917695473,1.1741372141372142,1.1323271380296336,1.162834254206935
NL,2012-01-01,1.2142857142857142,1.1397849462365592,1.186046511627907,1.149504523912107,1.281392374710255
PE,2012-01-01,1.1551724137931034,2.27027027027027,1.0714285714285714,1.9130434782608696,1.1314563500101276
NS,2012-01-01,1.1148936170212767,1.1310796826491893,1.1455223880597014,1.13005224085785,1.0836451935437794
NB,2012-01-01,1.11986301369863,1.1050495942290353,1.2706766917293233,1.1221181556195965,1.0997094832952894
QC,2012-01-01,1.1445086705202312,1.111085396898866,1.1335149863760219,1.1183774545708207,1.125857260569183
ON,2012-01-01,1.145721271393643,1.112242316934362,1.1582498911623857,1.1231926489797757,1.1374554944605118
MB,2012-01-01,1.1788715486194479,1.140398798142584,1.1766233766233767,1.1500307440049191,1.1768823864865396
SK,2012-01-01,1.1743486973947896,1.1661866359447004,1.0612903225806452,1.1595421630460172,1.2975697390089327
AB,2012-01-01,1.2047477744807122,1.1800956106040852,1.27003367003367,1.192312816413536,1.2719784577962359
BC,2012-01-01,1.0795698924731183,1.0855739400206825,1.2067851373182552,1.09845547966279,1.1269004284005872
YT,2012-01-01,1.2727272727272727,1.2222222222222223,0.9166666666666666,1.2037037037037037,1.1970051474029013
NT,2012-01-01,1.1363636363636365,1.116182572614108,0.9069767441860465,1.0914634146341464,1.0957605985037406
NU,2012-01-01,1.1538461538461537,1.0555555555555556,1.4545454545454546,1.1652173913043478,1.4304291287386215
