,Unnamed: 0,geo,subSector,coreStatus,valNorm,valNormP,label,label_FR
0,0,CA,Organismes communautaires à but non lucratif,Sous-secteur de base,31338000000,0.1565514519650110,$31.3B,31.3 G$
1,1,CA,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,149595000000,0.7473136274397160,$149.6B,149.6 G$
2,2,CA,Institutions commerciales à but non lucratif,Sous-secteur de base,19244000000,0.0961349205952731,$19.2B,19.2 G$
3,3,NL,Organismes communautaires à but non lucratif,Sous-secteur de base,284000000,0.0815623205054566,$284.0M,284.0 M$
4,4,NL,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,2914000000,0.8368753589890870,$2.9B,2.9 G$
5,5,NL,Institutions commerciales à but non lucratif,Sous-secteur de base,284000000,0.0815623205054566,$284.0M,284.0 M$
6,6,PE,Organismes communautaires à but non lucratif,Sous-secteur de base,94000000,0.1116389548693590,$94.0M,94.0 M$
7,7,PE,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,694000000,0.8242280285035630,$694.0M,694.0 M$
8,8,PE,Institutions commerciales à but non lucratif,Sous-secteur de base,54000000,0.0641330166270783,$54.0M,54.0 M$
9,9,NS,Organismes communautaires à but non lucratif,Sous-secteur de base,709000000,0.125,$709.0M,709.0 M$
10,10,NS,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,4498000000,0.7930183356840620,$4.5B,4.5 G$
11,11,NS,Institutions commerciales à but non lucratif,Sous-secteur de base,465000000,0.0819816643159379,$465.0M,465.0 M$
12,12,NB,Organismes communautaires à but non lucratif,Sous-secteur de base,437000000,0.1106049101493290,$437.0M,437.0 M$
13,13,NB,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,3090000000,0.7820804859529230,$3.1B,3.1 G$
14,14,NB,Institutions commerciales à but non lucratif,Sous-secteur de base,424000000,0.1073146038977470,$424.0M,424.0 M$
15,15,QC,Organismes communautaires à but non lucratif,Sous-secteur de base,6769000000,0.1396361085898180,$6.8B,6.8 G$
16,16,QC,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,37538000000,0.7743625711692380,$37.5B,37.5 G$
17,17,QC,Institutions commerciales à but non lucratif,Sous-secteur de base,4169000000,0.0860013202409439,$4.2B,4.2 G$
18,18,ON,Organismes communautaires à but non lucratif,Sous-secteur de base,13124000000,0.1853803234691720,$13.1B,13.1 G$
19,19,ON,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,50457000000,0.7127198248463870,$50.5B,50.5 G$
20,20,ON,Institutions commerciales à but non lucratif,Sous-secteur de base,7214000000,0.1018998516844410,$7.2B,7.2 G$
21,21,MB,Organismes communautaires à but non lucratif,Sous-secteur de base,1293000000,0.168798955613577,$1.3B,1.3 G$
22,22,MB,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,5832000000,0.7613577023498690,$5.8B,5.8 G$
23,23,MB,Institutions commerciales à but non lucratif,Sous-secteur de base,535000000,0.0698433420365535,$535.0M,535.0 M$
24,24,SK,Organismes communautaires à but non lucratif,Sous-secteur de base,861000000,0.1246561459389030,$861.0M,861.0 M$
25,25,SK,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,5613000000,0.8126538294483860,$5.6B,5.6 G$
26,26,SK,Institutions commerciales à but non lucratif,Sous-secteur de base,433000000,0.0626900246127117,$433.0M,433.0 M$
27,27,AB,Organismes communautaires à but non lucratif,Sous-secteur de base,3180000000,0.1351753453772580,$3.2B,3.2 G$
28,28,AB,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,18113000000,0.7699468650371950,$18.1B,18.1 G$
29,29,AB,Institutions commerciales à but non lucratif,Sous-secteur de base,2232000000,0.0948777895855473,$2.2B,2.2 G$
30,30,BC,Organismes communautaires à but non lucratif,Sous-secteur de base,4385000000,0.1564841909927910,$4.4B,4.4 G$
31,31,BC,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,20311000000,0.7248233530797230,$20.3B,20.3 G$
32,32,BC,Institutions commerciales à but non lucratif,Sous-secteur de base,3326000000,0.1186924559274860,$3.3B,3.3 G$
33,33,YT,Organismes communautaires à but non lucratif,Sous-secteur de base,59000000,0.3025641025641030,$59.0M,59.0 M$
34,34,YT,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,120000000,0.6153846153846150,$120.0M,120.0 M$
35,35,YT,Institutions commerciales à but non lucratif,Sous-secteur de base,16000000,0.082051282051282,$16.0M,16.0 M$
36,36,NT,Organismes communautaires à but non lucratif,Sous-secteur de base,72000000,0.1431411530815110,$72.0M,72.0 M$
37,37,NT,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,370000000,0.73558648111332,$370.0M,370.0 M$
38,38,NT,Institutions commerciales à but non lucratif,Sous-secteur de base,61000000,0.1212723658051690,$61.0M,61.0 M$
39,39,NU,Organismes communautaires à but non lucratif,Sous-secteur de base,71000000,0.4797297297297300,$71.0M,71.0 M$
40,40,NU,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,45000000,0.304054054054054,$45.0M,45.0 M$
41,41,NU,Institutions commerciales à but non lucratif,Sous-secteur de base,32000000,0.2162162162162160,$32.0M,32.0 M$
42,42,INT,Organismes communautaires à but non lucratif,Sous-secteur de base,0,,,
43,43,INT,Institutions gouvernementales à but non lucratif,Gouvernement sub-sector,0,,,
44,44,INT,Institutions commerciales à but non lucratif,Sous-secteur de base,0,,,
