geoAbb,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
CA,Aucun,0.115,0.148,0.286,0.165,C,A,B,B
CA,Faible,0.18,0.166,0.257,0.375,D,A,B,D
CA,Moyen,0.193,0.272,0.252,0.295,D,A,B,C
CA,Élevé,0.249,0.302,0.09,0.079,E,A,A,B
CA,Inconnu,0.263,0.112,0.114,0.086,D,A,A,A
NL,Aucun,NA,0.16,0.384,NA,NA,A,C,NA
NL,Faible,0.127,0.181,0.253,NA,E,A,C,NA
NL,Moyen,NA,0.267,0.25,0.235,NA,A,C,E
NL,Élevé,0.177,0.248,0.08,0.035,D,A,B,A
NL,Inconnu,0.055,0.144,0.034,0.087,B,A,A,C
PE,Aucun,0.475,0.161,0.222,0.17,E,B,B,C
PE,Faible,0.177,0.163,0.266,0.485,C,A,C,E
PE,Moyen,0.144,0.301,0.242,0.292,C,B,C,E
PE,Élevé,0.16,0.296,0.092,0.053,E,B,B,B
PE,Inconnu,0.043,0.079,0.177,0,B,A,C,A
NS,Aucun,0.148,0.157,0.224,0.052,D,A,C,B
NS,Faible,NA,0.154,0.483,0.19,NA,A,C,D
NS,Moyen,0.263,0.325,0.2,NA,E,A,C,NA
NS,Élevé,0.051,0.271,0.021,0.019,B,A,A,A
NS,Inconnu,0.168,0.093,0.073,0.115,E,A,B,D
NB,Aucun,NA,0.151,0.449,0.166,NA,A,C,D
NB,Faible,NA,0.185,0.227,0.252,NA,A,C,E
NB,Moyen,0,0.309,0.154,0.079,A,A,B,B
NB,Élevé,0,0.241,0.096,0.01,A,A,C,A
NB,Inconnu,0.145,0.114,0.074,NA,E,A,B,NA
QC,Aucun,NA,0.182,0.336,0.185,NA,A,C,D
QC,Faible,NA,0.181,0.244,0.564,NA,A,C,E
QC,Moyen,0.07,0.279,0.192,0.182,B,A,C,D
QC,Élevé,0.009,0.252,0.113,0.021,A,A,C,A
QC,Inconnu,NA,0.106,0.114,0.047,NA,A,B,A
ON,Aucun,0.005,0.162,0.226,0.077,A,A,C,B
ON,Faible,0.074,0.153,0.271,0.209,C,A,C,D
ON,Moyen,NA,0.243,0.353,0.458,NA,A,C,E
ON,Élevé,NA,0.326,0.059,0.179,NA,A,A,E
ON,Inconnu,0.029,0.115,0.09,0.078,A,A,A,B
MB,Aucun,0.068,0.112,0.372,NA,C,A,C,NA
MB,Faible,0.012,0.17,0.249,0.122,A,A,C,B
MB,Moyen,NA,0.287,0.19,0.292,NA,A,B,E
MB,Élevé,NA,0.298,0.098,0.159,NA,A,B,E
MB,Inconnu,0.003,0.133,0.09,0.016,A,A,B,A
SK,Aucun,0.931,0.102,0.23,0.136,C,A,C,D
SK,Faible,0.01,0.147,0.273,NA,A,A,C,NA
SK,Moyen,0.037,0.297,0.233,0.221,B,A,C,E
SK,Élevé,0.022,0.356,0.121,0.116,A,B,B,D
SK,Inconnu,0,0.098,0.144,0.153,A,A,B,E
AB,Aucun,0.027,0.115,0.317,0.304,A,A,D,E
AB,Faible,NA,0.159,0.177,0.115,NA,A,C,C
AB,Moyen,0.032,0.295,0.279,0.233,B,A,D,D
AB,Élevé,0.128,0.324,0.051,0.085,E,A,A,C
AB,Inconnu,NA,0.107,0.176,0.263,NA,A,D,E
BC,Aucun,0.003,0.108,0.235,0.151,A,A,C,D
BC,Faible,NA,0.187,0.287,NA,NA,A,C,NA
BC,Moyen,0.01,0.296,0.208,NA,A,A,C,NA
BC,Élevé,0.028,0.294,0.155,0.05,A,A,C,B
BC,Inconnu,NA,0.115,0.115,0.024,NA,A,B,A
YT,Aucun,NA,0.138,0.261,NA,NA,B,D,NA
YT,Faible,0.141,0.18,0.237,0,E,B,D,A
YT,Moyen,0.121,0.319,0.073,NA,C,C,B,NA
YT,Élevé,0,0.23,0.122,0.116,A,B,D,E
YT,Inconnu,NA,0.132,NA,0.013,NA,B,NA,A
NT,Aucun,0.099,0.175,0.152,NA,D,B,C,NA
NT,Faible,0.096,0.221,0.276,0.022,D,B,D,A
NT,Moyen,NA,0.158,0.127,0.244,NA,B,C,E
NT,Élevé,0.104,0.24,0.077,0.027,D,B,B,A
NT,Inconnu,NA,0.207,0.368,0.126,NA,B,E,D
NU,Aucun,0.234,0.084,0.272,0.236,E,B,D,E
NU,Faible,NA,0.245,0.112,0,NA,C,B,A
NU,Moyen,0,0.247,0.114,0.384,A,B,D,E
NU,Élevé,0,0.205,0.114,0.234,A,B,D,E
NU,Inconnu,NA,0.219,0.388,0.146,NA,B,E,E
