seriesDate,geoAbb,busChar,item2,valIncrease,valSame,valDecrease,valNA,statusIncrease,statusSame,statusDecrease,statusNA
2023.75,CA,Institutions gouvernementales,Nombre d'employés,0.092,0.836,0.071,0,B,C,C,A
2023.75,CA,Institutions gouvernementales,Postes vacants,0.011000000000000001,0.5589999999999999,0.139,0.29100000000000004,A,E,D,E
2023.75,CA,Institutions gouvernementales,Ventes,0.10400000000000001,0.418,0.1,0.37799999999999995,C,E,C,E
2023.75,CA,Institutions gouvernementales,Prix de vente,0.063,0.526,0,0.41100000000000003,B,E,A,E
2023.75,CA,Institutions gouvernementales,Demande,0.503,0.455,0.042,0,E,E,A,A
2023.75,CA,Institutions gouvernementales,Importations,0.015,0.107,0.042,0.835,A,C,B,C
2023.75,CA,Institutions gouvernementales,Exportations,0.001,0.11900000000000001,0.003,0.878,A,C,A,C
2023.75,CA,Institutions gouvernementales,Résultat opérationnel,0.081,0.863,0.055,0,B,C,B,A
2023.75,CA,Institutions gouvernementales,Dépenses opérationnelles,0.465,0.53,0.005,0,E,E,A,A
2023.75,CA,Institutions gouvernementales,Rentabilité,0.042,0.599,0.10400000000000001,0.255,B,E,B,D
2023.75,CA,Institutions gouvernementales,Réserves de trésorerie,0.046,0.698,0.04,0.21600000000000003,B,D,A,D
2023.75,CA,Institutions gouvernementales,Dépenses en capital,0.213,0.591,0.009000000000000001,0.188,D,E,A,D
2023.75,CA,Institutions gouvernementales,Dépenses liées à la formation,0.129,0.624,0.006,0.24100000000000002,C,E,A,D
2023.75,CA,Institutions gouvernementales,Budget de marketing,0.083,0.586,0.009000000000000001,0.32299999999999995,C,E,A,E
2023.75,CA,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0.012,0.39399999999999996,0.02,0.574,A,E,A,E
2023.75,CA,Entreprises,Nombre d'employés,0.099,0.7859999999999999,0.115,0,A,A,A,A
2023.75,CA,Entreprises,Postes vacants,0.055999999999999994,0.5529999999999999,0.077,0.314,A,A,A,A
2023.75,CA,Entreprises,Ventes,0.162,0.616,0.221,0,A,A,A,A
2023.75,CA,Entreprises,Prix de vente,0.248,0.675,0.078,0,A,A,A,A
2023.75,CA,Entreprises,Demande,0.16699999999999998,0.611,0.223,0,A,A,A,A
2023.75,CA,Entreprises,Importations,0.019,0.191,0.047,0.743,A,A,A,A
2023.75,CA,Entreprises,Exportations,0.019,0.149,0.028999999999999998,0.8029999999999999,A,A,A,A
2023.75,CA,Entreprises,Résultat opérationnel,0.17300000000000001,0.557,0.27,0,A,A,A,A
2023.75,CA,Entreprises,Dépenses opérationnelles,0.42,0.489,0.091,0,A,A,A,A
2023.75,CA,Entreprises,Rentabilité,0.094,0.529,0.377,0,A,A,A,A
2023.75,CA,Entreprises,Réserves de trésorerie,0.07400000000000001,0.49700000000000005,0.35100000000000003,0.077,A,A,A,A
2023.75,CA,Entreprises,Dépenses en capital,0.18,0.5720000000000001,0.10400000000000001,0.14400000000000002,A,A,A,A
2023.75,CA,Entreprises,Dépenses liées à la formation,0.135,0.523,0.069,0.273,A,A,A,A
2023.75,CA,Entreprises,Budget de marketing,0.125,0.54,0.092,0.244,A,A,A,A
2023.75,CA,Entreprises,Dépenses liées à la recherche et au développement,0.065,0.32,0.057,0.5579999999999999,A,A,A,A
2023.75,CA,Organismes communautaires à but non lucratif,Nombre d'employés,0.17600000000000002,0.768,0.055999999999999994,0,B,B,A,A
