geoAbb,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
NU,Défis liés à la main-d'œuvre,0.772,0.653,0.6629999999999999,0.69,E,C,D,E
NL,Inflation,0.871,0.486,0.653,0.083,C,B,C,B
BC,Inflation,NA,0.598,0.653,0.723,NA,A,D,E
SK,Inflation,0.031,0.625,0.613,NA,B,B,C,NA
NT,Inflation,0.16,0.47700000000000004,0.58,NA,D,C,D,NA
QC,Défis liés à la main-d'œuvre,NA,0.46299999999999997,0.579,NA,NA,A,C,NA
NT,Défis liés à la main-d'œuvre,NA,0.537,0.552,0.7909999999999999,NA,B,D,E
NS,Inflation,NA,0.562,0.551,0.741,NA,A,C,E
NU,Recrutement d'employés qualifiés,0.665,0.49,0.5479999999999999,0.512,E,C,E,E
CA,Inflation,0.46,0.574,0.524,0.434,E,A,B,C
YT,Aucun,0.747,0.259,0.521,0.158,E,C,E,E
MB,Inflation,0.945,0.608,0.519,0.599,B,A,C,E
AB,Inflation,0.168,0.633,0.513,0.474,E,A,E,E
MB,Défis liés à la main-d'œuvre,NA,0.39,0.511,0.248,NA,A,C,D
ON,Inflation,NA,0.5710000000000001,0.503,0.46399999999999997,NA,A,C,E
NB,Inflation,NA,0.555,0.493,0.193,NA,A,D,E
PE,Inflation,0.243,0.502,0.491,0.408,D,B,D,E
BC,Défis liés à la main-d'œuvre,NA,0.46299999999999997,0.47700000000000004,0.141,NA,A,C,C
QC,Inflation,NA,0.521,0.467,0.22,NA,A,C,D
AB,Coûts liés à l'assurance,0.128,0.369,0.467,0.257,E,A,D,D
BC,Augmentation des coûts liés aux intrants,0.03,0.498,0.452,NA,A,B,D,NA
MB,Recrutement d'employés qualifiés,NA,0.273,0.444,0.171,NA,A,C,D
BC,Coûts liés à l'assurance,0.02,0.377,0.43700000000000006,NA,A,A,D,NA
CA,Défis liés à la main-d'œuvre,0.556,0.39899999999999997,0.436,0.44,E,A,B,C
QC,Recrutement d'employés qualifiés,NA,0.335,0.434,0.34700000000000003,NA,A,C,E
NT,Recrutement d'employés qualifiés,0.263,0.465,0.428,0.7909999999999999,E,B,E,E
SK,Défis liés à la main-d'œuvre,0.057,0.45299999999999996,0.42100000000000004,0.26899999999999996,B,B,C,E
YT,Défis liés à la main-d'œuvre,0.253,0.386,0.413,NA,E,C,E,NA
NU,Inflation,NA,0.527,0.41100000000000003,0.384,NA,C,E,E
BC,Recrutement d'employés qualifiés,0.064,0.35,0.409,0.096,B,A,C,B
NU,Pénurie de main-d'œuvre,NA,0.465,0.406,0.16,NA,C,E,E
NB,Défis liés à la main-d'œuvre,0.855,0.42,0.401,0.284,E,A,D,E
NS,Défis liés à la main-d'œuvre,NA,0.433,0.4,NA,NA,A,C,NA
NU,Conservation d'employés qualifiés,NA,0.433,0.397,0.69,NA,B,E,E
MB,Augmentation des coûts liés aux intrants,NA,0.493,0.391,0.34600000000000003,NA,A,C,E
NU,Pénurie d'espace ou d'équipement,0.34600000000000003,0.094,0.382,0,E,B,E,A
YT,Inflation,0.06,0.528,0.377,NA,B,C,E,NA
QC,Conservation d'employés qualifiés,0.153,0.272,0.373,0.27,D,A,C,D
QC,Pénurie de main-d'œuvre,0.132,0.324,0.369,0.22399999999999998,C,A,C,D
SK,Augmentation des coûts liés aux intrants,0.094,0.601,0.36700000000000005,0.184,E,B,C,E
PE,Coûts liés à l'assurance,0.022000000000000002,0.281,0.364,NA,A,B,D,NA
AB,Défis liés à la main-d'œuvre,NA,0.37200000000000005,0.364,0.74,NA,A,D,C
NT,Coûts liés à l'assurance,0,0.272,0.364,0,A,B,E,A
BC,Pénurie de main-d'œuvre,0.053,0.275,0.359,0.075,B,A,D,B
NL,Défis liés à la main-d'œuvre,NA,0.408,0.35100000000000003,0.09300000000000001,NA,B,D,B
