refDate,geo,Nonprofit sector,Total economy,perGDP
2021-01-01,CA,200177000000,2355298000000,8.499009467167213
2021-01-01,NL,3481000000,35202000000,9.888642690756207
2021-01-01,PE,842000000,7913000000,10.640717806141792
2021-01-01,NS,5672000000,47599000000,11.916216727242169
2021-01-01,NB,3952000000,38760000000,10.196078431372548
2021-01-01,QC,48476000000,468933000000,10.337510902410365
2021-01-01,ON,70796000000,897975000000,7.8839611347754674
2021-01-01,MB,7660000000,74557000000,10.274018536153546
2021-01-01,SK,6907000000,82784000000,8.3433996907615
2021-01-01,AB,23525000000,361598000000,6.505843505771603
2021-01-01,BC,28022000000,326252000000,8.58906612066746
2021-01-01,YT,194000000,3576000000,5.425055928411633
2021-01-01,NT,503000000,4772000000,10.540653813914501
2021-01-01,NU,148000000,4597000000,3.2194909723732867
