refDate,geo,valNormP_TotNPOs,valNormP_BusNPOs,valNormP_CommNPOs,valNormP_GovNPOs,valNorm_TotNPOs,valNorm_BusNPOs,valNorm_CommNPOs,valNorm_GovNPOs,label_TotNPOs,label_BusNPOs,label_CommNPOs,label_GovNPOs
2007-01-01,AB,1,1,1,1,23169000000,3093000000,5373000000,14704000000,$23.2B,$3.1B,$5.4B,$14.7B
2007-01-01,BC,1,1,1,1,25249000000,3867000000,5364000000,16018000000,$25.2B,$3.9B,$5.4B,$16.0B
2007-01-01,CA,1,1,1,1,181575000000,25046000000,42752000000,113777000000,$181.6B,$25.0B,$42.8B,$113.8B
2007-01-01,MB,1,1,1,1,6389000000,802000000,1281000000,4306000000,$6.4B,$802.0M,$1.3B,$4.3B
2007-01-01,NB,1,1,1,1,3438000000,554000000,645000000,2239000000,$3.4B,$554.0M,$645.0M,$2.2B
2007-01-01,NL,1,1,1,1,3211000000,359000000,334000000,2518000000,$3.2B,$359.0M,$334.0M,$2.5B
2007-01-01,NS,1,1,1,1,5320000000,559000000,1170000000,3591000000,$5.3B,$559.0M,$1.2B,$3.6B
2007-01-01,NT,1,1,1,1,429000000,89000000,84000000,256000000,$429.0M,$89.0M,$84.0M,$256.0M
2007-01-01,NU,1,1,1,1,146000000,45000000,66000000,35000000,$146.0M,$45.0M,$66.0M,$35.0M
2007-01-01,ON,1,1,1,1,66865000000,9569000000,17293000000,40003000000,$66.9B,$9.6B,$17.3B,$40.0B
2007-01-01,PE,1,1,1,1,789000000,88000000,114000000,587000000,$789.0M,$88.0M,$114.0M,$587.0M
2007-01-01,QC,1,1,1,1,40561000000,5351000000,9965000000,25245000000,$40.6B,$5.4B,$10.0B,$25.2B
2007-01-01,SK,1,1,1,1,5821000000,647000000,994000000,4180000000,$5.8B,$647.0M,$994.0M,$4.2B
2007-01-01,YT,1,1,1,1,177000000,24000000,59000000,94000000,$177.0M,$24.0M,$59.0M,$94.0M
2008-01-01,AB,1.0629289136345978,1.11639185257032,1.1096221849990695,1.0345484221980414,24627000000,3453000000,5962000000,15212000000,$24.6B,$3.5B,$6.0B,$15.2B
2008-01-01,BC,1.0520020594875044,1.1163692785104733,1.0646905294556301,1.0322137595205394,26562000000,4317000000,5711000000,16534000000,$26.6B,$4.3B,$5.7B,$16.5B
2008-01-01,CA,1.048652072146496,1.1163059969655833,1.0736105913173652,1.0243810260421702,190409000000,27959000000,45899000000,116551000000,$190.4B,$28.0B,$45.9B,$116.6B
2008-01-01,MB,1.0477383002034748,1.1159600997506234,1.064793130366901,1.0299581978634464,6694000000,895000000,1364000000,4435000000,$6.7B,$895.0M,$1.4B,$4.4B
2008-01-01,NB,1.0381035485747527,1.1155234657039712,1.0496124031007752,1.0151853506029478,3569000000,618000000,677000000,2273000000,$3.6B,$618.0M,$677.0M,$2.3B
2008-01-01,NL,1.0345686701962005,1.116991643454039,1.0598802395209581,1.0198570293884035,3322000000,401000000,354000000,2568000000,$3.3B,$401.0M,$354.0M,$2.6B
2008-01-01,NS,1.030639097744361,1.1162790697674418,1.0547008547008547,1.0094681147312727,5483000000,624000000,1234000000,3625000000,$5.5B,$624.0M,$1.2B,$3.6B
2008-01-01,NT,1.062937062937063,1.1235955056179776,1.0595238095238095,1.046875,456000000,100000000,89000000,268000000,$456.0M,$100.0M,$89.0M,$268.0M
2008-01-01,NU,1.0753424657534247,1.1111111111111112,1.0909090909090908,0.9714285714285714,157000000,50000000,72000000,34000000,$157.0M,$50.0M,$72.0M,$34.0M
2008-01-01,ON,1.0428325730950423,1.1163130943672275,1.0605447290811312,1.0175986800989927,69729000000,10682000000,18340000000,40707000000,$69.7B,$10.7B,$18.3B,$40.7B
2008-01-01,PE,1.035487959442332,1.1136363636363635,1.0087719298245614,1.028960817717206,817000000,98000000,115000000,604000000,$817.0M,$98.0M,$115.0M,$604.0M
2008-01-01,QC,1.0530312369024433,1.1162399551485704,1.0860010035122931,1.0266191325014855,42712000000,5973000000,10822000000,25917000000,$42.7B,$6.0B,$10.8B,$25.9B
2008-01-01,SK,1.045181240336712,1.1159196290571871,1.091549295774648,1.0232057416267943,6084000000,722000000,1085000000,4277000000,$6.1B,$722.0M,$1.1B,$4.3B
2008-01-01,YT,1.0564971751412429,1.125,1.0677966101694916,1.0319148936170213,187000000,27000000,63000000,97000000,$187.0M,$27.0M,$63.0M,$97.0M
2009-01-01,AB,1.1006517329189867,1.2398965405754931,1.03964265773311,1.0936479869423286,25501000000,3835000000,5586000000,16081000000,$25.5B,$3.8B,$5.6B,$16.1B
2009-01-01,BC,1.117509604340766,1.2399793121282647,1.057233407904549,1.1081907853664628,28216000000,4795000000,5671000000,17751000000,$28.2B,$4.8B,$5.7B,$17.8B
2009-01-01,CA,1.1175547294506403,1.2398786233330672,1.0911302395209581,1.1005563514594339,202920000000,31054000000,46648000000,125218000000,$202.9B,$31.1B,$46.6B,$125.2B
2009-01-01,MB,1.1130067303177336,1.2394014962593516,1.1053864168618266,1.0915002322340919,7111000000,994000000,1416000000,4700000000,$7.1B,$994.0M,$1.4B,$4.7B
2009-01-01,NB,1.1323443862710878,1.240072202166065,1.082170542635659,1.1205895489057616,3893000000,687000000,698000000,2509000000,$3.9B,$687.0M,$698.0M,$2.5B
2009-01-01,NL,1.1136717533478666,1.2395543175487465,1.188622754491018,1.0861795075456713,3576000000,445000000,397000000,2735000000,$3.6B,$445.0M,$397.0M,$2.7B
2009-01-01,NS,1.106015037593985,1.2397137745974955,1.117948717948718,1.0813143971038708,5884000000,693000000,1308000000,3883000000,$5.9B,$693.0M,$1.3B,$3.9B
2009-01-01,NT,1.1538461538461537,1.247191011235955,1.0714285714285714,1.1484375,495000000,111000000,90000000,294000000,$495.0M,$111.0M,$90.0M,$294.0M
2009-01-01,NU,1.143835616438356,1.2444444444444445,1.1515151515151516,1,167000000,56000000,76000000,35000000,$167.0M,$56.0M,$76.0M,$35.0M
2009-01-01,ON,1.1224257832946982,1.2398369735604557,1.0849476666859423,1.110541709371797,75051000000,11864000000,18762000000,44425000000,$75.1B,$11.9B,$18.8B,$44.4B
2009-01-01,PE,1.1254752851711027,1.2386363636363635,1.087719298245614,1.1175468483816013,888000000,109000000,124000000,656000000,$888.0M,$109.0M,$124.0M,$656.0M
2009-01-01,QC,1.1181183895860556,1.2397682676135302,1.1258404415454089,1.0892850069320656,45352000000,6634000000,11219000000,27499000000,$45.4B,$6.6B,$11.2B,$27.5B
2009-01-01,SK,1.129359216629445,1.239567233384853,1.2293762575452716,1.0882775119617225,6574000000,802000000,1222000000,4549000000,$6.6B,$802.0M,$1.2B,$4.5B
2009-01-01,YT,1.1299435028248588,1.25,1.152542372881356,1.074468085106383,200000000,30000000,68000000,101000000,$200.0M,$30.0M,$68.0M,$101.0M
2010-01-01,AB,1.150157538089689,1.268671193016489,1.1273031825795645,1.1334330794341676,26648000000,3924000000,6057000000,16666000000,$26.6B,$3.9B,$6.1B,$16.7B
2010-01-01,BC,1.1604023921739475,1.2686837341608481,1.122296793437733,1.146959670370833,29299000000,4906000000,6020000000,18372000000,$29.3B,$4.9B,$6.0B,$18.4B
2010-01-01,CA,1.1586617100371748,1.2687455082647927,1.1506128368263473,1.1374530880582192,210384000000,31777000000,49191000000,129416000000,$210.4B,$31.8B,$49.2B,$129.4B
2010-01-01,MB,1.1558929409923306,1.2693266832917707,1.1959406713505074,1.1230840687412913,7385000000,1018000000,1532000000,4836000000,$7.4B,$1.0B,$1.5B,$4.8B
2010-01-01,NB,1.1751018033740548,1.2689530685920578,1.151937984496124,1.1585529254131308,4040000000,703000000,743000000,2594000000,$4.0B,$703.0M,$743.0M,$2.6B
2010-01-01,NL,1.1616318903768297,1.267409470752089,1.281437125748503,1.1302621127879269,3730000000,455000000,428000000,2846000000,$3.7B,$455.0M,$428.0M,$2.8B
2010-01-01,NS,1.143421052631579,1.2683363148479427,1.1572649572649574,1.1194653299916457,6083000000,709000000,1354000000,4020000000,$6.1B,$709.0M,$1.4B,$4.0B
2010-01-01,NT,1.1934731934731935,1.2696629213483146,1.1785714285714286,1.171875,512000000,113000000,99000000,300000000,$512.0M,$113.0M,$99.0M,$300.0M
2010-01-01,NU,1.2054794520547945,1.2666666666666666,1.2424242424242424,1.0285714285714285,176000000,57000000,82000000,36000000,$176.0M,$57.0M,$82.0M,$36.0M
2010-01-01,ON,1.1617587676661931,1.2686801128644583,1.1378014225409125,1.146539009574282,77681000000,12140000000,19676000000,45865000000,$77.7B,$12.1B,$19.7B,$45.9B
2010-01-01,PE,1.1989860583016476,1.2613636363636365,1.1491228070175439,1.1976149914821124,946000000,111000000,131000000,703000000,$946.0M,$111.0M,$131.0M,$703.0M
2010-01-01,QC,1.1531766968270014,1.2687348159222576,1.1748118414450577,1.1201426024955436,46774000000,6789000000,11707000000,28278000000,$46.8B,$6.8B,$11.7B,$28.3B
2010-01-01,SK,1.1824428792303727,1.267387944358578,1.2796780684104627,1.1461722488038277,6883000000,820000000,1272000000,4791000000,$6.9B,$820.0M,$1.3B,$4.8B
2010-01-01,YT,1.2203389830508475,1.2916666666666667,1.3220338983050848,1.148936170212766,216000000,31000000,78000000,108000000,$216.0M,$31.0M,$78.0M,$108.0M
2011-01-01,AB,1.19772109283957,1.3462657613967022,1.1462869905080961,1.185119695321001,27750000000,4164000000,6159000000,17426000000,$27.8B,$4.2B,$6.2B,$17.4B
2011-01-01,BC,1.21537486633134,1.3635893457460564,1.1066368381804623,1.2160069921338494,30687000000,5273000000,5936000000,19478000000,$30.7B,$5.3B,$5.9B,$19.5B
2011-01-01,CA,1.2133828996282527,1.332508184939711,1.1769741766467066,1.200840240118829,220320000000,33374000000,50318000000,136628000000,$220.3B,$33.4B,$50.3B,$136.6B
2011-01-01,MB,1.2283612458913757,1.4251870324189526,1.2607338017174083,1.1820715281003251,7848000000,1143000000,1615000000,5090000000,$7.8B,$1.1B,$1.6B,$5.1B
2011-01-01,NB,1.2309482257126236,1.3736462093862816,1.1271317829457363,1.225547119249665,4232000000,761000000,727000000,2744000000,$4.2B,$761.0M,$727.0M,$2.7B
2011-01-01,NL,1.232014948614139,1.3008356545961002,1.2964071856287425,1.2136616362192216,3956000000,467000000,433000000,3056000000,$4.0B,$467.0M,$433.0M,$3.1B
2011-01-01,NS,1.186654135338346,1.1305903398926656,1.2153846153846153,1.1860206070732386,6313000000,632000000,1422000000,4259000000,$6.3B,$632.0M,$1.4B,$4.3B
2011-01-01,NT,1.2074592074592074,1.1235955056179776,1.2142857142857142,1.234375,518000000,100000000,102000000,316000000,$518.0M,$100.0M,$102.0M,$316.0M
2011-01-01,NU,1.321917808219178,1.488888888888889,1.303030303030303,1.1428571428571428,193000000,67000000,86000000,40000000,$193.0M,$67.0M,$86.0M,$40.0M
2011-01-01,ON,1.2183204965228445,1.3416239941477688,1.1702422945700572,1.2096092793040523,81463000000,12838000000,20237000000,48388000000,$81.5B,$12.8B,$20.2B,$48.4B
2011-01-01,PE,1.285171102661597,1.3636363636363635,1.1842105263157894,1.293015332197615,1014000000,120000000,135000000,759000000,$1.0B,$120.0M,$135.0M,$759.0M
2011-01-01,QC,1.2057395034639184,1.2950850308353579,1.20822880080281,1.1858189740542682,48906000000,6930000000,12040000000,29936000000,$48.9B,$6.9B,$12.0B,$29.9B
2011-01-01,SK,1.2382752104449408,1.312210200927357,1.3440643863179074,1.2014354066985646,7208000000,849000000,1336000000,5022000000,$7.2B,$849.0M,$1.3B,$5.0B
2011-01-01,YT,1.2542372881355932,1.2916666666666667,1.3389830508474576,1.1914893617021276,222000000,31000000,79000000,112000000,$222.0M,$31.0M,$79.0M,$112.0M
2012-01-01,AB,1.2471837368898098,1.502748140963466,1.1669458403126745,1.2226605005440696,28896000000,4648000000,6270000000,17978000000,$28.9B,$4.6B,$6.3B,$18.0B
2012-01-01,BC,1.2501485207334944,1.4284975433152314,1.1129753914988814,1.252965413909352,31565000000,5524000000,5970000000,20070000000,$31.6B,$5.5B,$6.0B,$20.1B
2012-01-01,CA,1.2495167286245352,1.3894833506348319,1.1950084206586826,1.2391871819436266,226881000000,34801000000,51089000000,140991000000,$226.9B,$34.8B,$51.1B,$141.0B
2012-01-01,MB,1.2473000469557052,1.3927680798004987,1.2669789227166277,1.2143520668834185,7969000000,1117000000,1623000000,5229000000,$8.0B,$1.1B,$1.6B,$5.2B
2012-01-01,NB,1.256544502617801,1.5018050541516246,1.137984496124031,1.2300133988387674,4320000000,832000000,734000000,2754000000,$4.3B,$832.0M,$734.0M,$2.8B
2012-01-01,NL,1.2662721893491125,1.4011142061281336,1.3832335329341316,1.2315329626687848,4066000000,503000000,462000000,3101000000,$4.1B,$503.0M,$462.0M,$3.1B
2012-01-01,NS,1.2276315789473684,1.3524150268336315,1.2692307692307692,1.1946532999164579,6531000000,756000000,1485000000,4290000000,$6.5B,$756.0M,$1.5B,$4.3B
2012-01-01,NT,1.2027972027972027,1.0898876404494382,1.1666666666666667,1.25,516000000,97000000,98000000,320000000,$516.0M,$97.0M,$98.0M,$320.0M
2012-01-01,NU,1.4452054794520548,1.7555555555555555,1.393939393939394,1.1428571428571428,211000000,79000000,92000000,40000000,$211.0M,$79.0M,$92.0M,$40.0M
2012-01-01,ON,1.2527181634636955,1.3707806458355105,1.1801306887179783,1.2558558108141888,83763000000,13117000000,20408000000,50238000000,$83.8B,$13.1B,$20.4B,$50.2B
