refDate,geo,valNormP_coreRev_All,valNormP_govtRev_All,valNormP_coreRev_Sports,valNormP_coreRev_Education,valNormP_govtRev_Education,valNormP_coreRev_Health,valNormP_govtRev_Health,valNormP_coreRev_SocServ,valNormP_govtRev_SocServ,valNormP_coreRev_Environment,valNormP_coreRev_DevtHousing,valNormP_coreRev_Advocacy,valNormP_coreRev_Fdns,valNormP_coreRev_International,valNormP_coreRev_Religion,valNormP_coreRev_ProfAssoc,valNormP_coreRev_Other,valNorm_coreRev_All,valNorm_govtRev_All,valNorm_coreRev_Sports,valNorm_coreRev_Education,valNorm_govtRev_Education,valNorm_coreRev_Health,valNorm_govtRev_Health,valNorm_coreRev_SocServ,valNorm_govtRev_SocServ,valNorm_coreRev_Environment,valNorm_coreRev_DevtHousing,valNorm_coreRev_Advocacy,valNorm_coreRev_Fdns,valNorm_coreRev_International,valNorm_coreRev_Religion,valNorm_coreRev_ProfAssoc,valNorm_coreRev_Other,label_coreRev_All,label_govtRev_All,label_coreRev_Sports,label_coreRev_Education,label_govtRev_Education,label_coreRev_Health,label_govtRev_Health,label_coreRev_SocServ,label_govtRev_SocServ,label_coreRev_Environment,label_coreRev_DevtHousing,label_coreRev_Advocacy,label_coreRev_Fdns,label_coreRev_International,label_coreRev_Religion,label_coreRev_ProfAssoc,label_coreRev_Other
2007-01-01,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67798000000,113777000000,10184000000,6644000000,33467000000,2736000000,71075000000,10919000000,9236000000,831000000,4291000000,857000000,2215000000,428000000,5862000000,14179000000,8652000000,$67.8B,$113.8B,$10.2B,$6.6B,$33.5B,$2.7B,$71.1B,$10.9B,$9.2B,$831.0M,$4.3B,$857.0M,$2.2B,$428.0M,$5.9B,$14.2B,$8.7B
2007-01-01,NL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,693000000,2518000000,135000000,29000000,679000000,12000000,1627000000,67000000,212000000,12000000,61000000,12000000,24000000,3000000,67000000,168000000,102000000,$693.0M,$2.5B,$135.0M,$29.0M,$679.0M,$12.0M,$1.6B,$67.0M,$212.0M,$12.0M,$61.0M,$12.0M,$24.0M,$3.0M,$67.0M,$168.0M,$102.0M
2007-01-01,PE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,202000000,587000000,34000000,10000000,144000000,2000000,393000000,28000000,51000000,3000000,15000000,3000000,7000000,1000000,25000000,47000000,25000000,$202.0M,$587.0M,$34.0M,$10.0M,$144.0M,$2.0M,$393.0M,$28.0M,$51.0M,$3.0M,$15.0M,$3.0M,$7.0M,$1.0M,$25.0M,$47.0M,$25.0M
2007-01-01,NS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1729000000,3591000000,241000000,116000000,1354000000,211000000,1981000000,247000000,257000000,19000000,96000000,19000000,61000000,12000000,162000000,369000000,176000000,$1.7B,$3.6B,$241.0M,$116.0M,$1.4B,$211.0M,$2.0B,$247.0M,$257.0M,$19.0M,$96.0M,$19.0M,$61.0M,$12.0M,$162.0M,$369.0M,$176.0M
2007-01-01,NB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1199000000,2239000000,228000000,42000000,588000000,58000000,1461000000,121000000,189000000,18000000,95000000,19000000,33000000,6000000,172000000,243000000,164000000,$1.2B,$2.2B,$228.0M,$42.0M,$588.0M,$58.0M,$1.5B,$121.0M,$189.0M,$18.0M,$95.0M,$19.0M,$33.0M,$6.0M,$172.0M,$243.0M,$164.0M
2007-01-01,QC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15316000000,25245000000,2175000000,1880000000,7387000000,307000000,15804000000,3067000000,2053000000,177000000,917000000,183000000,498000000,100000000,932000000,3135000000,1945000000,$15.3B,$25.2B,$2.2B,$1.9B,$7.4B,$307.0M,$15.8B,$3.1B,$2.1B,$177.0M,$917.0M,$183.0M,$498.0M,$100.0M,$932.0M,$3.1B,$1.9B
2007-01-01,ON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26862000000,40003000000,3614000000,2443000000,12228000000,1553000000,24581000000,4328000000,3194000000,317000000,1639000000,327000000,926000000,173000000,2383000000,5784000000,3374000000,$26.9B,$40.0B,$3.6B,$2.4B,$12.2B,$1.6B,$24.6B,$4.3B,$3.2B,$317.0M,$1.6B,$327.0M,$926.0M,$173.0M,$2.4B,$5.8B,$3.4B
2007-01-01,MB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2083000000,4306000000,353000000,189000000,1156000000,69000000,2788000000,394000000,362000000,27000000,137000000,27000000,50000000,13000000,199000000,357000000,267000000,$2.1B,$4.3B,$353.0M,$189.0M,$1.2B,$69.0M,$2.8B,$394.0M,$362.0M,$27.0M,$137.0M,$27.0M,$50.0M,$13.0M,$199.0M,$357.0M,$267.0M
2007-01-01,SK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1641000000,4180000000,260000000,90000000,1332000000,60000000,2520000000,300000000,327000000,21000000,111000000,22000000,43000000,10000000,201000000,302000000,220000000,$1.6B,$4.2B,$260.0M,$90.0M,$1.3B,$60.0M,$2.5B,$300.0M,$327.0M,$21.0M,$111.0M,$22.0M,$43.0M,$10.0M,$201.0M,$302.0M,$220.0M
2007-01-01,AB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8466000000,14703000000,1380000000,760000000,4243000000,211000000,9258000000,1158000000,1202000000,103000000,530000000,106000000,303000000,54000000,875000000,1886000000,1101000000,$8.5B,$14.7B,$1.4B,$760.0M,$4.2B,$211.0M,$9.3B,$1.2B,$1.2B,$103.0M,$530.0M,$106.0M,$303.0M,$54.0M,$875.0M,$1.9B,$1.1B
2007-01-01,BC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9231000000,16018000000,1705000000,1075000000,4256000000,249000000,10409000000,1154000000,1352000000,128000000,663000000,132000000,254000000,54000000,834000000,1785000000,1199000000,$9.2B,$16.0B,$1.7B,$1.1B,$4.3B,$249.0M,$10.4B,$1.2B,$1.4B,$128.0M,$663.0M,$132.0M,$254.0M,$54.0M,$834.0M,$1.8B,$1.2B
2007-01-01,YT,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,83000000,94000000,13000000,2000000,24000000,NA,63000000,21000000,8000000,1000000,4000000,1000000,4000000,1000000,4000000,23000000,9000000,$83.0M,$94.0M,$13.0M,$2.0M,$24.0M,NA,$63.0M,$21.0M,$8.0M,$1.0M,$4.0M,$1.0M,$4.0M,$1.0M,$4.0M,$23.0M,$9.0M
2007-01-01,NT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,173000000,256000000,31000000,6000000,41000000,3000000,190000000,23000000,25000000,3000000,15000000,3000000,8000000,1000000,5000000,50000000,25000000,$173.0M,$256.0M,$31.0M,$6.0M,$41.0M,$3.0M,$190.0M,$23.0M,$25.0M,$3.0M,$15.0M,$3.0M,$8.0M,$1.0M,$5.0M,$50.0M,$25.0M
2007-01-01,NU,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,111000000,35000000,15000000,2000000,35000000,1000000,NA,12000000,NA,1000000,8000000,2000000,5000000,1000000,2000000,29000000,34000000,$111.0M,$35.0M,$15.0M,$2.0M,$35.0M,$1.0M,NA,$12.0M,NA,$1.0M,$8.0M,$2.0M,$5.0M,$1.0M,$2.0M,$29.0M,$34.0M
2008-01-01,CA,1.0893831676450634,1.0243810260421702,1.1090926944226238,1.0781155930162554,1.0130576388681387,1.0796783625730995,1.0290960253253605,1.074182617455811,1.029125162407969,1.1155234657039712,1.116289909112095,1.1155192532088682,1.074040632054176,1.0724299065420562,1.07352439440464,1.0861132660977502,1.0993989828941286,73858000000,116551000000,11295000000,7163000000,33904000000,2954000000,73143000000,11729000000,9505000000,927000000,4790000000,956000000,2379000000,459000000,6293000000,15400000000,9512000000,$73.9B,$116.6B,$11.3B,$7.2B,$33.9B,$3.0B,$73.1B,$11.7B,$9.5B,$927.0M,$4.8B,$956.0M,$2.4B,$459.0M,$6.3B,$15.4B,$9.5B
2008-01-01,NL,1.0894660894660895,1.0194598888006354,1.1037037037037036,1.0689655172413792,0.9970544918998527,1.0833333333333333,1.0282728948985864,1.0746268656716418,1.0235849056603774,1.0833333333333333,1.1311475409836065,1.1666666666666667,1.0416666666666667,1.3333333333333333,1.0597014925373134,1.0773809523809523,1.107843137254902,755000000,2567000000,149000000,31000000,677000000,13000000,1673000000,72000000,217000000,13000000,69000000,14000000,25000000,4000000,71000000,181000000,113000000,$755.0M,$2.6B,$149.0M,$31.0M,$677.0M,$13.0M,$1.7B,$72.0M,$217.0M,$13.0M,$69.0M,$14.0M,$25.0M,$4.0M,$71.0M,$181.0M,$113.0M
2008-01-01,PE,1.0544554455445545,1.028960817717206,1.1176470588235294,1.1,1.0069444444444444,1.5,1.0330788804071247,1.0357142857142858,1.0196078431372548,1,1.1333333333333333,1,1,1,1.04,1.0425531914893618,1.08,213000000,604000000,38000000,11000000,145000000,3000000,406000000,29000000,52000000,3000000,17000000,3000000,7000000,1000000,26000000,49000000,27000000,$213.0M,$604.0M,$38.0M,$11.0M,$145.0M,$3.0M,$406.0M,$29.0M,$52.0M,$3.0M,$17.0M,$3.0M,$7.0M,$1.0M,$26.0M,$49.0M,$27.0M
2008-01-01,NS,1.0746096009253905,1.0094681147312727,1.103734439834025,1.0603448275862069,0.98301329394387,1.0568720379146919,1.0247349823321554,1.05668016194332,1.027237354085603,1.105263157894737,1.1145833333333333,1.105263157894737,1.0491803278688525,1,1.0555555555555556,1.070460704607046,1.0965909090909092,1858000000,3625000000,266000000,123000000,1331000000,223000000,2030000000,261000000,264000000,21000000,107000000,21000000,64000000,12000000,171000000,395000000,193000000,$1.9B,$3.6B,$266.0M,$123.0M,$1.3B,$223.0M,$2.0B,$261.0M,$264.0M,$21.0M,$107.0M,$21.0M,$64.0M,$12.0M,$171.0M,$395.0M,$193.0M
2008-01-01,NB,1.0800667222685572,1.015631978561858,1.105263157894737,1.0952380952380953,1.0153061224489797,1.0517241379310345,1.0157426420260096,1.0495867768595042,1.0211640211640212,1.1111111111111112,1.1157894736842104,1.105263157894737,1.0606060606060606,1.1666666666666667,1.052325581395349,1.0740740740740742,1.0975609756097562,1295000000,2274000000,252000000,46000000,597000000,61000000,1484000000,127000000,193000000,20000000,106000000,21000000,35000000,7000000,181000000,261000000,180000000,$1.3B,$2.3B,$252.0M,$46.0M,$597.0M,$61.0M,$1.5B,$127.0M,$193.0M,$20.0M,$106.0M,$21.0M,$35.0M,$7.0M,$181.0M,$261.0M,$180.0M
2008-01-01,QC,1.096565682945939,1.0266191325014855,1.1108045977011494,1.0882978723404255,1.0131311763909572,1.0912052117263844,1.0322703113135916,1.0864036517769808,1.0321480759863615,1.11864406779661,1.1155943293347874,1.1147540983606556,1.0843373493975903,1.08,1.0858369098712446,1.0947368421052632,1.1033419023136246,16795000000,25917000000,2416000000,2046000000,7484000000,335000000,16314000000,3332000000,2119000000,198000000,1023000000,204000000,540000000,108000000,1012000000,3432000000,2146000000,$16.8B,$25.9B,$2.4B,$2.0B,$7.5B,$335.0M,$16.3B,$3.3B,$2.1B,$198.0M,$1.0B,$204.0M,$540.0M,$108.0M,$1.0B,$3.4B,$2.1B
2008-01-01,ON,1.0804109895018985,1.0175986800989927,1.1087437742114001,1.0642652476463366,1.0138207392868825,1.0759819703799098,1.0193238680281518,1.060304990757856,1.0194113963681903,1.1167192429022081,1.1165344722391701,1.1162079510703364,1.060475161987041,1.0635838150289016,1.0616869492236676,1.0757261410788381,1.0924718435091878,29022000000,40707000000,4007000000,2600000000,12397000000,1671000000,25056000000,4589000000,3256000000,354000000,1830000000,365000000,982000000,184000000,2530000000,6222000000,3686000000,$29.0B,$40.7B,$4.0B,$2.6B,$12.4B,$1.7B,$25.1B,$4.6B,$3.3B,$354.0M,$1.8B,$365.0M,$982.0M,$184.0M,$2.5B,$6.2B,$3.7B
2008-01-01,MB,1.084493518963034,1.0299581978634464,1.1048158640226629,1.0687830687830688,0.9982698961937716,1.0869565217391304,1.041248206599713,1.0659898477157361,1.0414364640883977,1.1111111111111112,1.1167883211678833,1.1481481481481481,1.06,1.0769230769230769,1.065326633165829,1.084033613445378,1.097378277153558,2259000000,4435000000,390000000,202000000,1154000000,75000000,2903000000,420000000,377000000,30000000,153000000,31000000,53000000,14000000,212000000,387000000,293000000,$2.3B,$4.4B,$390.0M,$202.0M,$1.2B,$75.0M,$2.9B,$420.0M,$377.0M,$30.0M,$153.0M,$31.0M,$53.0M,$14.0M,$212.0M,$387.0M,$293.0M
2008-01-01,SK,1.101157830591103,1.0232057416267943,1.1153846153846154,1.0888888888888888,1.0037537537537538,1.0833333333333333,1.0325396825396826,1.09,1.033639143730887,1.1428571428571428,1.117117117117117,1.1363636363636365,1.0930232558139534,1.1,1.0895522388059702,1.099337748344371,1.1090909090909091,1807000000,4277000000,290000000,98000000,1337000000,65000000,2602000000,327000000,338000000,24000000,124000000,25000000,47000000,11000000,219000000,332000000,244000000,$1.8B,$4.3B,$290.0M,$98.0M,$1.3B,$65.0M,$2.6B,$327.0M,$338.0M,$24.0M,$124.0M,$25.0M,$47.0M,$11.0M,$219.0M,$332.0M,$244.0M
2008-01-01,AB,1.112095440585873,1.0346187852819153,1.1152173913043477,1.1105263157894736,1.026396417629036,1.113744075829384,1.037805141499244,1.109671848013817,1.038269550748752,1.1067961165048543,1.1169811320754717,1.1132075471698113,1.108910891089109,1.1111111111111112,1.1097142857142857,1.1118769883351007,1.1135331516802907,9415000000,15212000000,1539000000,844000000,4355000000,235000000,9608000000,1285000000,1248000000,114000000,592000000,118000000,336000000,60000000,971000000,2097000000,1226000000,$9.4B,$15.2B,$1.5B,$844.0M,$4.4B,$235.0M,$9.6B,$1.3B,$1.2B,$114.0M,$592.0M,$118.0M,$336.0M,$60.0M,$971.0M,$2.1B,$1.2B
2008-01-01,BC,1.0863395081789622,1.0322137595205394,1.1043988269794722,1.069767441860465,1.0171522556390977,1.0763052208835342,1.0377557882601596,1.0649913344887347,1.0384615384615385,1.1171875,1.1161387631975868,1.121212121212121,1.062992125984252,1.0555555555555556,1.064748201438849,1.0834733893557422,1.1000834028356965,10028000000,16534000000,1883000000,1150000000,4329000000,268000000,10802000000,1229000000,1404000000,143000000,740000000,148000000,270000000,57000000,888000000,1934000000,1319000000,$10.0B,$16.5B,$1.9B,$1.1B,$4.3B,$268.0M,$10.8B,$1.2B,$1.4B,$143.0M,$740.0M,$148.0M,$270.0M,$57.0M,$888.0M,$1.9B,$1.3B
2008-01-01,YT,1.0843373493975903,1.0319148936170213,1.0769230769230769,1.5,1,NA,1.0317460317460319,1.0476190476190477,1,1,1.25,1,1.25,1,1,1.0869565217391304,1.1111111111111112,90000000,97000000,14000000,3000000,24000000,NA,65000000,22000000,8000000,1000000,5000000,1000000,5000000,1000000,4000000,25000000,10000000,$90.0M,$97.0M,$14.0M,$3.0M,$24.0M,NA,$65.0M,$22.0M,$8.0M,$1.0M,$5.0M,$1.0M,$5.0M,$1.0M,$4.0M,$25.0M,$10.0M
2008-01-01,NT,1.092485549132948,1.04296875,1.1290322580645162,1,1,1.3333333333333333,1.0526315789473684,1.0869565217391304,1.04,1,1.1333333333333333,1,1,1,1,1.08,1.12,189000000,267000000,35000000,6000000,41000000,4000000,200000000,25000000,26000000,3000000,17000000,3000000,8000000,1000000,5000000,54000000,28000000,$189.0M,$267.0M,$35.0M,$6.0M,$41.0M,$4.0M,$200.0M,$25.0M,$26.0M,$3.0M,$17.0M,$3.0M,$8.0M,$1.0M,$5.0M,$54.0M,$28.0M
2008-01-01,NU,1.0990990990990992,1,1.1333333333333333,1,1,1,NA,1.0833333333333333,NA,2,1.125,1,1,1,1,1.103448275862069,1.088235294117647,122000000,35000000,17000000,2000000,35000000,1000000,NA,13000000,NA,2000000,9000000,2000000,5000000,1000000,2000000,32000000,37000000,$122.0M,$35.0M,$17.0M,$2.0M,$35.0M,$1.0M,NA,$13.0M,NA,$2.0M,$9.0M,$2.0M,$5.0M,$1.0M,$2.0M,$32.0M,$37.0M
2009-01-01,CA,1.1460810053393906,1.1005563514594339,1.2144540455616653,1.1068633353401565,1.0477784085815878,1.111842105263158,1.122546605698206,1.0932319809506366,1.122563880467735,1.2394705174488567,1.2398042414355628,1.2392065344224037,1.091196388261851,1.088785046728972,1.0910951893551688,1.1347767825657662,1.1811141932501157,77702000000,125218000000,12368000000,7354000000,35066000000,3042000000,79785000000,11937000000,10368000000,1030000000,5320000000,1062000000,2417000000,466000000,6396000000,16090000000,10219000000,$77.7B,$125.2B,$12.4B,$7.4B,$35.1B,$3.0B,$79.8B,$11.9B,$10.4B,$1.0B,$5.3B,$1.1B,$2.4B,$466.0M,$6.4B,$16.1B,$10.2B
