,refDate,geo,subSector,valNorm_Goods,valNorm_Membership,valNorm_Investments,valNorm_HouseDons,valNorm_CorpDons,valNorm_Government,valNorm_Households,valNormP_Goods,valNormP_Membership,valNormP_Investments,valNormP_HouseDons,valNormP_CorpDons,valNormP_Government,valNormP_Households,label_Goods,label_Membership,label_Investments,label_HouseDons,label_CorpDons,label_Government,label_Households,label_Goods_FR,label_Membership_FR,label_Investments_FR,label_HouseDons_FR,label_CorpDons_FR,label_Government_FR,label_Households_FR
0,2007-01-01,AB,Organismes communautaires à but non lucratif,1065000000,,147000000,,256000000,1868000000,,1.0,,1.0,,1.0,1.0,,$1.1B,,$147.0M,,$256.0M,$1.9B,,1.1 G$,,147.0 M$,,256.0 M$,1.9 G$,
1,2007-01-01,AB,institutions commerciales à but non lucratif,2181000000,710000000.0,130000000,,0,61000000,9000000.0,1.0,1.0,1.0,,,1.0,1.0,$2.2B,$710.0M,$130.0M,,,$61.0M,$9.0M,2.2 G$,710.0 M$,130.0 M$,,,61.0 M$,9.0 M$
2,2007-01-01,AB,Institutions gouvernementales à but non lucratif,2382000000,,82000000,,361000000,11430000000,,1.0,,1.0,,1.0,1.0,,$2.4B,,$82.0M,,$361.0M,$11.4B,,2.4 G$,,82.0 M$,,361.0 M$,11.4 G$,
3,2007-01-01,BC,Organismes communautaires à but non lucratif,1511000000,,208000000,,363000000,1580000000,,1.0,,1.0,,1.0,1.0,,$1.5B,,$208.0M,,$363.0M,$1.6B,,1.5 G$,,208.0 M$,,363.0 M$,1.6 G$,
4,2007-01-01,BC,institutions commerciales à but non lucratif,2727000000,888000000.0,163000000,,0,77000000,12000000.0,1.0,1.0,1.0,,,1.0,1.0,$2.7B,$888.0M,$163.0M,,,$77.0M,$12.0M,2.7 G$,888.0 M$,163.0 M$,,,77.0 M$,12.0 M$
5,2007-01-01,BC,Institutions gouvernementales à but non lucratif,3018000000,,157000000,,348000000,12067000000,,1.0,,1.0,,1.0,1.0,,$3.0B,,$157.0M,,$348.0M,$12.1B,,3.0 G$,,157.0 M$,,348.0 M$,12.1 G$,
6,2007-01-01,CA,Organismes communautaires à but non lucratif,11191000000,5050000000.0,1543000000,8504000000.0,2692000000,13772000000,,1.0,1.0,1.0,1.0,1.0,1.0,,$11.2B,$5.0B,$1.5B,$8.5B,$2.7B,$13.8B,,11.2 G$,5.0 G$,1.5 G$,8.5 G$,2.7 G$,13.8 G$,
7,2007-01-01,CA,institutions commerciales à but non lucratif,17663000000,5753000000.0,1056000000,,0,497000000,77000000.0,1.0,1.0,1.0,,,1.0,1.0,$17.7B,$5.8B,$1.1B,,,$497.0M,$77.0M,17.7 G$,5.8 G$,1.1 G$,,,497.0 M$,77.0 M$
8,2007-01-01,CA,Institutions gouvernementales à but non lucratif,21759000000,,953000000,3478000000.0,2853000000,84734000000,,1.0,,1.0,1.0,1.0,1.0,,$21.8B,,$953.0M,$3.5B,$2.9B,$84.7B,,21.8 G$,,953.0 M$,3.5 G$,2.9 G$,84.7 G$,
9,2007-01-01,MB,Organismes communautaires à but non lucratif,449000000,,62000000,,108000000,246000000,,1.0,,1.0,,1.0,1.0,,$449.0M,,$62.0M,,$108.0M,$246.0M,,449.0 M$,,62.0 M$,,108.0 M$,246.0 M$,
10,2007-01-01,MB,institutions commerciales à but non lucratif,566000000,184000000.0,34000000,,0,16000000,2000000.0,1.0,1.0,1.0,,,1.0,1.0,$566.0M,$184.0M,$34.0M,,,$16.0M,$2.0M,566.0 M$,184.0 M$,34.0 M$,,,16.0 M$,2.0 M$
11,2007-01-01,MB,Institutions gouvernementales à but non lucratif,666000000,,31000000,,96000000,3389000000,,1.0,,1.0,,1.0,1.0,,$666.0M,,$31.0M,,$96.0M,$3.4B,,666.0 M$,,31.0 M$,,96.0 M$,3.4 G$,
12,2007-01-01,NB,Organismes communautaires à but non lucratif,165000000,,23000000,,40000000,177000000,,1.0,,1.0,,1.0,1.0,,$165.0M,,$23.0M,,$40.0M,$177.0M,,165.0 M$,,23.0 M$,,40.0 M$,177.0 M$,
13,2007-01-01,NB,institutions commerciales à but non lucratif,391000000,127000000.0,23000000,,0,11000000,2000000.0,1.0,1.0,1.0,,,1.0,1.0,$391.0M,$127.0M,$23.0M,,,$11.0M,$2.0M,391.0 M$,127.0 M$,23.0 M$,,,11.0 M$,2.0 M$
14,2007-01-01,NB,Institutions gouvernementales à but non lucratif,515000000,,12000000,,45000000,1612000000,,1.0,,1.0,,1.0,1.0,,$515.0M,,$12.0M,,$45.0M,$1.6B,,515.0 M$,,12.0 M$,,45.0 M$,1.6 G$,
15,2007-01-01,NL,Organismes communautaires à but non lucratif,99000000,,14000000,,24000000,44000000,,1.0,,1.0,,1.0,1.0,,$99.0M,,$14.0M,,$24.0M,$44.0M,,99.0 M$,,14.0 M$,,24.0 M$,44.0 M$,
16,2007-01-01,NL,institutions commerciales à but non lucratif,253000000,82000000.0,15000000,,0,7000000,1000000.0,1.0,1.0,1.0,,,1.0,1.0,$253.0M,$82.0M,$15.0M,,,$7.0M,$1.0M,253.0 M$,82.0 M$,15.0 M$,,,7.0 M$,1.0 M$
17,2007-01-01,NL,Institutions gouvernementales à but non lucratif,464000000,,10000000,,4000000,2034000000,,1.0,,1.0,,1.0,1.0,,$464.0M,,$10.0M,,$4.0M,$2.0B,,464.0 M$,,10.0 M$,,4.0 M$,2.0 G$,
18,2007-01-01,NS,Organismes communautaires à but non lucratif,287000000,,40000000,,69000000,471000000,,1.0,,1.0,,1.0,1.0,,$287.0M,,$40.0M,,$69.0M,$471.0M,,287.0 M$,,40.0 M$,,69.0 M$,471.0 M$,
19,2007-01-01,NS,institutions commerciales à but non lucratif,394000000,128000000.0,24000000,,0,11000000,2000000.0,1.0,1.0,1.0,,,1.0,1.0,$394.0M,$128.0M,$24.0M,,,$11.0M,$2.0M,394.0 M$,128.0 M$,24.0 M$,,,11.0 M$,2.0 M$
20,2007-01-01,NS,Institutions gouvernementales à but non lucratif,867000000,,44000000,,84000000,2492000000,,1.0,,1.0,,1.0,1.0,,$867.0M,,$44.0M,,$84.0M,$2.5B,,867.0 M$,,44.0 M$,,84.0 M$,2.5 G$,
21,2007-01-01,NT,Organismes communautaires à but non lucratif,22000000,,3000000,,6000000,18000000,,1.0,,1.0,,1.0,1.0,,$22.0M,,$3.0M,,$6.0M,$18.0M,,22.0 M$,,3.0 M$,,6.0 M$,18.0 M$,
22,2007-01-01,NT,institutions commerciales à but non lucratif,63000000,21000000.0,4000000,,0,2000000,0.0,1.0,1.0,1.0,,,1.0,,$63.0M,$21.0M,$4.0M,,,$2.0M,,63.0 M$,21.0 M$,4.0 M$,,,2.0 M$,
23,2007-01-01,NT,Institutions gouvernementales à but non lucratif,56000000,,0,,0,200000000,,1.0,,,,,1.0,,$56.0M,,,,,$200.0M,,56.0 M$,,,,,200.0 M$,
24,2007-01-01,NU,Organismes communautaires à but non lucratif,21000000,,3000000,,6000000,22000000,,1.0,,1.0,,1.0,1.0,,$21.0M,,$3.0M,,$6.0M,$22.0M,,21.0 M$,,3.0 M$,,6.0 M$,22.0 M$,
25,2007-01-01,NU,institutions commerciales à but non lucratif,32000000,10000000.0,2000000,,0,1000000,0.0,1.0,1.0,1.0,,,1.0,,$32.0M,$10.0M,$2.0M,,,$1.0M,,32.0 M$,10.0 M$,2.0 M$,,,1.0 M$,
26,2007-01-01,NU,Institutions gouvernementales à but non lucratif,5000000,,0,,0,30000000,,1.0,,,,,1.0,,$5.0M,,,,,$30.0M,,5.0 M$,,,,,30.0 M$,
27,2007-01-01,ON,Organismes communautaires à but non lucratif,4717000000,,649000000,,1134000000,5277000000,,1.0,,1.0,,1.0,1.0,,$4.7B,,$649.0M,,$1.1B,$5.3B,,4.7 G$,,649.0 M$,,1.1 G$,5.3 G$,
28,2007-01-01,ON,institutions commerciales à but non lucratif,6748000000,2198000000.0,404000000,,0,190000000,29000000.0,1.0,1.0,1.0,,,1.0,1.0,$6.7B,$2.2B,$404.0M,,,$190.0M,$29.0M,6.7 G$,2.2 G$,404.0 M$,,,190.0 M$,29.0 M$
29,2007-01-01,ON,Institutions gouvernementales à but non lucratif,9296000000,,389000000,,1297000000,27484000000,,1.0,,1.0,,1.0,1.0,,$9.3B,,$389.0M,,$1.3B,$27.5B,,9.3 G$,,389.0 M$,,1.3 G$,27.5 G$,
30,2007-01-01,PE,Organismes communautaires à but non lucratif,34000000,,5000000,,8000000,27000000,,1.0,,1.0,,1.0,1.0,,$34.0M,,$5.0M,,$8.0M,$27.0M,,34.0 M$,,5.0 M$,,8.0 M$,27.0 M$,
31,2007-01-01,PE,institutions commerciales à but non lucratif,62000000,20000000.0,4000000,,0,2000000,0.0,1.0,1.0,1.0,,,1.0,,$62.0M,$20.0M,$4.0M,,,$2.0M,,62.0 M$,20.0 M$,4.0 M$,,,2.0 M$,
32,2007-01-01,PE,Institutions gouvernementales à but non lucratif,68000000,,2000000,,9000000,497000000,,1.0,,1.0,,1.0,1.0,,$68.0M,,$2.0M,,$9.0M,$497.0M,,68.0 M$,,2.0 M$,,9.0 M$,497.0 M$,
33,2007-01-01,QC,Organismes communautaires à but non lucratif,2548000000,,351000000,,613000000,3734000000,,1.0,,1.0,,1.0,1.0,,$2.5B,,$351.0M,,$613.0M,$3.7B,,2.5 G$,,351.0 M$,,613.0 M$,3.7 G$,
34,2007-01-01,QC,institutions commerciales à but non lucratif,3774000000,1229000000.0,226000000,,0,106000000,16000000.0,1.0,1.0,1.0,,,1.0,1.0,$3.8B,$1.2B,$226.0M,,,$106.0M,$16.0M,3.8 G$,1.2 G$,226.0 M$,,,106.0 M$,16.0 M$
35,2007-01-01,QC,Institutions gouvernementales à but non lucratif,3777000000,,206000000,,505000000,20125000000,,1.0,,1.0,,1.0,1.0,,$3.8B,,$206.0M,,$505.0M,$20.1B,,3.8 G$,,206.0 M$,,505.0 M$,20.1 G$,
36,2007-01-01,SK,Organismes communautaires à but non lucratif,255000000,,35000000,,61000000,291000000,,1.0,,1.0,,1.0,1.0,,$255.0M,,$35.0M,,$61.0M,$291.0M,,255.0 M$,,35.0 M$,,61.0 M$,291.0 M$,
37,2007-01-01,SK,institutions commerciales à but non lucratif,456000000,149000000.0,27000000,,0,13000000,2000000.0,1.0,1.0,1.0,,,1.0,1.0,$456.0M,$149.0M,$27.0M,,,$13.0M,$2.0M,456.0 M$,149.0 M$,27.0 M$,,,13.0 M$,2.0 M$
38,2007-01-01,SK,Institutions gouvernementales à but non lucratif,639000000,,19000000,,103000000,3289000000,,1.0,,1.0,,1.0,1.0,,$639.0M,,$19.0M,,$103.0M,$3.3B,,639.0 M$,,19.0 M$,,103.0 M$,3.3 G$,
39,2007-01-01,YT,Organismes communautaires à but non lucratif,18000000,,3000000,,4000000,17000000,,1.0,,1.0,,1.0,1.0,,$18.0M,,$3.0M,,$4.0M,$17.0M,,18.0 M$,,3.0 M$,,4.0 M$,17.0 M$,
40,2007-01-01,YT,institutions commerciales à but non lucratif,17000000,6000000.0,1000000,,0,0,0.0,1.0,1.0,1.0,,,,,$17.0M,$6.0M,$1.0M,,,,,17.0 M$,6.0 M$,1.0 M$,,,,
41,2007-01-01,YT,Institutions gouvernementales à but non lucratif,6000000,,1000000,,1000000,84000000,,1.0,,1.0,,1.0,1.0,,$6.0M,,$1.0M,,$1.0M,$84.0M,,6.0 M$,,1.0 M$,,1.0 M$,84.0 M$,
42,2008-01-01,AB,Organismes communautaires à but non lucratif,1188000000,,86000000,,274000000,2233000000,,1.115492957746479,,0.5850340136054422,,1.0703125,1.1953961456102784,,$1.2B,,$86.0M,,$274.0M,$2.2B,,1.2 G$,,86.0 M$,,274.0 M$,2.2 G$,
43,2008-01-01,AB,institutions commerciales à but non lucratif,2435000000,793000000.0,146000000,,0,68000000,11000000.0,1.116460339293902,1.1169014084507043,1.123076923076923,,,1.1147540983606556,1.2222222222222223,$2.4B,$793.0M,$146.0M,,,$68.0M,$11.0M,2.4 G$,793.0 M$,146.0 M$,,,68.0 M$,11.0 M$
44,2008-01-01,AB,Institutions gouvernementales à but non lucratif,2608000000,,63000000,,349000000,11765000000,,1.0948782535684298,,0.7682926829268293,,0.9667590027700832,1.0293088363954506,,$2.6B,,$63.0M,,$349.0M,$11.8B,,2.6 G$,,63.0 M$,,349.0 M$,11.8 G$,
45,2008-01-01,BC,Organismes communautaires à but non lucratif,1658000000,,121000000,,383000000,1802000000,,1.0972865651886168,,0.5817307692307693,,1.0550964187327825,1.140506329113924,,$1.7B,,$121.0M,,$383.0M,$1.8B,,1.7 G$,,121.0 M$,,383.0 M$,1.8 G$,
46,2008-01-01,BC,institutions commerciales à but non lucratif,3044000000,992000000.0,182000000,,0,86000000,13000000.0,1.1162449578291165,1.117117117117117,1.116564417177914,,,1.1168831168831168,1.0833333333333333,$3.0B,$992.0M,$182.0M,,,$86.0M,$13.0M,3.0 G$,992.0 M$,182.0 M$,,,86.0 M$,13.0 M$
47,2008-01-01,BC,Institutions gouvernementales à but non lucratif,3288000000,,107000000,,329000000,12413000000,,1.0894632206759445,,0.6815286624203821,,0.9454022988505748,1.0286732410706887,,$3.3B,,$107.0M,,$329.0M,$12.4B,,3.3 G$,,107.0 M$,,329.0 M$,12.4 G$,
48,2008-01-01,CA,Organismes communautaires à but non lucratif,12106000000,5314000000.0,880000000,8683000000.0,2796000000,16120000000,,1.0817621302832634,1.0522772277227723,0.5703175631885936,1.0210489181561615,1.0386329866270432,1.170490851002033,,$12.1B,$5.3B,$880.0M,$8.7B,$2.8B,$16.1B,,12.1 G$,5.3 G$,880.0 M$,8.7 G$,2.8 G$,16.1 G$,
49,2008-01-01,CA,institutions commerciales à but non lucratif,19718000000,6422000000.0,1179000000,,0,554000000,86000000.0,1.116344901772066,1.1162871545280724,1.1164772727272727,,,1.1146881287726358,1.1168831168831168,$19.7B,$6.4B,$1.2B,,,$554.0M,$86.0M,19.7 G$,6.4 G$,1.2 G$,,,554.0 M$,86.0 M$
50,2008-01-01,CA,Institutions gouvernementales à but non lucratif,22842000000,,664000000,3185000000.0,2649000000,87211000000,,1.049772507927754,,0.6967471143756558,0.9157561817136284,0.928496319663512,1.02923265749286,,$22.8B,,$664.0M,$3.2B,$2.6B,$87.2B,,22.8 G$,,664.0 M$,3.2 G$,2.6 G$,87.2 G$,
51,2008-01-01,MB,Organismes communautaires à but non lucratif,492000000,,36000000,,114000000,287000000,,1.0957683741648108,,0.5806451612903226,,1.0555555555555556,1.1666666666666667,,$492.0M,,$36.0M,,$114.0M,$287.0M,,492.0 M$,,36.0 M$,,114.0 M$,287.0 M$,
52,2008-01-01,MB,institutions commerciales à but non lucratif,631000000,206000000.0,38000000,,0,18000000,3000000.0,1.1148409893992932,1.1195652173913044,1.1176470588235294,,,1.125,1.5,$631.0M,$206.0M,$38.0M,,,$18.0M,$3.0M,631.0 M$,206.0 M$,38.0 M$,,,18.0 M$,3.0 M$
53,2008-01-01,MB,Institutions gouvernementales à but non lucratif,696000000,,24000000,,100000000,3490000000,,1.045045045045045,,0.7741935483870968,,1.0416666666666667,1.029802301563883,,$696.0M,,$24.0M,,$100.0M,$3.5B,,696.0 M$,,24.0 M$,,100.0 M$,3.5 G$,
54,2008-01-01,NB,Organismes communautaires à but non lucratif,172000000,,12000000,,40000000,200000000,,1.0424242424242425,,0.5217391304347826,,1.0,1.1299435028248588,,$172.0M,,$12.0M,,$40.0M,$200.0M,,172.0 M$,,12.0 M$,,40.0 M$,200.0 M$,
55,2008-01-01,NB,institutions commerciales à but non lucratif,436000000,142000000.0,26000000,,0,12000000,2000000.0,1.1150895140664965,1.1181102362204725,1.1304347826086956,,,1.0909090909090908,1.0,$436.0M,$142.0M,$26.0M,,,$12.0M,$2.0M,436.0 M$,142.0 M$,26.0 M$,,,12.0 M$,2.0 M$
56,2008-01-01,NB,Institutions gouvernementales à but non lucratif,515000000,,8000000,,40000000,1662000000,,1.0,,0.6666666666666666,,0.8888888888888888,1.031017369727047,,$515.0M,,$8.0M,,$40.0M,$1.7B,,515.0 M$,,8.0 M$,,40.0 M$,1.7 G$,
57,2008-01-01,NL,Organismes communautaires à but non lucratif,107000000,,8000000,,25000000,52000000,,1.0808080808080809,,0.5714285714285714,,1.0416666666666667,1.181818181818182,,$107.0M,,$8.0M,,$25.0M,$52.0M,,107.0 M$,,8.0 M$,,25.0 M$,52.0 M$,
58,2008-01-01,NL,institutions commerciales à but non lucratif,283000000,92000000.0,17000000,,0,8000000,1000000.0,1.1185770750988142,1.1219512195121952,1.1333333333333333,,,1.1428571428571428,1.0,$283.0M,$92.0M,$17.0M,,,$8.0M,$1.0M,283.0 M$,92.0 M$,17.0 M$,,,8.0 M$,1.0 M$
59,2008-01-01,NL,Institutions gouvernementales à but non lucratif,468000000,,7000000,,4000000,2084000000,,1.0086206896551724,,0.7,,1.0,1.024582104228122,,$468.0M,,$7.0M,,$4.0M,$2.1B,,468.0 M$,,7.0 M$,,4.0 M$,2.1 G$,
60,2008-01-01,NS,Organismes communautaires à but non lucratif,302000000,,22000000,,70000000,526000000,,1.0522648083623694,,0.55,,1.0144927536231885,1.1167728237791932,,$302.0M,,$22.0M,,$70.0M,$526.0M,,302.0 M$,,22.0 M$,,70.0 M$,526.0 M$,
61,2008-01-01,NS,institutions commerciales à but non lucratif,440000000,143000000.0,26000000,,0,12000000,2000000.0,1.116751269035533,1.1171875,1.0833333333333333,,,1.0909090909090908,1.0,$440.0M,$143.0M,$26.0M,,,$12.0M,$2.0M,440.0 M$,143.0 M$,26.0 M$,,,12.0 M$,2.0 M$
62,2008-01-01,NS,Institutions gouvernementales à but non lucratif,885000000,,29000000,,81000000,2531000000,,1.0207612456747406,,0.6590909090909091,,0.9642857142857144,1.0156500802568218,,$885.0M,,$29.0M,,$81.0M,$2.5B,,885.0 M$,,29.0 M$,,81.0 M$,2.5 G$,
63,2008-01-01,NT,Organismes communautaires à but non lucratif,23000000,,2000000,,6000000,22000000,,1.0454545454545454,,0.6666666666666666,,1.0,1.2222222222222223,,$23.0M,,$2.0M,,$6.0M,$22.0M,,23.0 M$,,2.0 M$,,6.0 M$,22.0 M$,
64,2008-01-01,NT,institutions commerciales à but non lucratif,70000000,23000000.0,4000000,,0,2000000,0.0,1.1111111111111112,1.0952380952380951,1.0,,,1.0,,$70.0M,$23.0M,$4.0M,,,$2.0M,,70.0 M$,23.0 M$,4.0 M$,,,2.0 M$,
65,2008-01-01,NT,Institutions gouvernementales à but non lucratif,62000000,,0,,0,206000000,,1.1071428571428572,,,,,1.03,,$62.0M,,,,,$206.0M,,62.0 M$,,,,,206.0 M$,
66,2008-01-01,NU,Organismes communautaires à but non lucratif,23000000,,2000000,,6000000,25000000,,1.0952380952380951,,0.6666666666666666,,1.0,1.1363636363636365,,$23.0M,,$2.0M,,$6.0M,$25.0M,,23.0 M$,,2.0 M$,,6.0 M$,25.0 M$,
