geo,subSector,perTot_Goods,perTot_Investments,perTot_CorpDons,perTot_Government,perTot_Membership,perTot_Households,perTot_HouseDons,valNorm_Goods,valNorm_Investments,valNorm_CorpDons,valNorm_Government,valNorm_Membership,valNorm_Households,valNorm_HouseDons,label_Goods,label_Investments,label_CorpDons,label_Government,label_Membership,label_Households,label_HouseDons
AB,Organismes communautaires à but non lucratif,0.315330712698684,0.07280806699709451,0.06870620406768074,0.5431550162365407,NA,NA,NA,1845000000,426000000,402000000,3178000000,NA,NA,NA,$1.8B,$426.0M,$402.0M,$3.2B,NA,NA,NA
AB,institutions commerciales à but non lucratif,0.5864514984926406,0.056038304663947505,NA,0.01471892179464444,0.33853520127682213,0.00425607377194538,NA,3307000000,316000000,NA,83000000,1909000000,24000000,NA,$3.3B,$316.0M,NA,$83.0M,$1.9B,$24.0M,NA
AB,Institutions gouvernementales à but non lucratif,0.1507343577553273,0.011418626368961711,0.01574836573563121,0.8220986501400798,NA,NA,NA,3551000000,269000000,371000000,19367000000,NA,NA,NA,$3.6B,$269.0M,$371.0M,$19.4B,NA,NA,NA
BC,Organismes communautaires à but non lucratif,0.3411184637342676,0.07875956922278449,0.07421824315557285,0.5059037238873751,NA,NA,NA,2629000000,607000000,572000000,3899000000,NA,NA,NA,$2.6B,$607.0M,$572.0M,$3.9B,NA,NA,NA
BC,institutions commerciales à but non lucratif,0.5863874345549738,0.05616373155640171,NA,0.014635887672536887,0.3385292717753451,0.004283674440742504,NA,4928000000,472000000,NA,123000000,2845000000,36000000,NA,$4.9B,$472.0M,NA,$123.0M,$2.8B,$36.0M,NA
BC,Institutions gouvernementales à but non lucratif,0.19944643438619342,0.010517746662324976,0.020840117225659396,0.7691957017258222,NA,NA,NA,6125000000,323000000,640000000,23622000000,NA,NA,NA,$6.1B,$323.0M,$640.0M,$23.6B,NA,NA,NA
CA,Organismes communautaires à but non lucratif,0.2432386303959668,0.05617844764205441,0.05301438924482722,0.36935458460245774,0.10807688268039072,NA,0.17013706543430313,18527000000,4279000000,4038000000,28133000000,8232000000,NA,12959000000,$18.5B,$4.3B,$4.0B,$28.1B,$8.2B,NA,$13.0B
CA,institutions commerciales à but non lucratif,0.5863628886329989,0.05611531501891758,NA,0.014681691067609805,0.33850139825629216,0.004338707024181609,NA,28516000000,2729000000,NA,714000000,16462000000,211000000,NA,$28.5B,$2.7B,NA,$714.0M,$16.5B,$211.0M,NA
CA,Institutions gouvernementales à but non lucratif,0.1909744867186772,0.007639764040150441,0.020241942206509,0.7620345897917453,NA,NA,0.019109217242918017,38946000000,1558000000,4128000000,155404000000,NA,NA,3897000000,$38.9B,$1.6B,$4.1B,$155.4B,NA,NA,$3.9B
MB,Organismes communautaires à but non lucratif,0.43717728055077454,0.10097532989099255,0.09523809523809523,0.36660929432013767,NA,NA,NA,762000000,176000000,166000000,639000000,NA,NA,NA,$762.0M,$176.0M,$166.0M,$639.0M,NA,NA,NA
