refDate,geo,subSector,coreStatus,Tot,FT,PT
2021-01-01,CA,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,43020,51774,18509
2021-01-01,CA,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,54841,64716,18041
2021-01-01,CA,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,58179,66463,27193
2021-01-01,NL,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,39235,46571,15094
2021-01-01,NL,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,49373,58427,14341
2021-01-01,NL,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,57130,62870,22076
2021-01-01,PE,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,33073,40418,13634
2021-01-01,PE,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,38205,46462,13148
2021-01-01,PE,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,54313,60316,23178
2021-01-01,NS,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,36764,44005,14943
2021-01-01,NS,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,44582,53056,13131
2021-01-01,NS,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,54262,63182,20446
2021-01-01,NB,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,33772,40835,13063
2021-01-01,NB,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,41286,48913,12232
2021-01-01,NB,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,55936,61189,28612
2021-01-01,QC,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,39278,46877,17966
2021-01-01,QC,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,49863,57715,17369
2021-01-01,QC,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,56072,63239,28441
2021-01-01,ON,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,47283,56411,19370
2021-01-01,ON,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,62054,71295,19638
2021-01-01,ON,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,61950,71191,25195
2021-01-01,MB,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,38066,46170,14890
2021-01-01,MB,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,46259,56018,14088
2021-01-01,MB,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,54822,63866,26354
2021-01-01,SK,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,32701,40533,13076
2021-01-01,SK,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,42473,53826,14205
2021-01-01,SK,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,56900,66100,26714
2021-01-01,AB,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,44852,54716,17760
2021-01-01,AB,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,54148,67201,16526
2021-01-01,AB,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,57987,66356,29405
2021-01-01,BC,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,43669,53295,21656
2021-01-01,BC,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,51926,63868,19573
2021-01-01,BC,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,56802,65132,29541
2021-01-01,YT,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,44432,59665,19794
2021-01-01,YT,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,72064,89125,25000
2021-01-01,YT,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,69099,81646,28641
2021-01-01,NT,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,42206,NA,NA
2021-01-01,NT,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,61021,NA,NA
2021-01-01,NT,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,74939,89223,25750
2021-01-01,NU,Organismes communautaires à but non lucratif,Organismes à but non lucratif de base,72330,NA,NA
2021-01-01,NU,Institutions communautaires à but non lucratif,Organismes à but non lucratif de base,88304,NA,NA
2021-01-01,NU,Institutions gouvernementales à but non lucratif,Institutions gouvernementales à but non lucratif,86392,97126,30933
