geoAbb,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
CA,Sera remboursé,NA,0.651,0.836,0.93,NA,A,C,B
CA,Ne sera pas remboursé,NA,0.148,0.02,0.029,NA,A,A,A
CA,Inconnu,0.013,0.201,0.144,0.041,A,A,C,A
NL,Sera remboursé,0,0.638,0.969,1,A,B,A,A
NL,Ne sera pas remboursé,0,0.182,0.013,0,A,B,A,A
NL,Inconnu,1,0.18,0.019,0,A,B,A,A
PE,Sera remboursé,NA,0.617,0.76,NA,..,C,D,NA
PE,Ne sera pas remboursé,NA,0.077,0.118,0,..,A,C,A
PE,Inconnu,NA,0.306,0.121,NA,..,C,C,NA
NS,Sera remboursé,1,0.654,0.685,0.835,A,B,E,C
NS,Ne sera pas remboursé,0,0.121,0.031,0,A,B,A,A
NS,Inconnu,0,0.225,0.284,0.165,A,B,E,C
NB,Sera remboursé,NA,0.646,0.883,0.913,..,B,B,D
NB,Ne sera pas remboursé,NA,0.081,0.055,0.087,..,A,B,D
NB,Inconnu,NA,0.273,0.061,0,..,B,B,A
QC,Sera remboursé,1,0.677,0.77,0.943,A,B,E,B
QC,Ne sera pas remboursé,0,0.165,0.014,0.051,A,B,A,B
QC,Inconnu,0,0.158,0.215,0.007,A,B,E,A
ON,Sera remboursé,NA,0.643,0.974,0.913,..,B,A,C
ON,Ne sera pas remboursé,NA,0.161,0.008,0.008,..,B,A,A
ON,Inconnu,NA,0.196,0.018,0.08,..,B,A,C
MB,Sera remboursé,0,0.698,0.765,NA,A,B,D,NA
MB,Ne sera pas remboursé,1,0.101,0.019,0.131,A,B,A,C
MB,Inconnu,0,0.2,0.216,NA,A,B,D,NA
SK,Sera remboursé,NA,0.706,0.827,0.985,..,B,D,A
SK,Ne sera pas remboursé,NA,0.133,0.018,0,..,B,A,A
SK,Inconnu,NA,0.161,0.155,0.015,..,B,C,A
AB,Sera remboursé,NA,0.698,0.741,0.935,..,B,E,B
AB,Ne sera pas remboursé,NA,0.118,0.084,0.012,..,A,C,A
AB,Inconnu,NA,0.184,0.175,0.053,..,B,E,B
BC,Sera remboursé,NA,0.568,0.985,0.966,..,B,A,A
BC,Ne sera pas remboursé,NA,0.138,0.005,0.034,..,A,A,A
BC,Inconnu,NA,0.293,0.01,0,..,B,A,A
YT,Sera remboursé,1,0.607,NA,NA,A,E,NA,..
YT,Ne sera pas remboursé,0,0.094,NA,NA,A,B,NA,..
YT,Inconnu,0,0.298,0.043,NA,A,E,A,..
NT,Sera remboursé,NA,0.629,NA,0,..,E,NA,A
NT,Ne sera pas remboursé,NA,0.102,0,0,..,C,A,A
NT,Inconnu,NA,0.269,NA,1,..,E,NA,A
NU,Sera remboursé,1,0.671,NA,NA,A,E,..,..
NU,Ne sera pas remboursé,0,0.329,NA,NA,A,E,..,..
NU,Inconnu,0,0,NA,NA,A,A,..,..
